"1","Kaufman","Park","Blank","Exhausted","Overvote"
"11-205 Hillside No. 1","328","238","41","24","0"
"11-210 Hillside No. 2","670","449","64","26","2"
"11-215 Hillside No. 3","388","200","39","13","0"
"11-220 Hillside No. 4","420","221","27","17","0"
"11-225 Hillside No. 5","438","252","46","14","1"
"11-230 Hillside No. 6","438","292","31","20","0"
"11-235 Hillside No. 7","359","247","29","13","0"
"12-250 Southeast Anchorage No. 1","408","356","59","55","2"
"12-255 Southeast Anchorage No. 2","259","174","27","28","0"
"12-260 Southeast Anchorage No. 3","331","346","54","68","0"
"12-265 Southeast Anchorage No. 4","371","330","57","51","0"
"12-270 Southeast Anchorage No. 5","448","392","66","61","1"
"12-275 Southeast Anchorage No. 6","356","364","52","27","3"
"District 11 - Absentee","1079","1265","96","22","0"
"District 11 - Early Voting","972","713","70","29","0"
"District 11  - Question","40","25","4","3","0"
"District 12 - Absentee","629","1106","86","54","1"
"District 12 - Early Voting","707","753","70","70","0"
"District 12  - Question","37","21","17","4","1"
"Total","8678","7744","935","599","11"
