"1","Borbridge","Borbridge","Borbridge","Borbridge","Borbridge","Borbridge","Borbridge","Borbridge","Borbridge","Kaufman","Kaufman","Kaufman","Kaufman","Kaufman","Kaufman","Kaufman","Kaufman","Kaufman","Kaufman","Kaufman","Park","Park","Park","Park","Park","Park","Park","Park","Park","Park","Park","Park","Park","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Kaufman","Kaufman","Kaufman","Kaufman","Park","Park","Park","Write-in","","Borbridge","Borbridge","Borbridge","Overvote","Park","Park","Park","Park","Write-in","Write-in","","Borbridge","Borbridge","Borbridge","Borbridge","Kaufman","Kaufman","Kaufman","Kaufman","Overvote","Write-in","Write-in","Write-in","","Borbridge","Kaufman","Kaufman","Park","Park","",""
"3","","","Overvote","Park","Write-in","","Kaufman","Write-in","","","","Park","Write-in","","","Borbridge","Overvote","Write-in","","Borbridge","","","Kaufman","Overvote","Write-in","","Borbridge","Overvote","Write-in","","","Borbridge","Kaufman","","Park","","Borbridge","Borbridge","Kaufman","",""
"11-205 Hillside No. 1","24","9","0","12","0","0","7","0","0","192","56","36","0","0","7","16","0","0","0","0","161","3","20","0","0","12","34","0","0","0","0","1","0","0","0","0","0","0","0","41","0"
"11-210 Hillside No. 2","25","17","0","9","0","0","1","0","1","399","141","57","1","0","18","26","0","0","1","1","318","6","38","0","0","26","57","1","0","0","1","0","1","0","0","0","0","0","0","64","2"
"11-215 Hillside No. 3","13","9","0","4","0","0","0","0","0","252","82","24","0","0","6","10","1","0","0","0","144","0","10","0","0","9","31","0","0","0","1","4","0","1","1","0","0","0","0","38","0"
"11-220 Hillside No. 4","17","5","0","3","0","0","1","0","0","289","70","24","4","0","9","15","0","0","1","0","158","5","9","0","0","16","31","0","0","0","0","1","0","0","0","0","0","0","0","27","0"
"11-225 Hillside No. 5","14","7","0","2","0","0","0","0","0","335","63","13","1","0","7","9","0","0","1","0","216","5","9","0","0","9","12","0","0","0","0","1","0","2","0","0","0","0","0","44","1"
"11-230 Hillside No. 6","20","5","0","3","0","0","3","0","0","286","83","23","5","0","18","12","0","0","1","2","201","9","18","0","1","24","32","0","0","0","2","0","2","1","0","0","0","0","0","30","0"
"11-235 Hillside No. 7","13","3","0","2","0","0","1","0","0","235","69","20","4","1","13","10","0","0","1","1","196","3","9","0","0","14","24","0","0","0","0","0","0","0","0","0","0","0","0","29","0"
"12-250 Southeast Anchorage No. 1","55","32","0","29","0","0","11","0","0","203","77","48","1","0","4","9","0","0","3","0","243","3","51","0","0","10","32","0","0","0","3","3","0","1","0","1","1","0","0","58","2"
"12-255 Southeast Anchorage No. 2","28","10","0","8","1","1","2","0","0","154","45","33","2","0","2","4","0","0","0","0","114","3","31","0","0","6","15","0","0","0","1","0","1","0","0","0","0","0","0","27","0"
"12-260 Southeast Anchorage No. 3","68","30","0","13","0","3","14","0","0","177","57","41","1","0","6","6","0","0","0","0","226","6","53","0","0","9","35","0","0","0","0","0","0","1","0","0","0","0","0","53","0"
"12-265 Southeast Anchorage No. 4","51","21","0","8","0","3","7","0","0","220","72","33","2","0","8","6","0","0","1","0","234","9","32","0","0","17","28","0","0","0","0","0","0","3","0","0","0","0","0","54","0"
"12-270 Southeast Anchorage No. 5","61","32","0","22","0","2","3","0","0","232","76","64","2","0","6","13","0","0","0","0","270","8","48","0","0","21","39","0","0","0","0","1","0","3","0","0","1","0","0","63","1"
"12-275 Southeast Anchorage No. 6","27","21","0","9","0","0","2","0","0","205","66","31","1","0","11","10","0","0","1","0","272","7","32","0","0","18","29","0","0","0","0","3","1","3","0","1","0","0","0","49","3"
"District 11 - Absentee","22","23","0","5","0","0","3","0","0","676","198","77","8","0","55","30","0","1","3","2","1005","24","40","1","1","87","89","0","0","1","8","4","2","3","0","0","1","0","0","93","0"
"District 11 - Early Voting","29","21","0","8","1","0","5","0","0","653","184","47","6","0","21","25","0","0","2","2","529","11","41","1","0","55","61","0","0","0","5","3","2","2","0","1","1","0","0","68","0"
"District 11  - Question","3","2","0","0","0","0","1","0","0","16","8","7","1","0","1","5","0","0","0","0","18","0","2","0","0","2","2","0","0","0","0","0","0","1","0","0","0","0","0","3","0"
"District 12 - Absentee","54","29","0","9","0","0","5","1","0","369","113","49","9","0","31","19","0","0","0","0","890","12","58","0","0","53","61","0","1","0","8","12","3","1","0","1","0","1","1","85","1"
"District 12 - Early Voting","70","57","1","12","1","1","7","1","0","432","121","47","3","0","21","10","0","0","1","1","573","10","64","0","0","33","54","0","0","0","5","2","3","2","0","0","0","0","0","68","0"
"District 12  - Question","4","2","0","1","0","0","1","0","0","19","4","6","0","0","0","4","0","0","0","0","15","0","2","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","17","1"
"Total","598","335","1","159","3","10","74","2","1","5344","1585","680","51","1","244","239","1","1","16","9","5783","124","567","2","2","421","669","1","1","1","34","35","15","24","1","5","4","1","1","911","11"
