"1","Claman","Claman","Claman","Claman","Vazquez","Vazquez","Vazquez","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Overvote","Vazquez","Write-in","","Claman","Write-in","","Claman","Vazquez","",""
"15-405 Southwest Anchorage No. 1","227","0","51","1","310","51","5","2","0","0","20","0"
"15-410 Southwest Anchorage No. 2","267","0","88","5","328","69","6","1","0","1","29","0"
"15-415 Southwest Anchorage No. 3","331","0","103","6","379","84","7","1","0","1","31","0"
"15-420 Southwest Anchorage No. 4","292","0","108","2","302","71","4","3","0","2","45","1"
"15-425 Southwest Anchorage No. 5","277","0","76","9","340","59","7","0","0","0","26","0"
"15-430 Southwest Anchorage No. 6","386","0","93","7","558","90","16","0","0","1","30","1"
"16-450 West Anchorage No. 1","402","0","60","7","160","19","0","0","0","2","9","1"
"16-455 West Anchorage No. 2","366","0","92","6","235","71","6","0","1","1","20","1"
"16-460 West Anchorage No. 3","441","0","136","3","347","72","6","2","2","2","43","0"
"16-465 West Anchorage No. 4","220","0","61","6","178","44","8","0","0","0","19","0"
"16-470 West Anchorage No. 5","336","0","97","5","374","70","6","3","0","0","19","0"
"16-475 West Anchorage No. 6","287","0","75","4","320","51","2","2","0","0","28","1"
"16-480 West Anchorage No. 7","229","0","71","1","215","68","3","4","0","3","24","2"
"District 15 - Absentee","1025","0","186","17","684","95","8","5","1","0","53","0"
"District 15 - Early Voting","668","0","140","13","783","62","13","2","0","0","61","1"
"District 15  - Question","25","0","11","0","29","8","0","0","0","0","3","0"
"District 16 - Absentee","1279","0","180","26","556","66","11","8","2","0","45","0"
"District 16 - Early Voting","907","2","154","31","613","77","10","1","0","0","41","1"
"District 16  - Question","30","0","7","2","36","10","1","0","0","0","8","0"
"Total","7995","2","1789","151","6747","1137","119","34","6","13","554","9"
