"1","Dunbar","Smith","Blank","Overvote"
"19-605 Airport Heights No. 1","519","149","56","0"
"19-610 Airport Heights No. 2","416","210","97","0"
"19-615 Mountainview No. 1","257","100","44","1"
"19-620 Mountainview No. 2","215","128","35","2"
"19-625 South Mountainview","241","118","102","1"
"20-650 University No. 1","156","83","31","0"
"20-655 University No. 2","517","265","138","0"
"20-660 University No. 3","547","287","84","1"
"20-665 University No. 4","262","121","44","0"
"20-670 University No. 5","763","420","128","1"
"District 19 - Absentee","808","186","87","1"
"District 19 - Early Voting","531","210","89","0"
"District 19  - Question","84","39","31","1"
"District 20 - Absentee","1206","323","164","2"
"District 20 - Early Voting","756","408","136","0"
"District 20  - Question","30","25","15","1"
"Total","7308","3072","1281","11"
