"1","Dunbar","Dunbar","Dunbar","Dunbar","Smith","Smith","Smith","Smith","Write-in","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Overvote","Smith","Write-in","","Dunbar","Overvote","Write-in","","Dunbar","Overvote","Smith","",""
"19-605 Airport Heights No. 1","411","0","103","5","122","23","0","2","5","0","0","2","51","0"
"19-610 Airport Heights No. 2","361","0","54","1","184","24","0","1","6","0","0","1","91","0"
"19-615 Mountainview No. 1","182","0","74","1","64","32","0","4","2","0","1","0","42","0"
"19-620 Mountainview No. 2","161","1","52","0","88","35","0","3","1","1","0","2","34","2"
"19-625 South Mountainview","198","0","42","1","91","24","0","2","3","0","0","1","99","1"
"20-650 University No. 1","94","0","59","2","56","27","0","0","3","1","0","0","28","0"
"20-655 University No. 2","387","0","127","3","204","58","0","1","7","0","0","2","131","0"
"20-660 University No. 3","413","0","131","3","215","68","0","4","7","0","0","0","77","1"
"20-665 University No. 4","207","0","51","3","92","24","0","5","4","1","0","0","40","0"
"20-670 University No. 5","542","0","215","6","329","82","0","6","15","0","0","3","113","1"
"District 19 - Absentee","676","0","123","9","131","48","0","2","10","0","0","5","77","1"
"District 19 - Early Voting","417","0","112","2","161","38","0","9","13","0","0","2","76","0"
"District 19  - Question","67","0","17","0","27","12","0","0","3","0","0","0","28","1"
"District 20 - Absentee","1014","0","179","12","267","42","0","11","8","1","0","3","156","2"
"District 20 - Early Voting","581","0","163","11","332","68","1","5","12","1","0","2","124","0"
"District 20  - Question","20","0","9","0","14","11","0","0","2","1","0","0","13","1"
"Total","5731","1","1511","59","2377","616","1","55","101","6","1","23","1180","10"
