"1","Goecker","Hammermeister","Blank","Exhausted","Overvote"
"23-805 Chugach Park No. 1","501","232","46","287","0"
"23-810 Eagle River No. 1","311","122","19","179","1"
"23-815 Eagle River No. 2","338","143","18","181","1"
"23-820 Hiland","281","127","16","214","0"
"23-825 Meadow Creek No. 1","358","152","15","194","4"
"23-830 Meadow Creek No. 2","216","72","10","124","1"
"24-850 Chugach Park No. 2","321","123","23","210","2"
"24-855 Chugiak","192","64","20","92","0"
"24-860 Eagle River No. 3","285","130","36","163","0"
"24-865 Eklutna","305","140","32","163","2"
"24-870 Fire Lake","351","122","25","224","3"
"24-875 Peters Creek No. 1","521","140","32","290","0"
"24-880 Peters Creek No. 2","257","91","27","151","0"
"District 23 - Absentee","1058","765","125","671","1"
"District 23 - Early Voting","1910","629","77","900","1"
"District 23  - Question","71","20","9","43","0"
"District 24 - Absentee","775","493","98","553","3"
"District 24 - Early Voting","1799","544","106","808","3"
"District 24  - Question","80","33","27","37","1"
"Total","9930","4142","761","5484","23"
