"1","Hammermeister","Merrick","Blank","Exhausted","Overvote"
"23-805 Chugach Park No. 1","158","632","46","230","0"
"23-810 Eagle River No. 1","93","371","19","148","1"
"23-815 Eagle River No. 2","105","413","18","145","0"
"23-820 Hiland","96","414","16","112","0"
"23-825 Meadow Creek No. 1","115","430","15","160","3"
"23-830 Meadow Creek No. 2","47","249","10","116","1"
"24-850 Chugach Park No. 2","65","413","23","176","2"
"24-855 Chugiak","52","196","20","100","0"
"24-860 Eagle River No. 3","96","340","36","142","0"
"24-865 Eklutna","94","350","32","166","0"
"24-870 Fire Lake","94","433","25","170","3"
"24-875 Peters Creek No. 1","102","553","32","296","0"
"24-880 Peters Creek No. 2","72","280","27","147","0"
"District 23 - Absentee","582","1437","125","475","1"
"District 23 - Early Voting","471","1794","77","1173","2"
"District 23  - Question","17","92","9","25","0"
"District 24 - Absentee","393","1054","98","373","4"
"District 24 - Early Voting","400","1573","106","1177","4"
"District 24  - Question","29","88","27","33","1"
"Total","3081","11112","761","5364","22"
