"1","Wilson","Yundt","Blank","Exhausted","Overvote"
"27-405 Foothills","170","407","79","60","0"
"27-410 Meadow Lakes No. 1","257","609","100","101","0"
"27-415 Meadow Lakes No. 2","235","482","93","85","1"
"27-420 Wasilla No. 1","199","403","90","50","0"
"27-425 Wasilla No. 2","240","524","104","75","0"
"28-450 Lakes No. 1","204","261","69","56","0"
"28-455 Lakes No. 2","124","196","45","41","0"
"28-460 Seldon No. 1","252","480","112","106","3"
"28-465 Seldon No. 2","257","493","122","78","0"
"28-470 Seward Meridian","115","188","55","45","0"
"28-475 Trunk","221","365","111","62","0"
"28-480 Wasilla Lake","101","218","45","31","0"
"District 27 - Absentee","441","488","168","114","3"
"District 27 - Early Voting","732","1458","311","238","1"
"District 27  - Question","44","102","21","13","0"
"District 28 - Absentee","533","453","197","132","2"
"District 28 - Early Voting","939","1491","340","273","2"
"District 28  - Question","47","82","35","20","0"
"Total","5111","8700","2097","1580","12"
