"1","Wilson","Wilson","Wilson","Wilson","Wright","Wright","Wright","Yundt","Yundt","Yundt","Yundt","Blank","Overvote"
"2","","Overvote","Wright","Yundt","","Wilson","Yundt","","Overvote","Wilson","Wright","",""
"27-405 Foothills","83","0","26","32","60","29","20","277","0","82","28","79","0"
"27-410 Meadow Lakes No. 1","155","0","30","40","101","32","29","426","0","104","50","100","0"
"27-415 Meadow Lakes No. 2","136","0","30","39","85","30","27","321","0","89","45","93","1"
"27-420 Wasilla No. 1","110","0","32","41","50","16","23","275","1","71","33","90","0"
"27-425 Wasilla No. 2","112","0","41","58","75","29","19","360","0","94","51","104","0"
"28-450 Lakes No. 1","93","0","58","31","56","22","18","176","0","22","45","69","0"
"28-455 Lakes No. 2","64","0","36","15","41","9","16","129","0","19","32","45","0"
"28-460 Seldon No. 1","154","0","46","30","106","22","31","340","0","38","71","112","3"
"28-465 Seldon No. 2","125","1","47","44","78","40","31","316","0","52","94","122","0"
"28-470 Seward Meridian","65","0","22","14","45","14","10","131","0","15","32","55","0"
"28-475 Trunk","114","0","45","37","62","25","32","234","0","27","72","111","0"
"28-480 Wasilla Lake","48","0","18","15","31","20","12","148","0","22","36","45","0"
"District 27 - Absentee","275","0","47","87","114","32","31","304","0","97","56","168","3"
"District 27 - Early Voting","434","1","94","121","238","82","74","983","0","274","127","311","1"
"District 27  - Question","23","0","6","4","13","11","7","60","0","25","10","21","0"
"District 28 - Absentee","312","1","83","90","132","47","41","270","0","72","70","197","2"
"District 28 - Early Voting","547","0","175","129","273","88","79","1013","0","152","247","340","2"
"District 28  - Question","22","0","10","6","20","9","5","52","1","9","15","35","0"
"Total","2872","3","846","833","1580","557","505","5815","2","1264","1114","2097","12"
