"1","Hajdukovich","Kawasaki","Blank","Overvote"
"31-446 Aurora","380","488","24","0"
"31-455 Fairbanks No. 1","382","542","17","0"
"31-480 Fairbanks No. 2","413","490","11","0"
"31-485 Fairbanks No. 3","353","497","24","0"
"32-355 Fairbanks No. 4","406","387","11","0"
"32-365 Fairbanks No. 5","264","318","7","0"
"32-375 Fort Wainwright","233","123","21","0"
"32-385 Badger No. 2","719","428","33","0"
"District 31 - Absentee","435","560","23","2"
"District 31 - Early Voting","814","1107","42","4"
"District 31  - Question","36","53","5","0"
"District 32 - Absentee","494","408","25","0"
"District 32 - Early Voting","602","472","20","0"
"District 32  - Question","49","48","5","0"
"Total","5580","5921","268","6"
