"1","Hajdukovich","Hajdukovich","Hajdukovich","Hajdukovich","Kawasaki","Kawasaki","Kawasaki","Kawasaki","Write-in","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Kawasaki","Overvote","Write-in","","Hajdukovich","Overvote","Write-in","","Hajdukovich","Kawasaki","Overvote","",""
"31-446 Aurora","319","52","0","8","364","121","0","3","2","1","0","0","22","0"
"31-455 Fairbanks No. 1","322","53","0","5","423","108","0","11","2","2","0","0","15","0"
"31-480 Fairbanks No. 2","331","71","1","9","346","132","1","11","1","1","0","0","10","0"
"31-485 Fairbanks No. 3","279","65","0","8","320","167","1","8","4","1","1","0","20","0"
"32-355 Fairbanks No. 4","321","76","0","8","279","97","0","10","0","1","1","0","11","0"
"32-365 Fairbanks No. 5","216","46","0","2","235","77","0","6","0","0","0","0","7","0"
"32-375 Fort Wainwright","166","66","0","1","64","58","0","1","1","0","0","0","20","0"
"32-385 Badger No. 2","603","104","0","12","297","125","0","6","1","0","0","0","32","0"
"District 31 - Absentee","370","55","0","10","433","114","0","13","1","0","0","0","22","2"
"District 31 - Early Voting","678","115","0","19","830","246","0","31","3","2","0","1","39","3"
"District 31  - Question","26","9","0","0","40","13","0","0","1","1","0","0","4","0"
"District 32 - Absentee","412","69","0","13","315","87","0","5","1","0","1","0","24","0"
"District 32 - Early Voting","504","84","0","13","334","124","0","14","0","1","0","0","20","0"
"District 32  - Question","34","14","0","1","35","13","0","0","1","0","0","0","4","0"
"Total","4581","879","1","109","4315","1482","2","119","18","10","3","1","250","5"
