"1","Cronk","Fletcher","Blank","Exhausted","Overvote"
"35-580 Airport","193","116","16","10","0"
"35-582 Chena","708","651","39","33","1"
"35-584 Ester","221","322","14","10","0"
"35-586 Geist","284","269","11","16","0"
"35-587 Lakeview","72","37","6","8","0"
"35-592 Shanly","181","224","20","7","0"
"35-595 University Hills","215","371","27","7","0"
"35-596 University West","608","624","31","27","1"
"36-001 Goldstream No. 1","294","314","23","19","1"
"36-002 Goldstream No. 2","268","464","25","21","0"
"36-010 Allakaket","12","21","2","5","0"
"36-014 Anvik","6","12","0","7","0"
"36-018 Arctic Village","8","35","1","9","0"
"36-022 Beaver","1","12","0","3","1"
"36-026 Bettles","5","4","1","1","0"
"36-034 Central","30","8","2","1","0"
"36-038 Chistochina","54","11","3","2","1"
"36-042 Circle","2","14","2","2","0"
"36-046 Copper Center","274","60","10","10","0"
"36-050 Delta Junction","280","53","17","8","0"
"36-054 Deltana","930","159","57","52","0"
"36-058 Dot Lake","43","4","2","0","0"
"36-062 Eagle","43","15","5","6","0"
"36-066 Fort Yukon","42","72","11","14","1"
"36-070 Gakona","83","21","6","0","0"
"36-074 Galena","99","36","4","7","0"
"36-078 Glennallen","132","29","10","8","0"
"36-082 Grayling","19","18","2","15","1"
"36-086 Holy Cross","10","19","3","8","1"
"36-090 Hughes","16","10","0","4","0"
"36-094 Huslia","31","45","9","10","0"
"36-098 Kaltag","20","12","3","5","0"
"36-102 Kenny Lake","129","39","9","8","0"
"36-106 Koyukuk","7","13","2","7","0"
"36-110 Manley","33","11","2","1","0"
"36-114 McGrath","59","18","10","6","1"
"36-118 Mentasta","30","7","0","1","1"
"36-122 Minto","24","23","0","4","0"
"36-126 Nenana","197","94","11","12","0"
"36-130 Nikolai","6","12","6","3","0"
"36-134 Northway","64","4","1","1","1"
"36-138 Nulato","42","22","3","9","1"
"36-142 Ruby","21","7","1","1","0"
"36-146 Shageluk","10","11","0","2","0"
"36-162 Tanana","41","25","6","7","0"
"36-166 Tetlin","28","2","0","0","0"
"36-170 Tok","411","76","17","18","0"
"36-174 Venetie","12","27","4","2","0"
"District 35 - Absentee","487","744","67","24","0"
"District 35 - Early Voting","1078","1443","90","59","0"
"District 35  - Question","52","48","14","6","0"
"House District 36 - Judicial District 3","401","196","46","23","0"
"House District 36 - Judicial District 4","1333","974","130","72","2"
"Total","9649","7858","781","601","14"
