"1","Cronk","Williams","Blank","Exhausted","Overvote"
"35-580 Airport","196","52","16","71","0"
"35-582 Chena","747","226","39","418","2"
"35-584 Ester","237","114","14","202","0"
"35-586 Geist","295","97","11","177","0"
"35-587 Lakeview","73","19","6","25","0"
"35-592 Shanly","191","83","20","138","0"
"35-595 University Hills","249","117","27","226","1"
"35-596 University West","655","229","31","375","1"
"36-001 Goldstream No. 1","315","114","23","199","0"
"36-002 Goldstream No. 2","285","166","25","302","0"
"36-010 Allakaket","15","10","2","13","0"
"36-014 Anvik","7","11","0","7","0"
"36-018 Arctic Village","8","14","1","30","0"
"36-022 Beaver","3","6","0","7","1"
"36-026 Bettles","4","3","1","3","0"
"36-034 Central","30","3","2","6","0"
"36-038 Chistochina","52","5","3","10","1"
"36-042 Circle","2","6","2","10","0"
"36-046 Copper Center","287","29","10","28","0"
"36-050 Delta Junction","278","37","17","26","0"
"36-054 Deltana","931","130","57","80","0"
"36-058 Dot Lake","43","2","2","2","0"
"36-062 Eagle","44","11","5","9","0"
"36-066 Fort Yukon","46","20","11","61","2"
"36-070 Gakona","83","5","6","16","0"
"36-074 Galena","108","11","4","23","0"
"36-078 Glennallen","134","23","10","12","0"
"36-082 Grayling","21","26","2","5","1"
"36-086 Holy Cross","8","23","3","7","0"
"36-090 Hughes","17","4","0","9","0"
"36-094 Huslia","35","19","9","32","0"
"36-098 Kaltag","21","10","3","6","0"
"36-102 Kenny Lake","133","16","9","27","0"
"36-106 Koyukuk","8","12","2","7","0"
"36-110 Manley","34","1","2","10","0"
"36-114 McGrath","58","11","10","14","1"
"36-118 Mentasta","30","2","0","6","1"
"36-122 Minto","28","8","0","15","0"
"36-126 Nenana","208","45","11","49","1"
"36-130 Nikolai","7","8","6","6","0"
"36-134 Northway","65","1","1","3","1"
"36-138 Nulato","43","12","3","18","1"
"36-142 Ruby","21","2","1","6","0"
"36-146 Shageluk","12","7","0","4","0"
"36-162 Tanana","44","10","6","19","0"
"36-166 Tetlin","28","1","0","1","0"
"36-170 Tok","419","45","17","41","0"
"36-174 Venetie","14","3","4","24","0"
"District 35 - Absentee","527","187","67","541","0"
"District 35 - Early Voting","1138","467","90","975","0"
"District 35  - Question","57","15","14","34","0"
"House District 36 - Judicial District 3","427","76","46","117","0"
"House District 36 - Judicial District 4","1409","355","130","613","4"
"Total","10130","2909","781","5065","18"
