"1","Fletcher","Williams","Blank","Exhausted","Overvote"
"35-580 Airport","121","53","16","145","0"
"35-582 Chena","676","183","39","533","1"
"35-584 Ester","328","59","14","166","0"
"35-586 Geist","288","72","11","209","0"
"35-587 Lakeview","40","22","6","55","0"
"35-592 Shanly","230","56","20","126","0"
"35-595 University Hills","377","60","27","156","0"
"35-596 University West","661","164","31","434","1"
"36-001 Goldstream No. 1","326","96","23","206","0"
"36-002 Goldstream No. 2","459","109","25","185","0"
"36-010 Allakaket","23","10","2","5","0"
"36-014 Anvik","13","10","0","2","0"
"36-018 Arctic Village","35","11","1","6","0"
"36-022 Beaver","10","5","0","1","1"
"36-026 Bettles","4","3","1","3","0"
"36-034 Central","7","5","2","27","0"
"36-038 Chistochina","12","6","3","49","1"
"36-042 Circle","14","2","2","2","0"
"36-046 Copper Center","80","55","10","208","1"
"36-050 Delta Junction","64","56","17","220","1"
"36-054 Deltana","181","189","57","771","0"
"36-058 Dot Lake","5","1","2","41","0"
"36-062 Eagle","14","12","5","38","0"
"36-066 Fort Yukon","74","17","11","37","1"
"36-070 Gakona","26","6","6","72","0"
"36-074 Galena","49","22","4","71","0"
"36-078 Glennallen","34","38","10","97","0"
"36-082 Grayling","19","21","2","12","1"
"36-086 Holy Cross","13","20","3","5","0"
"36-090 Hughes","10","4","0","16","0"
"36-094 Huslia","50","18","9","18","0"
"36-098 Kaltag","17","8","3","12","0"
"36-102 Kenny Lake","46","28","9","102","0"
"36-106 Koyukuk","11","12","2","4","0"
"36-110 Manley","11","2","2","32","0"
"36-114 McGrath","22","14","10","47","1"
"36-118 Mentasta","9","7","0","22","1"
"36-122 Minto","28","7","0","16","0"
"36-126 Nenana","104","50","11","149","0"
"36-130 Nikolai","12","4","6","5","0"
"36-134 Northway","17","13","1","38","2"
"36-138 Nulato","26","10","3","37","1"
"36-142 Ruby","7","3","1","19","0"
"36-146 Shageluk","16","5","0","2","0"
"36-162 Tanana","29","9","6","35","0"
"36-166 Tetlin","7","2","0","21","0"
"36-170 Tok","94","83","17","327","1"
"36-174 Venetie","29","2","4","10","0"
"District 35 - Absentee","748","135","67","372","0"
"District 35 - Early Voting","1448","286","90","846","0"
"District 35  - Question","58","12","14","36","0"
"House District 36 - Judicial District 3","214","82","46","323","1"
"House District 36 - Judicial District 4","1039","301","130","1035","6"
"Total","8235","2460","781","7406","21"
