"1","Cronk","Cronk","Cronk","Cronk","Fletcher","Fletcher","Fletcher","Fletcher","Williams","Williams","Williams","Williams","Blank","Overvote"
"2","","Fletcher","Overvote","Williams","","Cronk","Overvote","Williams","","Cronk","Fletcher","Overvote","",""
"35-580 Airport","145","11","0","27","71","13","0","26","10","10","6","0","16","0"
"35-582 Chena","533","42","0","117","418","55","1","160","33","16","17","0","39","1"
"35-584 Ester","166","14","0","33","202","24","0","88","10","8","8","0","14","0"
"35-586 Geist","209","25","0","39","177","22","0","64","16","11","6","0","11","0"
"35-587 Lakeview","55","4","0","11","25","3","0","8","8","2","1","0","6","0"
"35-592 Shanly","126","18","0","29","138","18","0","56","7","8","12","0","20","0"
"35-595 University Hills","156","17","0","35","226","41","1","92","7","7","11","0","27","0"
"35-596 University West","434","54","0","103","375","64","0","168","27","17","17","0","31","1"
"36-001 Goldstream No. 1","206","20","0","61","199","28","0","79","19","7","8","1","23","0"
"36-002 Goldstream No. 2","185","15","0","55","302","30","0","112","21","13","20","0","25","0"
"36-010 Allakaket","5","4","0","3","13","3","0","3","5","0","2","0","2","0"
"36-014 Anvik","2","3","0","1","7","1","0","2","7","0","2","0","0","0"
"36-018 Arctic Village","6","1","0","1","30","0","0","4","9","0","1","0","1","0"
"36-022 Beaver","1","0","0","0","7","2","0","1","3","0","2","0","0","1"
"36-026 Bettles","3","1","0","0","3","0","0","0","1","1","1","0","1","0"
"36-034 Central","27","0","0","3","6","0","0","1","1","0","1","0","2","0"
"36-038 Chistochina","49","1","0","2","10","0","0","1","2","2","0","0","3","1"
"36-042 Circle","2","0","0","0","10","0","0","4","2","0","0","0","2","0"
"36-046 Copper Center","208","27","1","38","28","13","0","12","10","0","7","0","10","0"
"36-050 Delta Junction","220","18","1","32","26","7","0","13","8","9","7","0","17","0"
"36-054 Deltana","771","45","0","92","80","23","0","33","52","22","23","0","57","0"
"36-058 Dot Lake","41","1","0","1","2","0","0","2","0","0","0","0","2","0"
"36-062 Eagle","38","0","0","5","9","1","0","4","6","0","1","0","5","0"
"36-066 Fort Yukon","37","3","0","2","61","4","1","5","14","0","1","0","11","1"
"36-070 Gakona","72","6","0","5","16","0","0","4","0","0","1","0","6","0"
"36-074 Galena","71","13","0","15","23","9","0","4","7","0","0","0","4","0"
"36-078 Glennallen","97","13","0","21","12","3","0","6","8","1","8","0","10","0"
"36-082 Grayling","12","5","0","2","5","2","0","7","15","0","4","0","2","1"
"36-086 Holy Cross","5","0","0","3","7","0","0","6","8","2","6","1","3","0"
"36-090 Hughes","16","0","0","0","9","1","0","0","4","0","0","0","0","0"
"36-094 Huslia","18","8","0","4","32","5","0","5","10","1","3","0","9","0"
"36-098 Kaltag","12","5","0","2","6","2","0","4","5","1","0","0","3","0"
"36-102 Kenny Lake","102","9","0","18","27","4","0","6","8","0","2","0","9","0"
"36-106 Koyukuk","4","2","0","0","7","2","0","0","7","1","4","0","2","0"
"36-110 Manley","32","0","0","1","10","1","0","0","1","0","0","0","2","0"
"36-114 McGrath","47","4","0","5","14","2","0","2","6","3","0","0","10","1"
"36-118 Mentasta","22","2","0","5","6","1","0","0","1","1","0","0","0","1"
"36-122 Minto","16","7","0","1","15","4","0","2","4","0","2","0","0","0"
"36-126 Nenana","149","20","0","21","49","18","1","16","12","7","10","0","11","0"
"36-130 Nikolai","5","1","0","0","6","1","0","4","3","0","1","0","6","0"
"36-134 Northway","38","13","1","12","3","1","0","0","1","0","0","0","1","1"
"36-138 Nulato","37","5","0","0","18","1","0","2","9","0","1","0","3","1"
"36-142 Ruby","19","1","0","1","6","0","0","0","1","0","1","0","1","0"
"36-146 Shageluk","2","8","0","0","4","2","0","2","2","0","3","0","0","0"
"36-162 Tanana","35","5","0","1","19","3","0","2","7","0","1","0","6","0"
"36-166 Tetlin","21","5","0","2","1","0","0","1","0","0","0","0","0","0"
"36-170 Tok","327","28","1","49","41","14","0","11","18","6","10","0","17","0"
"36-174 Venetie","10","2","0","0","24","2","0","1","2","0","0","0","4","0"
"District 35 - Absentee","372","30","0","69","541","56","0","121","24","16","26","0","67","0"
"District 35 - Early Voting","846","47","0","158","975","87","0","339","59","27","42","0","90","0"
"District 35  - Question","36","10","0","5","34","6","0","8","6","1","0","0","14","0"
"House District 36 - Judicial District 3","323","27","1","43","117","33","0","37","23","7","9","0","46","0"
"House District 36 - Judicial District 4","1035","110","4","150","613","110","2","204","72","34","45","0","130","2"
"Total","7406","710","9","1283","5065","722","6","1732","601","241","333","2","781","12"
