"1","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Fletcher","Fletcher","Fletcher","Fletcher","Overvote","Williams","Williams","Williams","Write-in","Write-in","Write-in","","Cronk","Cronk","Cronk","Cronk","Overvote","Williams","Williams","Williams","Write-in","Write-in","Write-in","Write-in","","Cronk","Cronk","Cronk","Fletcher","Fletcher","Fletcher","Fletcher","Overvote","Write-in","Write-in","","Cronk","Cronk","Fletcher","Fletcher","Fletcher","Williams","Williams","Williams","",""
"3","","","Overvote","Williams","Write-in","","","Fletcher","Write-in","","Fletcher","Williams","","","Overvote","Williams","Write-in","","","Cronk","Write-in","","Cronk","Overvote","Williams","","","Fletcher","Write-in","","Cronk","Overvote","Write-in","","Cronk","Fletcher","","","Fletcher","","Cronk","Williams","","Cronk","Fletcher","",""
"35-580 Airport","143","4","0","7","0","0","7","14","4","1","0","2","71","7","0","6","0","0","11","15","0","0","0","0","0","10","6","4","0","2","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","16","0"
"35-582 Chena","532","20","0","22","0","0","52","59","2","1","0","4","416","25","0","30","0","0","70","78","10","2","0","1","2","33","5","10","1","2","13","0","1","0","0","1","1","0","0","0","0","0","0","0","0","38","1"
"35-584 Ester","166","8","0","6","0","0","13","17","3","0","0","0","198","15","0","9","0","0","41","43","1","3","0","0","3","10","4","4","0","2","6","0","0","0","0","0","3","0","0","1","0","0","0","0","0","11","0"
"35-586 Geist","209","12","0","13","0","0","13","24","2","0","0","0","175","9","0","12","0","0","27","36","1","2","0","0","0","16","4","6","1","3","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","11","0"
"35-587 Lakeview","55","1","0","3","0","0","5","6","0","0","0","0","25","1","0","2","0","0","2","6","0","0","0","0","0","8","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0"
"35-592 Shanly","126","7","0","11","0","0","12","17","0","0","0","0","138","1","0","17","0","0","28","27","1","0","0","0","0","7","2","6","0","4","8","0","0","0","0","0","1","0","0","0","0","0","0","0","0","19","0"
"35-595 University Hills","156","8","0","9","0","0","20","14","1","0","0","0","224","13","1","26","0","0","41","48","3","2","1","1","0","7","3","3","1","6","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","26","0"
"35-596 University West","432","22","0","31","0","0","36","64","3","2","1","0","374","28","0","36","0","0","59","103","5","1","0","0","1","27","5","12","0","5","11","0","1","0","0","0","2","0","0","0","0","0","0","0","0","29","1"
"36-001 Goldstream No. 1","206","7","0","12","0","0","38","20","2","0","0","1","197","12","0","16","0","0","38","38","2","2","0","0","1","19","6","1","0","3","5","0","0","1","0","0","0","0","1","0","0","0","0","0","0","23","0"
"36-002 Goldstream No. 2","185","6","0","9","0","0","31","23","1","0","0","0","301","16","0","14","0","0","58","48","3","1","0","0","3","21","5","8","0","9","11","0","0","0","0","0","2","0","0","0","0","0","0","0","0","23","0"
"36-010 Allakaket","5","1","0","3","0","0","0","3","0","0","0","0","13","0","0","3","0","0","0","3","0","0","0","0","0","5","0","0","0","1","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"36-014 Anvik","2","0","0","3","0","0","0","1","0","0","0","0","7","0","0","1","0","0","0","2","0","0","0","0","0","7","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
