"1","Olson","Write-in","Blank"
"39-900 Alakanuk","80","1","6"
"39-902 Brevig Mission","96","1","5"
"39-906 Diomede","10","0","0"
"39-908 Elim","91","4","8"
"39-910 Emmonak","135","1","12"
"39-912 Gambell","125","0","21"
"39-914 Golovin","38","7","4"
"39-916 Hooper Bay","145","1","21"
"39-918 Kotlik","97","1","11"
"39-920 Koyuk","93","1","6"
"39-921 Marshall","79","0","7"
"39-922 Mountain Village","123","1","8"
"39-924 Nome No. 1","246","13","44"
"39-926 Nome No. 2","497","20","63"
"39-928 Nunam Iqua","34","1","2"
"39-930 Pilot Station","82","1","11"
"39-931 Russian Mission","50","0","9"
"39-932 Savoonga","152","0","7"
"39-934 Scammon Bay","104","0","4"
"39-936 Shaktoolik","52","1","4"
"39-938 Shishmaref","160","6","9"
"39-940 St. Mary's","112","0","5"
"39-942 St. Michael","55","0","10"
"39-944 Stebbins","67","1","5"
"39-946 Teller","31","1","4"
"39-948 Unalakleet","196","13","12"
"39-950 Wales","5","0","3"
"39-952 White Mountain","65","2","2"
"40-002 Ambler","42","0","2"
"40-004 Anaktuvuk Pass","56","1","1"
"40-006 Atqasuk","34","1","2"
"40-008 Utqiagvik","218","2","29"
"40-010 Browerville","578","8","61"
"40-012 Buckland","79","0","5"
"40-014 Deering","33","0","4"
"40-016 Kaktovik","68","2","3"
"40-018 Kiana","49","0","11"
"40-020 Kivalina","59","1","2"
"40-022 Kobuk","33","0","5"
"40-024 Kotzebue","491","12","71"
"40-026 Noatak","95","0","10"
"40-028 Noorvik","83","4","9"
"40-030 Nuiqsut","41","0","3"
"40-032 Point Hope","110","1","9"
"40-034 Point Lay","23","0","7"
"40-036 Selawik","67","0","11"
"40-038 Shungnak","45","0","5"
"40-040 Wainwright","116","3","10"
"District 40 - Absentee","358","8","55"
"District 40 - Early Voting","33","3","10"
"District 40  - Question","76","1","15"
"House District 39 - Judicial District 2","583","23","82"
"House District 39 - Judicial District 4","79","3","10"
"Total","6469","150","735"
