"1","Harris/Walz","Kennedy/Shanahan","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","283","72","7","199","0"
"01-610 Ketchikan No. 2","370","85","7","382","2"
"01-620 Ketchikan No. 3","191","56","6","306","2"
"01-640 North Tongass No. 1","122","44","1","246","0"
"01-650 North Tongass No. 2","210","98","1","428","3"
"01-660 Saxman","78","10","0","25","1"
"01-670 South Tongass","225","85","8","311","0"
"01-675 Coffman Cove","22","16","2","69","1"
"01-680 Metlakatla","268","60","7","117","5"
"01-690 Wrangell","206","105","4","361","1"
"02-700 Angoon","78","11","0","24","0"
"02-705 Craig","131","60","3","198","4"
"02-720 Hoonah","116","47","3","95","3"
"02-725 Hydaburg","75","9","0","14","0"
"02-730 Kake","110","25","1","43","2"
"02-735 Kasaan","8","4","0","13","0"
"02-740 Klawock","137","54","0","151","3"
"02-750 Pelican-Elfin Cove","16","6","0","18","0"
"02-755 Petersburg-Kupreanof","301","159","10","372","1"
"02-760 Port Alexander","5","1","0","4","1"
"02-765 Sitka No. 1","458","139","8","358","3"
"02-770 Sitka No. 2","480","140","4","278","3"
"02-775 Tenakee Springs","27","5","1","9","0"
"02-780 Thorne Bay","30","21","0","139","0"
"02-785 Yakutat","124","23","0","76","3"
"03-300 Auke Bay","275","59","3","147","0"
"03-305 Lynn Canal","233","40","6","151","1"
"03-310 Melvin Park","282","89","7","197","1"
"03-315 Mendenhall Glacier","420","116","5","383","0"
"03-320 Thunder Mountain","388","99","3","312","0"
"03-325 Gustavus","112","18","0","59","0"
"03-330 Haines No. 1","299","90","4","253","3"
"03-335 Haines No. 2","49","7","0","53","0"
"03-340 Klukwan","27","3","0","11","0"
"03-345 Skagway","282","45","1","84","0"
"04-100 Douglas","397","37","2","92","1"
"04-105 Juneau Airport Area","128","56","2","113","0"
"04-110 Juneau No. 1","295","49","4","84","1"
"04-115 Juneau No. 2","372","22","1","66","0"
"04-120 Juneau No. 3","172","21","2","62","1"
"04-125 Lemon Creek","314","84","3","170","0"
"04-130 Glacier Valley Area","198","63","2","121","4"
"04-135 North Douglas","312","36","3","94","0"
"05-800 Chiniak","21","4","0","29","0"
"05-810 Flats","181","90","3","286","2"
"05-815 Kodiak Island South","7","0","1","8","1"
"05-820 Kodiak No. 1","284","85","1","276","3"
"05-825 Kodiak No. 2","319","72","1","302","2"
"05-830 Mission Road","518","230","6","654","0"
"05-835 Old Harbor","16","3","0","11","0"
"05-840 Ouzinkie","38","9","0","9","1"
"05-845 Port Lions","13","6","2","46","0"
"05-860 Cordova","219","65","6","193","4"
"05-865 Seward-Lowell Point","231","71","6","173","0"
"05-870 Tatitlek","14","3","0","1","1"
"06-200 Anchor Point","229","136","2","621","3"
"06-210 Diamond Ridge","170","39","2","137","1"
"06-220 Fox River","58","26","1","172","1"
"06-230 Homer No. 1","249","76","2","227","1"
"06-240 Homer No. 2","230","64","1","252","1"
"06-250 Kachemak-Fritz Creek","347","84","4","245","0"
"06-260 Kasilof","255","149","4","680","1"
"06-270 Ninilchik","162","77","1","393","1"
"06-280 Seldovia-Kachemak Bay","75","13","3","70","0"
"07-005 Central","166","141","3","435","2"
"07-010 K Beach","183","179","9","525","5"
"07-015 Kenai No. 1","230","127","1","390","6"
"07-020 Kenai No. 2","111","80","4","251","2"
"07-025 Kenai No. 3","94","52","3","191","2"
"07-030 Soldotna","240","152","6","445","3"
"08-035 Bear Creek","236","93","2","266","0"
"08-040 Cooper Landing","68","20","1","58","0"
"08-045 Funny River No. 1","72","40","3","224","1"
"08-050 Funny River No. 2","49","44","1","180","0"
"08-055 Hope","45","3","0","21","0"
"08-060 Mackey Lake","118","86","6","329","0"
"08-065 Moose Pass","72","15","3","71","0"
"08-070 Nikiski","123","129","2","549","0"
"08-075 Salamatof","121","121","4","520","2"
"08-080 Sterling No. 1","132","116","1","455","3"
"08-085 Sterling No. 2","134","88","3","592","1"
