"1","Harris/Walz","Kennedy/Shanahan","Blank","Exhausted","Overvote"
"House District 1","3524","1030","60","4028","27"
"House District 10","4275","1044","60","3438","27"
"House District 11","4837","1080","71","3913","27"
"House District 12","4399","979","35","3134","22"
"House District 13","3921","937","32","2717","25"
"House District 14","4540","775","38","2104","38"
"House District 15","4576","1128","65","3583","29"
"House District 16","5607","1019","61","3038","21"
"House District 17","5189","687","38","1832","47"
"House District 18","2035","820","16","1962","7"
"House District 19","3013","537","14","1468","34"
"House District 2","4768","1240","57","3553","48"
"House District 20","4167","810","31","2281","38"
"House District 21","4950","986","34","3101","37"
"House District 22","2851","713","25","1888","44"
"House District 23","4348","1505","50","4824","15"
"House District 24","3426","1407","55","5278","16"
"House District 25","3318","1586","59","5548","21"
"House District 26","2121","1624","31","5699","17"
"House District 27","1951","1523","41","5375","22"
"House District 28","2347","1499","47","5427","11"
"House District 29","2883","1546","56","6063","22"
"House District 3","6394","1116","52","3593","15"
"House District 30","2843","1449","57","6012","28"
"House District 31","3455","933","53","2605","38"
"House District 32","2055","1123","26","2682","15"
"House District 33","2173","1654","31","5023","19"
"House District 34","3955","1618","61","4431","27"
"House District 35","5183","1197","51","3350","16"
"House District 36","3754","1231","85","4604","46"
"House District 37","2093","582","37","1668","64"
"House District 38","2179","709","29","886","73"
"House District 39","2439","759","34","997","79"
"House District 4","6418","793","47","2056","21"
"House District 40","1543","602","31","1144","42"
"House District 5","3529","1099","55","3387","27"
"House District 6","4968","1262","56","5765","12"
"House District 7","2645","1512","56","5441","33"
"House District 8","2695","1486","54","6618","15"
"House District 9","6045","1261","97","4527","8"
"House District 99","341","17","0","43","0"
"Total","147753","44878","1888","145086","1173"
