"1","Harris/Walz","Oliver/Maat","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","290","43","7","221","0"
"01-610 Ketchikan No. 2","368","62","7","406","3"
"01-620 Ketchikan No. 3","192","19","6","342","2"
"01-640 North Tongass No. 1","121","22","1","268","1"
"01-650 North Tongass No. 2","213","55","1","468","3"
"01-660 Saxman","80","5","0","28","1"
"01-670 South Tongass","227","52","8","342","0"
"01-675 Coffman Cove","22","4","2","81","1"
"01-680 Metlakatla","282","22","7","142","4"
"01-690 Wrangell","209","57","4","406","1"
"02-700 Angoon","78","6","0","29","0"
"02-705 Craig","132","27","3","230","4"
"02-720 Hoonah","120","24","3","114","3"
"02-725 Hydaburg","77","2","0","19","0"
"02-730 Kake","112","12","1","54","2"
"02-735 Kasaan","8","3","0","14","0"
"02-740 Klawock","141","29","0","173","2"
"02-750 Pelican-Elfin Cove","17","2","0","21","0"
"02-755 Petersburg-Kupreanof","309","79","10","444","1"
"02-760 Port Alexander","5","0","0","5","1"
"02-765 Sitka No. 1","467","77","8","411","3"
"02-770 Sitka No. 2","488","68","4","342","3"
"02-775 Tenakee Springs","28","0","1","13","0"
"02-780 Thorne Bay","32","12","0","146","0"
"02-785 Yakutat","121","17","0","85","3"
"03-300 Auke Bay","275","28","3","178","0"
"03-305 Lynn Canal","235","26","6","164","0"
"03-310 Melvin Park","285","56","7","228","0"
"03-315 Mendenhall Glacier","426","82","5","411","0"
"03-320 Thunder Mountain","387","76","3","336","0"
"03-325 Gustavus","108","19","0","62","0"
"03-330 Haines No. 1","300","60","4","282","3"
"03-335 Haines No. 2","52","5","0","52","0"
"03-340 Klukwan","26","3","0","12","0"
"03-345 Skagway","281","34","1","96","0"
"04-100 Douglas","405","21","2","100","1"
"04-105 Juneau Airport Area","129","38","2","130","0"
"04-110 Juneau No. 1","298","28","4","102","1"
"04-115 Juneau No. 2","373","15","1","72","0"
"04-120 Juneau No. 3","172","12","2","71","1"
"04-125 Lemon Creek","323","51","3","192","2"
"04-130 Glacier Valley Area","202","29","2","151","4"
"04-135 North Douglas","314","21","3","107","0"
"05-800 Chiniak","21","3","0","30","0"
"05-810 Flats","182","51","3","324","2"
"05-815 Kodiak Island South","7","0","1","8","1"
"05-820 Kodiak No. 1","288","51","1","307","2"
"05-825 Kodiak No. 2","325","37","1","331","2"
"05-830 Mission Road","528","139","6","735","0"
"05-835 Old Harbor","16","1","0","13","0"
"05-840 Ouzinkie","37","8","0","10","2"
"05-845 Port Lions","12","3","2","50","0"
"05-860 Cordova","230","38","6","209","4"
"05-865 Seward-Lowell Point","238","38","6","199","0"
"05-870 Tatitlek","14","3","0","1","1"
"06-200 Anchor Point","230","83","2","672","4"
"06-210 Diamond Ridge","174","17","2","155","1"
"06-220 Fox River","61","10","1","184","2"
"06-230 Homer No. 1","254","45","2","253","1"
"06-240 Homer No. 2","234","36","1","276","1"
"06-250 Kachemak-Fritz Creek","352","51","4","273","0"
"06-260 Kasilof","257","83","4","743","2"
"06-270 Ninilchik","167","57","1","408","1"
"06-280 Seldovia-Kachemak Bay","74","11","3","73","0"
"07-005 Central","174","86","3","482","2"
