"1","Harris/Walz","Oliver/Maat","Blank","Exhausted","Overvote"
"House District 1","3579","555","60","4446","29"
"House District 10","4324","593","60","3843","24"
"House District 11","4863","632","71","4336","26"
"House District 12","4440","609","35","3461","24"
"House District 13","3972","575","32","3028","25"
"House District 14","4568","495","38","2357","37"
"House District 15","4634","637","65","4015","30"
"House District 16","5648","702","61","3313","22"
"House District 17","5220","445","38","2044","46"
"House District 18","2064","505","16","2246","9"
"House District 19","3027","354","14","1633","38"
"House District 2","4842","637","57","4083","47"
"House District 20","4212","528","31","2515","41"
"House District 21","4988","622","34","3426","38"
"House District 22","2898","487","25","2066","45"
"House District 23","4407","955","50","5315","15"
"House District 24","3464","941","55","5704","18"
"House District 25","3385","968","59","6096","24"
"House District 26","2162","923","31","6359","17"
"House District 27","1959","965","41","5930","17"
"House District 28","2391","910","47","5970","13"
"House District 29","2921","925","56","6642","26"
"House District 3","6429","709","52","3969","11"
"House District 30","2871","921","57","6511","29"
"House District 31","3490","597","53","2905","39"
"House District 32","2094","815","26","2948","18"
"House District 33","2220","1114","31","5515","20"
"House District 34","3994","1054","61","4956","27"
"House District 35","5204","801","51","3724","17"
"House District 36","3805","771","85","5011","48"
"House District 37","2143","348","37","1850","66"
"House District 38","2268","441","29","1054","84"
"House District 39","2535","453","34","1202","84"
"House District 4","6476","462","47","2327","23"
"House District 40","1607","399","31","1281","44"
"House District 5","3585","632","55","3798","27"
"House District 6","5022","702","56","6266","17"
"House District 7","2695","902","56","5998","36"
"House District 8","2741","874","54","7182","17"
"House District 9","6114","730","97","4985","12"
"House District 99","343","12","0","46","0"
"Total","149604","27700","1888","160356","1230"
