"1","Harris/Walz","Sonski/Onak","Blank","Exhausted","Overvote"
"House District 1","3611","401","60","4570","27"
"House District 10","4359","405","60","3996","24"
"House District 11","4909","414","71","4508","26"
"House District 12","4469","468","35","3574","23"
"House District 13","4017","432","32","3124","27"
"House District 14","4608","359","38","2449","41"
"House District 15","4691","448","65","4145","32"
"House District 16","5716","459","61","3488","22"
"House District 17","5266","292","38","2151","46"
"House District 18","2090","370","16","2356","8"
"House District 19","3062","254","14","1702","34"
"House District 2","4867","478","57","4217","47"
"House District 20","4236","388","31","2630","42"
"House District 21","5025","469","34","3537","43"
"House District 22","2921","374","25","2155","46"
"House District 23","4468","631","50","5573","20"
"House District 24","3522","643","55","5946","16"
"House District 25","3439","676","59","6337","21"
"House District 26","2204","677","31","6563","17"
"House District 27","1991","712","41","6149","19"
"House District 28","2424","682","47","6165","13"
"House District 29","2964","648","56","6873","29"
"House District 3","6466","467","52","4174","11"
"House District 30","2898","667","57","6735","32"
"House District 31","3517","459","53","3016","39"
"House District 32","2141","626","26","3090","18"
"House District 33","2270","848","31","5732","19"
"House District 34","4043","746","61","5213","29"
"House District 35","5252","547","51","3928","19"
"House District 36","3807","583","85","5200","45"
"House District 37","2156","285","37","1900","66"
"House District 38","2283","403","29","1074","87"
"House District 39","2540","413","34","1235","86"
"House District 4","6498","335","47","2435","20"
"House District 40","1624","363","31","1301","43"
"House District 5","3634","452","55","3928","28"
"House District 6","5072","434","56","6485","16"
"House District 7","2736","669","56","6191","35"
"House District 8","2764","671","54","7364","15"
"House District 9","6167","463","97","5200","11"
"House District 99","344","8","0","49","0"
"Total","151071","20119","1888","166458","1242"
