"1","Harris/Walz","Stein/Ware","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","289","36","7","229","0"
"01-610 Ketchikan No. 2","371","45","7","420","3"
"01-620 Ketchikan No. 3","191","15","6","347","2"
"01-640 North Tongass No. 1","122","21","1","268","1"
"01-650 North Tongass No. 2","213","50","1","473","3"
"01-660 Saxman","79","6","0","28","1"
"01-670 South Tongass","233","36","8","352","0"
"01-675 Coffman Cove","22","3","2","82","1"
"01-680 Metlakatla","282","20","7","144","4"
"01-690 Wrangell","211","49","4","412","1"
"02-700 Angoon","77","4","0","32","0"
"02-705 Craig","133","26","3","230","4"
"02-720 Hoonah","123","19","3","116","3"
"02-725 Hydaburg","76","4","0","18","0"
"02-730 Kake","113","13","1","52","2"
"02-735 Kasaan","7","3","0","15","0"
"02-740 Klawock","140","23","0","180","2"
"02-750 Pelican-Elfin Cove","17","3","0","20","0"
"02-755 Petersburg-Kupreanof","305","71","10","456","1"
"02-760 Port Alexander","5","0","0","5","1"
"02-765 Sitka No. 1","462","64","8","429","3"
"02-770 Sitka No. 2","486","65","4","347","3"
"02-775 Tenakee Springs","27","1","1","13","0"
"02-780 Thorne Bay","32","9","0","149","0"
"02-785 Yakutat","125","11","0","87","3"
"03-300 Auke Bay","273","25","3","183","0"
"03-305 Lynn Canal","232","17","6","176","0"
"03-310 Melvin Park","278","51","7","240","0"
"03-315 Mendenhall Glacier","428","65","5","426","0"
"03-320 Thunder Mountain","389","50","3","360","0"
"03-325 Gustavus","111","15","0","63","0"
"03-330 Haines No. 1","295","44","4","303","3"
"03-335 Haines No. 2","48","7","0","54","0"
"03-340 Klukwan","26","5","0","10","0"
"03-345 Skagway","281","27","1","103","0"
"04-100 Douglas","398","26","2","103","0"
"04-105 Juneau Airport Area","127","23","2","147","0"
"04-110 Juneau No. 1","294","26","4","108","1"
"04-115 Juneau No. 2","370","14","1","76","0"
"04-120 Juneau No. 3","171","13","2","71","1"
"04-125 Lemon Creek","320","50","3","198","0"
"04-130 Glacier Valley Area","194","37","2","151","4"
"04-135 North Douglas","312","18","3","112","0"
"05-800 Chiniak","22","5","0","27","0"
"05-810 Flats","182","35","3","340","2"
"05-815 Kodiak Island South","7","0","1","8","1"
"05-820 Kodiak No. 1","286","51","1","309","2"
"05-825 Kodiak No. 2","315","45","1","333","2"
"05-830 Mission Road","524","129","6","749","0"
"05-835 Old Harbor","16","2","0","12","0"
"05-840 Ouzinkie","38","6","0","11","2"
"05-845 Port Lions","12","4","2","49","0"
"05-860 Cordova","228","35","6","214","4"
"05-865 Seward-Lowell Point","230","40","6","205","0"
"05-870 Tatitlek","14","3","0","1","1"
"06-200 Anchor Point","230","65","2","691","3"
"06-210 Diamond Ridge","166","17","2","163","1"
"06-220 Fox River","59","10","1","187","1"
"06-230 Homer No. 1","251","41","2","260","1"
"06-240 Homer No. 2","234","19","1","293","1"
"06-250 Kachemak-Fritz Creek","351","45","4","280","0"
"06-260 Kasilof","260","60","4","764","1"
"06-270 Ninilchik","169","36","1","427","1"
"06-280 Seldovia-Kachemak Bay","74","9","3","75","0"
"07-005 Central","173","62","3","507","2"
"07-010 K Beach","195","74","9","618","5"
"07-015 Kenai No. 1","237","70","1","440","6"
"07-020 Kenai No. 2","115","45","4","282","2"
"07-025 Kenai No. 3","93","29","3","215","2"
"07-030 Soldotna","240","77","6","520","3"
"08-035 Bear Creek","244","48","2","303","0"
"08-040 Cooper Landing","68","6","1","72","0"
"08-045 Funny River No. 1","74","14","3","248","1"
"08-050 Funny River No. 2","52","16","1","205","0"
"08-055 Hope","42","6","0","21","0"
"08-060 Mackey Lake","125","43","6","365","0"
"08-065 Moose Pass","70","10","3","78","0"
"08-070 Nikiski","126","67","2","608","0"
"08-075 Salamatof","124","65","4","573","2"
"08-080 Sterling No. 1","131","59","1","515","1"
"08-085 Sterling No. 2","139","46","3","629","1"
"09-105 Girdwood","602","40","10","177","1"
"09-110 Indian","67","9","1","54","0"
"09-115 South Anchorage No. 1","504","66","16","553","1"
"09-120 South Anchorage No. 2","460","62","7","687","0"
"09-125 South Anchorage No. 3","446","49","7","531","2"
"09-130 South Anchorage No. 4","479","59","11","579","1"
"09-135 South Anchorage No. 5","236","20","2","242","0"
"09-140 Stuckagain Heights","87","9","2","61","0"
"09-145 Whittier","35","3","1","43","1"
"10-150 Dimond","386","64","3","363","8"
"10-155 Oceanview No. 1","491","63","7","483","1"
"10-160 Oceanview No. 2","309","23","10","373","3"
"10-165 Oceanview No. 3","426","69","5","458","3"
"10-170 Oceanview No. 4","384","45","5","399","1"
"10-175 Oceanview No. 5","293","50","2","328","2"
"11-205 Hillside No. 1","297","52","2","275","5"
"11-210 Hillside No. 2","547","74","7","573","10"
"11-215 Hillside No. 3","259","27","3","351","0"
"11-220 Hillside No. 4","256","41","3","384","1"
"11-225 Hillside No. 5","323","15","2","411","0"
"11-230 Hillside No. 6","360","42","8","371","0"
"11-235 Hillside No. 7","319","34","6","289","0"
"12-250 Southeast Anchorage No. 1","380","80","2","416","2"
"12-255 Southeast Anchorage No. 2","204","38","1","245","0"
"12-260 Southeast Anchorage No. 3","375","60","1","362","1"
"12-265 Southeast Anchorage No. 4","372","47","6","384","0"
"12-270 Southeast Anchorage No. 5","448","79","8","427","6"
"12-275 Southeast Anchorage No. 6","420","39","3","336","4"
"13-305 South Midtown No. 1","92","21","1","109","0"
"13-310 South Midtown No. 2","515","64","3","503","3"
"13-315 South Midtown No. 3","461","78","2","434","5"
"13-320 South Midtown No. 4","442","84","3","422","3"
"13-325 South Midtown No. 5","556","86","5","337","5"
"14-350 North Midtown No. 1","176","18","0","93","3"
"14-355 North Midtown No. 2","210","36","2","141","0"
"14-360 North Midtown No. 3","160","26","1","134","0"
"14-365 North Midtown No. 4","247","32","2","168","3"
"14-370 North Midtown No. 5","412","52","4","272","7"
"14-375 North Midtown No. 6","257","30","1","209","1"
"14-380 North Midtown No. 7","551","32","9","275","1"
"15-405 Southwest Anchorage No. 1","307","34","5","321","0"
"15-410 Southwest Anchorage No. 2","371","45","10","363","5"
"15-415 Southwest Anchorage No. 3","448","59","5","429","2"
"15-420 Southwest Anchorage No. 4","401","69","3","349","8"
"15-425 Southwest Anchorage No. 5","382","54","9","345","4"
"15-430 Southwest Anchorage No. 6","506","67","8","594","7"
"16-450 West Anchorage No. 1","461","26","7","166","0"
"16-455 West Anchorage No. 2","469","57","3","267","3"
"16-460 West Anchorage No. 3","600","67","9","375","3"
"16-465 West Anchorage No. 4","261","57","5","213","0"
"16-470 West Anchorage No. 5","416","67","6","421","0"
"16-475 West Anchorage No. 6","367","46","5","350","2"
"16-480 West Anchorage No. 7","299","65","3","250","3"
"17-505 Downtown Anchorage No. 1","205","12","3","127","0"
"17-510 Downtown Anchorage No. 2","346","23","4","121","0"
"17-515 Downtown Anchorage No. 3","222","12","4","107","2"
"17-520 Downtown Anchorage No. 4","402","43","4","185","2"
"17-525 Downtown Anchorage No. 5","269","32","1","129","2"
"17-530 Downtown Anchorage No. 6","194","23","1","93","5"
"17-535 Downtown Anchorage No. 7","272","30","1","143","1"
"18-550 Government Hill","246","25","2","146","0"
"18-555 JBER No.1","236","76","3","517","0"
"18-556 JBER No.2","86","29","0","123","0"
"18-560 North Muldoon","170","26","3","151","1"
"18-565 Ship Creek","49","5","0","32","0"
"19-605 Airport Heights No. 1","471","36","2","213","2"
"19-610 Airport Heights No. 2","334","29","2","357","1"
"19-615 Mountainview No. 1","236","39","0","124","3"
"19-620 Mountainview No. 2","206","28","1","143","2"
"19-625 South Mountainview","233","31","1","196","1"
"20-650 University No. 1","158","22","0","88","2"
"20-655 University No. 2","493","56","4","365","2"
"20-660 University No. 3","514","54","3","339","9"
"20-665 University No. 4","240","32","2","152","1"
"20-670 University No. 5","702","85","11","504","10"
"21-705 East Anchorage No. 1","364","32","4","292","2"
"21-710 East Anchorage No. 2","372","59","2","370","1"
"21-715 East Anchorage No. 3","516","82","7","504","8"
"21-720 East Anchorage No. 4","442","60","2","348","6"
"21-725 East Anchorage No. 5","636","89","4","484","4"
"22-750 Northeast Anchorage No. 1","429","68","3","324","2"
"22-755 Northeast Anchorage No. 2","379","61","0","319","7"
"22-760 Northeast Anchorage No. 3","470","74","5","338","6"
"22-765 Northeast Anchorage No. 4","270","57","4","229","14"
"23-805 Chugach Park No. 1","416","83","5","562","0"
"23-810 Eagle River No. 1","237","52","5","336","2"
"23-815 Eagle River No. 2","299","51","7","322","2"
"23-820 Hiland","232","46","2","358","0"
"23-825 Meadow Creek No. 1","305","53","3","360","2"
"23-830 Meadow Creek No. 2","144","26","1","249","3"
"24-850 Chugach Park No. 2","216","45","8","408","2"
"24-855 Chugiak","115","27","1","225","0"
"24-860 Eagle River No. 3","219","46","3","346","0"
"24-865 Eklutna","214","62","1","362","3"
"24-870 Fire Lake","246","68","3","405","3"
"24-875 Peters Creek No. 1","268","71","8","634","2"
"24-880 Peters Creek No. 2","160","45","1","320","0"
"25-305 Butte","305","104","12","786","1"
"25-310 Greater Palmer","168","37","3","333","1"
"25-315 Lazy Mountain","224","57","3","503","1"
"25-320 Palmer City No. 1","187","43","3","317","1"
"25-325 Palmer City No. 2","206","47","2","306","1"
"25-330 Springer Loop","205","58","5","481","2"
"25-335 Walby","152","79","7","430","2"
"26-350 Fairview No. 1","94","48","1","355","0"
"26-355 Fairview No. 2","100","43","1","248","2"
"26-360 Knik Goose Bay No. 1","221","98","6","850","1"
"26-365 Knik Goose Bay No. 2","170","64","3","546","0"
"26-370 Knik Goose Bay No. 3","113","48","1","347","1"
"26-375 Mat-Su Campus","175","47","5","404","2"
"26-380 Snowshoe","206","81","0","700","0"
"27-405 Foothills","132","73","4","504","3"
"27-410 Meadow Lakes No. 1","188","94","3","781","1"
"27-415 Meadow Lakes No. 2","159","76","7","653","1"
"27-420 Wasilla No. 1","176","72","6","484","4"
"27-425 Wasilla No. 2","204","86","8","644","1"
"28-450 Lakes No. 1","138","58","4","389","1"
"28-455 Lakes No. 2","99","24","4","279","0"
"28-460 Seldon No. 1","175","45","3","729","1"
"28-465 Seldon No. 2","241","89","7","611","2"
"28-470 Seward Meridian","100","38","4","261","0"
"28-475 Trunk","226","68","6","455","4"
"28-480 Wasilla Lake","96","37","1","261","0"
"29-505 Farm Loop","206","77","4","689","1"
"29-510 Fishhook","362","91","8","935","2"
"29-515 Kings Lake","191","67","3","622","2"
"29-520 Lakes No. 3","87","32","1","233","0"
"29-525 Sheep Mountain","23","4","1","121","1"
"29-530 Sutton","133","43","2","326","0"
"29-535 Valdez No. 1","168","32","3","272","0"
"29-540 Valdez No. 2","96","9","1","117","1"
"29-545 Valdez No. 3","122","33","4","218","2"
"30-550 Anderson/Clear","26","6","0","105","0"
"30-555 Big Lake","214","104","8","861","7"
"30-560 Cantwell","42","7","1","36","0"
"30-565 Denali Park","56","5","0","11","0"
"30-570 East Schrock","21","13","0","56","0"
"30-575 Healy","116","46","1","211","0"
"30-580 Houston","111","43","0","369","2"
"30-585 Knik Goose Bay No. 4","229","103","6","777","0"
"30-590 Trapper Creek","30","5","1","82","1"
"30-595 Susitna","124","36","3","334","0"
"30-600 Talkeetna","141","20","3","96","0"
"30-605 Willow","236","69","5","683","3"
"31-446 Aurora","409","58","5","420","0"
"31-455 Fairbanks No. 1","474","50","7","406","4"
"31-480 Fairbanks No. 2","423","74","12","403","2"
"31-485 Fairbanks No. 3","415","86","3","361","9"
"32-355 Fairbanks No. 4","345","74","4","378","3"
"32-365 Fairbanks No. 5","268","48","3","268","2"
"32-375 Fort Wainwright","113","57","0","205","2"
"32-385 Badger No. 2","310","117","6","745","2"
"33-130 Badger No. 1","312","104","4","758","5"
"33-135 Chena Lakes","224","118","6","827","4"
"33-155 Moose Creek","34","13","1","100","0"
"33-165 Newby","270","142","9","828","0"
"33-175 North Pole","174","80","2","481","1"
"33-183 Plack","199","145","0","794","0"
"34-235 Eielson","92","53","0","186","1"
"34-238 Eielson Farm Road","10","3","0","45","0"
"34-240 Farmers Loop","467","63","7","374","0"
"34-260 Salcha","105","48","2","380","1"
"34-263 Steele Creek","361","92","3","590","3"
"34-265 Steese","383","79","8","551","6"
"34-270 Summit","324","79","11","463","3"
"34-280 Two Rivers","140","35","3","325","0"
"35-580 Airport","121","27","3","183","1"
"35-582 Chena","661","102","10","657","2"
"35-584 Ester","322","41","2","200","2"
"35-586 Geist","272","46","1","261","0"
"35-587 Lakeview","39","10","0","74","0"
"35-592 Shanly","228","50","2","152","0"
"35-595 University Hills","357","42","8","213","0"
"35-596 University West","647","100","11","533","0"
"36-001 Goldstream No. 1","313","49","7","280","2"
