"1","Harris/Walz","Stein/Ware","Blank","Exhausted","Overvote"
"House District 1","3583","463","60","4535","28"
"House District 10","4319","473","60","3965","27"
"House District 11","4875","476","71","4479","27"
"House District 12","4434","516","35","3563","21"
"House District 13","3959","523","32","3094","24"
"House District 14","4547","439","38","2430","41"
"House District 15","4666","495","65","4123","32"
"House District 16","5653","564","61","3446","22"
"House District 17","5203","395","38","2109","48"
"House District 18","2078","388","16","2350","8"
"House District 19","3021","312","14","1682","37"
"House District 2","4810","575","57","4178","46"
"House District 20","4190","448","31","2618","40"
"House District 21","4951","569","34","3515","39"
"House District 22","2880","425","25","2141","50"
"House District 23","4446","650","50","5578","18"
"House District 24","3488","695","55","5926","18"
"House District 25","3400","732","59","6317","24"
"House District 26","2189","705","31","6549","18"
"House District 27","1971","731","41","6150","19"
"House District 28","2393","690","47","6187","14"
"House District 29","2915","708","56","6866","25"
"House District 3","6397","549","52","4160","12"
"House District 30","2867","720","57","6712","33"
"House District 31","3491","494","53","3008","38"
"House District 32","2122","645","26","3088","20"
"House District 33","2245","881","31","5723","20"
"House District 34","4001","798","61","5203","29"
"House District 35","5146","679","51","3903","18"
"House District 36","3743","639","85","5208","45"
"House District 37","2122","355","37","1869","61"
"House District 38","2300","387","29","1073","87"
"House District 39","2548","410","34","1226","90"
"House District 4","6404","456","47","2409","19"
"House District 40","1610","379","31","1298","44"
"House District 5","3550","581","55","3884","27"
"House District 6","4984","581","56","6429","13"
"House District 7","2704","692","56","6202","33"
"House District 8","2734","720","54","7345","15"
"House District 9","6117","541","97","5171","12"
"House District 99","340","16","0","45","0"
"Total","149396","22495","1888","165757","1242"
