"1","Harris/Walz","Terry/Broden","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","294","33","7","227","0"
"01-610 Ketchikan No. 2","376","41","7","420","2"
"01-620 Ketchikan No. 3","191","13","6","349","2"
"01-640 North Tongass No. 1","123","19","1","270","0"
"01-650 North Tongass No. 2","219","44","1","473","3"
"01-660 Saxman","81","4","0","28","1"
"01-670 South Tongass","234","37","8","350","0"
"01-675 Coffman Cove","23","2","2","82","1"
"01-680 Metlakatla","284","20","7","141","5"
"01-690 Wrangell","214","49","4","409","1"
"02-700 Angoon","78","3","0","32","0"
"02-705 Craig","133","27","3","229","4"
"02-720 Hoonah","125","16","3","116","4"
"02-725 Hydaburg","77","1","0","20","0"
"02-730 Kake","113","12","1","53","2"
"02-735 Kasaan","8","2","0","15","0"
"02-740 Klawock","141","26","0","176","2"
"02-750 Pelican-Elfin Cove","17","3","0","20","0"
"02-755 Petersburg-Kupreanof","309","67","10","456","1"
"02-760 Port Alexander","5","0","0","5","1"
"02-765 Sitka No. 1","471","64","8","420","3"
"02-770 Sitka No. 2","495","58","4","345","3"
"02-775 Tenakee Springs","28","0","1","13","0"
"02-780 Thorne Bay","33","7","0","150","0"
"02-785 Yakutat","125","14","0","84","3"
"03-300 Auke Bay","278","15","3","188","0"
"03-305 Lynn Canal","235","14","6","176","0"
"03-310 Melvin Park","282","44","7","242","1"
"03-315 Mendenhall Glacier","432","61","5","426","0"
"03-320 Thunder Mountain","393","57","3","349","0"
"03-325 Gustavus","113","12","0","64","0"
"03-330 Haines No. 1","304","39","4","299","3"
"03-335 Haines No. 2","52","2","0","55","0"
"03-340 Klukwan","26","3","0","12","0"
"03-345 Skagway","287","23","1","101","0"
"04-100 Douglas","404","17","2","105","1"
"04-105 Juneau Airport Area","130","23","2","144","0"
"04-110 Juneau No. 1","298","22","4","108","1"
"04-115 Juneau No. 2","375","9","1","76","0"
"04-120 Juneau No. 3","174","9","2","72","1"
"04-125 Lemon Creek","324","45","3","198","1"
"04-130 Glacier Valley Area","203","27","2","152","4"
"04-135 North Douglas","314","14","3","114","0"
"05-800 Chiniak","22","3","0","29","0"
"05-810 Flats","182","39","3","336","2"
"05-815 Kodiak Island South","7","0","1","8","1"
"05-820 Kodiak No. 1","288","46","1","311","3"
"05-825 Kodiak No. 2","321","41","1","331","2"
"05-830 Mission Road","525","134","6","743","0"
"05-835 Old Harbor","16","1","0","13","0"
"05-840 Ouzinkie","40","4","0","11","2"
"05-845 Port Lions","13","2","2","50","0"
"05-860 Cordova","231","33","6","213","4"
"05-865 Seward-Lowell Point","234","31","6","210","0"
"05-870 Tatitlek","14","3","0","1","1"
"06-200 Anchor Point","232","74","2","681","2"
"06-210 Diamond Ridge","174","16","2","156","1"
"06-220 Fox River","61","8","1","187","1"
"06-230 Homer No. 1","256","39","2","257","1"
"06-240 Homer No. 2","237","21","1","288","1"
"06-250 Kachemak-Fritz Creek","360","31","4","285","0"
"06-260 Kasilof","260","76","4","747","2"
"06-270 Ninilchik","167","46","1","419","1"
"06-280 Seldovia-Kachemak Bay","75","9","3","74","0"
"07-005 Central","176","68","3","498","2"
"07-010 K Beach","196","86","9","604","6"
"07-015 Kenai No. 1","242","79","1","426","6"
"07-020 Kenai No. 2","116","49","4","277","2"
"07-025 Kenai No. 3","93","32","3","211","3"
"07-030 Soldotna","246","76","6","515","3"
"08-035 Bear Creek","246","48","2","301","0"
"08-040 Cooper Landing","69","7","1","70","0"
"08-045 Funny River No. 1","74","19","3","243","1"
"08-050 Funny River No. 2","50","20","1","203","0"
"08-055 Hope","45","3","0","21","0"
"08-060 Mackey Lake","126","44","6","363","0"
"08-065 Moose Pass","72","8","3","78","0"
"08-070 Nikiski","128","83","2","590","0"
"08-075 Salamatof","125","77","4","560","2"
"08-080 Sterling No. 1","133","72","1","499","2"
"08-085 Sterling No. 2","140","52","3","622","1"
"09-105 Girdwood","609","25","10","185","1"
"09-110 Indian","71","4","1","55","0"
"09-115 South Anchorage No. 1","506","68","16","550","0"
"09-120 South Anchorage No. 2","460","64","7","685","0"
"09-125 South Anchorage No. 3","444","61","7","522","1"
"09-130 South Anchorage No. 4","486","48","11","583","1"
"09-135 South Anchorage No. 5","238","27","2","233","0"
"09-140 Stuckagain Heights","88","2","2","67","0"
"09-145 Whittier","35","3","1","43","1"
"10-150 Dimond","393","62","3","358","8"
"10-155 Oceanview No. 1","498","56","7","483","1"
"10-160 Oceanview No. 2","311","25","10","369","3"
"10-165 Oceanview No. 3","430","68","5","455","3"
"10-170 Oceanview No. 4","385","45","5","398","1"
"10-175 Oceanview No. 5","299","47","2","325","2"
"11-205 Hillside No. 1","303","47","2","272","7"
"11-210 Hillside No. 2","553","72","7","571","8"
"11-215 Hillside No. 3","257","30","3","350","0"
"11-220 Hillside No. 4","260","38","3","383","1"
"11-225 Hillside No. 5","326","15","2","408","0"
"11-230 Hillside No. 6","365","48","8","360","0"
"11-235 Hillside No. 7","319","35","6","288","0"
"12-250 Southeast Anchorage No. 1","385","72","2","419","2"
"12-255 Southeast Anchorage No. 2","208","39","1","240","0"
"12-260 Southeast Anchorage No. 3","375","66","1","356","1"
"12-265 Southeast Anchorage No. 4","378","54","6","371","0"
"12-270 Southeast Anchorage No. 5","452","76","8","425","7"
"12-275 Southeast Anchorage No. 6","422","38","3","335","4"
"13-305 South Midtown No. 1","91","19","1","112","0"
"13-310 South Midtown No. 2","516","67","3","498","4"
"13-315 South Midtown No. 3","465","74","2","434","5"
"13-320 South Midtown No. 4","454","74","3","420","3"
"13-325 South Midtown No. 5","568","83","5","327","6"
"14-350 North Midtown No. 1","178","19","0","91","2"
"14-355 North Midtown No. 2","216","28","2","143","0"
"14-360 North Midtown No. 3","161","26","1","133","0"
"14-365 North Midtown No. 4","248","33","2","167","2"
"14-370 North Midtown No. 5","412","50","4","274","7"
"14-375 North Midtown No. 6","259","41","1","196","1"
"14-380 North Midtown No. 7","549","37","9","272","1"
"15-405 Southwest Anchorage No. 1","308","36","5","318","0"
"15-410 Southwest Anchorage No. 2","371","44","10","364","5"
"15-415 Southwest Anchorage No. 3","453","58","5","425","2"
"15-420 Southwest Anchorage No. 4","403","68","3","348","8"
"15-425 Southwest Anchorage No. 5","386","50","9","345","4"
"15-430 Southwest Anchorage No. 6","510","70","8","587","7"
"16-450 West Anchorage No. 1","467","20","7","166","0"
"16-455 West Anchorage No. 2","474","55","3","264","3"
"16-460 West Anchorage No. 3","605","66","9","371","3"
"16-465 West Anchorage No. 4","265","56","5","210","0"
"16-470 West Anchorage No. 5","420","66","6","416","2"
"16-475 West Anchorage No. 6","373","42","5","348","2"
"16-480 West Anchorage No. 7","299","71","3","245","2"
"17-505 Downtown Anchorage No. 1","208","10","3","126","0"
"17-510 Downtown Anchorage No. 2","352","14","4","124","0"
"17-515 Downtown Anchorage No. 3","226","6","4","109","2"
"17-520 Downtown Anchorage No. 4","410","35","4","185","2"
"17-525 Downtown Anchorage No. 5","273","26","1","132","1"
"17-530 Downtown Anchorage No. 6","195","20","1","95","5"
"17-535 Downtown Anchorage No. 7","279","24","1","142","1"
"18-550 Government Hill","249","20","2","148","0"
"18-555 JBER No.1","239","76","3","514","0"
"18-556 JBER No.2","88","28","0","122","0"
"18-560 North Muldoon","173","21","3","153","1"
"18-565 Ship Creek","51","5","0","30","0"
"19-605 Airport Heights No. 1","477","31","2","212","2"
"19-610 Airport Heights No. 2","340","22","2","358","1"
"19-615 Mountainview No. 1","241","35","0","122","4"
"19-620 Mountainview No. 2","208","26","1","143","2"
"19-625 South Mountainview","235","31","1","194","1"
"20-650 University No. 1","160","18","0","90","2"
"20-655 University No. 2","503","46","4","365","2"
"20-660 University No. 3","516","55","3","337","8"
"20-665 University No. 4","245","26","2","153","1"
"20-670 University No. 5","703","83","11","504","11"
"21-705 East Anchorage No. 1","373","28","4","287","2"
"21-710 East Anchorage No. 2","375","62","2","364","1"
"21-715 East Anchorage No. 3","519","87","7","496","8"
"21-720 East Anchorage No. 4","446","58","2","348","4"
"21-725 East Anchorage No. 5","640","83","4","485","5"
"22-750 Northeast Anchorage No. 1","425","83","3","314","1"
"22-755 Northeast Anchorage No. 2","373","76","0","310","7"
"22-760 Northeast Anchorage No. 3","480","70","5","332","6"
"22-765 Northeast Anchorage No. 4","275","54","4","229","12"
"23-805 Chugach Park No. 1","423","86","5","552","0"
"23-810 Eagle River No. 1","239","60","5","327","1"
"23-815 Eagle River No. 2","299","61","7","312","2"
"23-820 Hiland","229","52","2","355","0"
"23-825 Meadow Creek No. 1","309","59","3","349","3"
"23-830 Meadow Creek No. 2","147","26","1","246","3"
"24-850 Chugach Park No. 2","220","49","8","400","2"
"24-855 Chugiak","116","30","1","221","0"
"24-860 Eagle River No. 3","221","59","3","331","0"
"24-865 Eklutna","217","56","1","366","2"
"24-870 Fire Lake","246","84","3","389","3"
"24-875 Peters Creek No. 1","272","79","8","622","2"
"24-880 Peters Creek No. 2","163","54","1","308","0"
"25-305 Butte","307","110","12","777","2"
"25-310 Greater Palmer","169","41","3","328","1"
"25-315 Lazy Mountain","227","68","3","489","1"
"25-320 Palmer City No. 1","188","39","3","320","1"
"25-325 Palmer City No. 2","214","46","2","299","1"
"25-330 Springer Loop","204","79","5","462","1"
"25-335 Walby","153","84","7","424","2"
"26-350 Fairview No. 1","97","47","1","353","0"
"26-355 Fairview No. 2","103","39","1","249","2"
"26-360 Knik Goose Bay No. 1","226","99","6","844","1"
"26-365 Knik Goose Bay No. 2","171","66","3","543","0"
"26-370 Knik Goose Bay No. 3","114","48","1","346","1"
"26-375 Mat-Su Campus","176","52","5","398","2"
"26-380 Snowshoe","209","92","0","686","0"
"27-405 Foothills","138","74","4","499","1"
"27-410 Meadow Lakes No. 1","191","112","3","760","1"
"27-415 Meadow Lakes No. 2","158","110","7","620","1"
"27-420 Wasilla No. 1","181","78","6","472","5"
"27-425 Wasilla No. 2","204","97","8","633","1"
"28-450 Lakes No. 1","143","65","4","377","1"
"28-455 Lakes No. 2","101","26","4","274","1"
"28-460 Seldon No. 1","171","52","3","726","1"
"28-465 Seldon No. 2","244","102","7","595","2"
"28-470 Seward Meridian","103","41","4","255","0"
"28-475 Trunk","233","78","6","439","3"
"28-480 Wasilla Lake","98","38","1","258","0"
"29-505 Farm Loop","208","99","4","665","1"
"29-510 Fishhook","362","102","8","923","3"
"29-515 Kings Lake","192","80","3","609","1"
"29-520 Lakes No. 3","89","38","1","225","0"
"29-525 Sheep Mountain","24","8","1","116","1"
"29-530 Sutton","141","45","2","316","0"
"29-535 Valdez No. 1","171","36","3","265","0"
"29-540 Valdez No. 2","96","8","1","119","0"
"29-545 Valdez No. 3","126","29","4","218","2"
"30-550 Anderson/Clear","27","9","0","101","0"
"30-555 Big Lake","212","128","8","839","7"
"30-560 Cantwell","43","5","1","37","0"
"30-565 Denali Park","59","0","0","13","0"
"30-570 East Schrock","19","17","0","54","0"
"30-575 Healy","120","47","1","206","0"
"30-580 Houston","107","54","0","362","2"
"30-585 Knik Goose Bay No. 4","230","116","6","763","0"
"30-590 Trapper Creek","31","7","1","79","1"
"30-595 Susitna","127","36","3","331","0"
"30-600 Talkeetna","146","14","3","97","0"
"30-605 Willow","233","85","5","669","4"
"31-446 Aurora","411","61","5","415","0"
"31-455 Fairbanks No. 1","478","51","7","401","4"
"31-480 Fairbanks No. 2","424","72","12","403","3"
"31-485 Fairbanks No. 3","422","88","3","351","10"
"32-355 Fairbanks No. 4","352","76","4","370","2"
"32-365 Fairbanks No. 5","273","43","3","268","2"
"32-375 Fort Wainwright","109","67","0","200","1"
"32-385 Badger No. 2","309","140","6","723","2"
"33-130 Badger No. 1","311","127","4","736","5"
"33-135 Chena Lakes","224","131","6","815","3"
"33-155 Moose Creek","37","10","1","100","0"
"33-165 Newby","271","150","9","819","0"
"33-175 North Pole","177","84","2","474","1"
"33-183 Plack","198","153","0","787","0"
"34-235 Eielson","93","53","0","185","1"
"34-238 Eielson Farm Road","10","2","0","46","0"
"34-240 Farmers Loop","481","49","7","374","0"
"34-260 Salcha","104","61","2","368","1"
"34-263 Steele Creek","363","106","3","572","5"
"34-265 Steese","388","82","8","543","6"
"34-270 Summit","328","91","11","446","4"
"34-280 Two Rivers","139","43","3","318","0"
"35-580 Airport","124","30","3","177","1"
"35-582 Chena","679","90","10","651","2"
"35-584 Ester","335","34","2","194","2"
"35-586 Geist","279","43","1","257","0"
"35-587 Lakeview","39","11","0","73","0"
"35-592 Shanly","237","44","2","149","0"
"35-595 University Hills","363","37","8","212","0"
"35-596 University West","651","107","11","522","0"
"36-001 Goldstream No. 1","324","43","7","275","2"
"36-002 Goldstream No. 2","474","42","10","250","2"
"36-010 Allakaket","36","0","1","2","1"
"36-014 Anvik","19","3","0","3","0"
"36-018 Arctic Village","49","0","0","4","0"
"36-022 Beaver","13","2","0","2","0"
"36-026 Bettles","5","1","0","5","0"
"36-034 Central","7","0","0","33","1"
"36-038 Chistochina","13","2","0","54","2"
"36-042 Circle","16","0","0","4","0"
"36-046 Copper Center","99","32","2","219","2"
"36-050 Delta Junction","44","42","2","268","2"
"36-054 Deltana","149","91","5","951","2"
"36-058 Dot Lake","4","1","0","44","0"
"36-062 Eagle","20","5","1","42","1"
"36-066 Fort Yukon","100","4","2","32","2"
"36-070 Gakona","21","7","4","78","0"
"36-074 Galena","84","15","0","47","0"
"36-078 Glennallen","35","26","1","117","0"
"36-082 Grayling","26","5","2","19","3"
"36-086 Holy Cross","33","1","1","6","0"
"36-090 Hughes","19","0","0","11","0"
"36-094 Huslia","70","3","4","17","1"
"36-098 Kaltag","25","3","1","9","2"
"36-102 Kenny Lake","43","20","0","122","0"
"36-106 Koyukuk","25","1","1","1","1"
"36-110 Manley","10","2","0","35","0"
"36-114 McGrath","29","7","3","54","1"
"36-118 Mentasta","26","3","0","10","0"
"36-122 Minto","25","4","0","22","0"
"36-126 Nenana","107","34","3","168","2"
