"1","Harris/Walz","Terry/Broden","Blank","Exhausted","Overvote"
"House District 1","3625","435","60","4523","26"
"House District 10","4360","459","60","3939","26"
"House District 11","4910","474","71","4448","25"
"House District 12","4472","513","35","3528","21"
"House District 13","4006","495","32","3072","27"
"House District 14","4588","434","38","2398","37"
"House District 15","4695","496","65","4093","32"
"House District 16","5711","550","61","3402","22"
"House District 17","5268","322","38","2120","45"
"House District 18","2099","397","16","2320","8"
"House District 19","3071","265","14","1677","39"
"House District 2","4875","536","57","4150","48"
"House District 20","4232","428","31","2599","37"
"House District 21","5011","542","34","3481","40"
"House District 22","2894","461","25","2096","45"
"House District 23","4468","740","50","5468","16"
"House District 24","3518","791","55","5801","17"
"House District 25","3438","799","59","6212","24"
"House District 26","2213","750","31","6478","20"
"House District 27","1995","817","41","6042","17"
"House District 28","2421","773","47","6077","13"
"House District 29","2953","798","56","6740","23"
"House District 3","6485","496","52","4123","14"
"House District 30","2894","828","57","6576","34"
"House District 31","3524","511","53","2956","40"
"House District 32","2132","714","26","3013","16"
"House District 33","2263","967","31","5621","18"
"House District 34","4041","863","61","5094","33"
"House District 35","5258","622","51","3847","19"
"House District 36","3795","712","85","5083","45"
"House District 37","2134","338","37","1871","64"
"House District 38","2225","510","29","1032","80"
"House District 39","2548","423","34","1215","88"
"House District 4","6512","341","47","2414","21"
"House District 40","1613","387","31","1287","44"
"House District 5","3593","549","55","3872","28"
"House District 6","5060","587","56","6348","12"
"House District 7","2734","771","56","6089","37"
"House District 8","2765","822","54","7211","16"
"House District 9","6174","520","97","5137","10"
"House District 99","343","9","0","49","0"
"Total","150916","23245","1888","163502","1227"
