"1","Harris/Walz","Trump/Vance","Blank","Exhausted","Overvote"
"House District 1","3492","4971","60","122","24"
"House District 10","4187","4459","60","119","19"
"House District 11","4753","4979","71","106","19"
"House District 12","4273","4157","35","86","18"
"House District 13","3818","3680","32","81","21"
"House District 14","4473","2854","38","101","29"
"House District 15","4462","4704","65","127","23"
"House District 16","5488","4063","61","119","15"
"House District 17","5144","2488","38","87","36"
"House District 18","1979","2777","16","60","8"
"House District 19","2936","2022","14","67","27"
"House District 2","4736","4669","57","161","43"
"House District 20","4056","3116","31","95","29"
"House District 21","4860","4073","34","112","29"
"House District 22","2748","2661","25","56","31"
"House District 23","4251","6270","50","163","8"
"House District 24","3365","6638","55","115","9"
"House District 25","3292","7035","59","132","14"
"House District 26","2098","7262","31","88","13"
"House District 27","1883","6885","41","92","11"
"House District 28","2311","6845","47","123","5"
"House District 29","2822","7558","56","120","14"
"House District 3","6317","4636","52","156","9"
"House District 30","2794","7415","57","100","23"
"House District 31","3343","3551","53","106","31"
"House District 32","1976","3842","26","46","11"
"House District 33","2094","6666","31","98","11"
"House District 34","3906","5995","61","109","21"
"House District 35","5109","4506","51","117","14"
"House District 36","3689","5746","85","164","36"
"House District 37","1991","2261","37","103","52"
"House District 38","2058","1574","29","147","68"
"House District 39","2310","1746","34","146","72"
"House District 4","6363","2795","47","112","18"
"House District 40","1453","1731","31","111","36"
"House District 5","3441","4457","55","123","21"
"House District 6","4953","6857","56","190","7"
"House District 7","2612","6876","56","121","22"
"House District 8","2668","8037","54","101","8"
"House District 9","5984","5731","97","121","5"
"House District 99","343","53","0","5","0"
"Total","144831","188641","1888","4508","910"
