"1","Harris/Walz","West/Abdullah","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","290","36","7","228","0"
"01-610 Ketchikan No. 2","378","37","7","421","3"
"01-620 Ketchikan No. 3","192","12","6","349","2"
"01-640 North Tongass No. 1","125","15","1","271","1"
"01-650 North Tongass No. 2","220","36","1","480","3"
"01-660 Saxman","81","4","0","28","1"
"01-670 South Tongass","233","32","8","356","0"
"01-675 Coffman Cove","23","2","2","82","1"
"01-680 Metlakatla","282","20","7","143","5"
"01-690 Wrangell","215","37","4","420","1"
"02-700 Angoon","76","5","0","32","0"
"02-705 Craig","132","22","3","235","4"
"02-720 Hoonah","121","19","3","118","3"
"02-725 Hydaburg","77","3","0","18","0"
"02-730 Kake","112","16","1","50","2"
"02-735 Kasaan","8","2","0","15","0"
"02-740 Klawock","140","23","0","180","2"
"02-750 Pelican-Elfin Cove","17","2","0","21","0"
"02-755 Petersburg-Kupreanof","309","54","10","469","1"
"02-760 Port Alexander","5","0","0","5","1"
"02-765 Sitka No. 1","469","50","8","436","3"
"02-770 Sitka No. 2","491","52","4","354","4"
"02-775 Tenakee Springs","28","1","1","12","0"
"02-780 Thorne Bay","32","8","0","150","0"
"02-785 Yakutat","123","13","0","87","3"
"03-300 Auke Bay","276","15","3","190","0"
"03-305 Lynn Canal","235","11","6","179","0"
"03-310 Melvin Park","284","38","7","246","1"
"03-315 Mendenhall Glacier","432","54","5","433","0"
"03-320 Thunder Mountain","392","44","3","363","0"
"03-325 Gustavus","113","12","0","64","0"
"03-330 Haines No. 1","298","36","4","308","3"
"03-335 Haines No. 2","49","5","0","55","0"
"03-340 Klukwan","26","2","0","13","0"
"03-345 Skagway","282","25","1","104","0"
"04-100 Douglas","405","15","2","106","1"
"04-105 Juneau Airport Area","129","18","2","150","0"
"04-110 Juneau No. 1","298","18","4","112","1"
"04-115 Juneau No. 2","371","17","1","72","0"
"04-120 Juneau No. 3","172","9","2","74","1"
"04-125 Lemon Creek","319","47","3","201","1"
"04-130 Glacier Valley Area","202","26","2","154","4"
"04-135 North Douglas","313","15","3","114","0"
"05-800 Chiniak","22","1","0","31","0"
"05-810 Flats","182","28","3","347","2"
"05-815 Kodiak Island South","7","0","1","8","1"
"05-820 Kodiak No. 1","291","44","1","312","1"
"05-825 Kodiak No. 2","323","29","1","341","2"
