"1","Harris/Walz","West/Abdullah","Blank","Exhausted","Overvote"
"House District 1","3623","392","60","4565","29"
"House District 10","4344","401","60","4013","26"
"House District 11","4906","394","71","4529","28"
"House District 12","4455","471","35","3586","22"
"House District 13","3994","449","32","3132","25"
"House District 14","4566","412","38","2444","35"
"House District 15","4681","459","65","4146","30"
"House District 16","5686","483","61","3493","23"
"House District 17","5235","342","38","2129","49"
"House District 18","2089","359","16","2368","8"
"House District 19","3041","273","14","1700","38"
"House District 2","4841","483","57","4238","47"
"House District 20","4207","407","31","2641","41"
"House District 21","4999","489","34","3546","40"
"House District 22","2892","407","25","2149","48"
"House District 23","4471","590","50","5613","18"
"House District 24","3526","593","55","5988","20"
"House District 25","3433","671","59","6345","24"
"House District 26","2204","629","31","6608","20"
"House District 27","1988","668","41","6191","24"
"House District 28","2434","607","47","6229","14"
"House District 29","2947","631","56","6910","26"
"House District 3","6446","444","52","4214","14"
"House District 30","2884","650","57","6767","31"
"House District 31","3493","465","53","3034","39"
"House District 32","2145","590","26","3119","21"
"House District 33","2281","789","31","5777","22"
"House District 34","4032","700","61","5265","34"
"House District 35","5223","561","51","3943","19"
"House District 36","3793","546","85","5249","47"
"House District 37","2131","318","37","1892","66"
"House District 38","2241","437","29","1086","83"
"House District 39","2467","504","34","1217","86"
"House District 4","6465","357","47","2445","21"
"House District 40","1646","332","31","1309","44"
"House District 5","3597","463","55","3956","26"
"House District 6","5036","468","56","6489","14"
"House District 7","2714","638","56","6243","36"
"House District 8","2770","616","54","7410","18"
"House District 9","6172","428","97","5226","15"
"House District 99","342","13","0","46","0"
"Total","150440","19929","1888","167250","1271"
