"1","Kennedy/Shanahan","Oliver/Maat","Blank","Exhausted","Overvote"
"House District 1","1377","706","60","6493","33"
"House District 10","1430","915","60","6408","31"
"House District 11","1383","1031","71","7415","28"
"House District 12","1451","879","35","6179","25"
"House District 13","1400","806","32","5364","30"
"House District 14","1215","864","38","5337","41"
"House District 15","1579","900","65","6804","33"
"House District 16","1443","1154","61","7058","30"
"House District 17","1176","901","38","5624","54"
"House District 18","967","492","16","3354","11"
"House District 19","830","566","14","3618","38"
"House District 2","1642","868","57","7048","51"
"House District 20","1302","824","31","5123","47"
"House District 21","1447","977","34","6599","51"
"House District 22","1070","676","25","3700","50"
"House District 23","1810","1135","50","7730","17"
"House District 24","1574","1022","55","7515","16"
"House District 25","1817","981","59","7654","21"
"House District 26","1688","748","31","7006","19"
"House District 27","1530","802","41","6522","17"
"House District 28","1662","771","47","6839","12"
"House District 29","1782","790","56","7920","22"
"House District 3","1578","1233","52","8292","15"
"House District 30","1601","758","57","7944","29"
"House District 31","1382","768","53","4834","47"
"House District 32","1232","731","26","3895","17"
"House District 33","1747","877","31","6223","22"
"House District 34","1834","1058","61","7113","26"
"House District 35","1536","1240","51","6949","21"
"House District 36","1643","782","85","7153","57"
"House District 37","940","332","37","3061","74"
"House District 38","1204","469","29","2087","87"
"House District 39","1346","480","34","2352","96"
"House District 4","1319","959","47","6982","28"
"House District 40","856","390","31","2036","49"
"House District 5","1436","703","55","5874","29"
"House District 6","1585","962","56","9445","15"
"House District 7","1662","756","56","7179","34"
"House District 8","1538","777","54","8482","17"
"House District 9","1736","1145","97","8947","13"
"House District 99","31","54","0","316","0"
"Total","57781","33282","1888","246474","1353"
