"1","Kennedy/Shanahan","Sonski/Onak","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","121","37","7","396","0"
"01-610 Ketchikan No. 2","133","36","7","667","3"
"01-620 Ketchikan No. 3","75","19","6","459","2"
"01-640 North Tongass No. 1","67","12","1","333","0"
"01-650 North Tongass No. 2","118","28","1","590","3"
"01-660 Saxman","29","8","0","75","2"
"01-670 South Tongass","111","28","8","482","0"
"01-675 Coffman Cove","18","1","2","87","2"
"01-680 Metlakatla","127","24","7","293","6"
"01-690 Wrangell","125","38","4","509","1"
"02-700 Angoon","25","8","0","80","0"
"02-705 Craig","73","23","3","293","4"
"02-720 Hoonah","60","15","3","183","3"
"02-725 Hydaburg","17","6","0","75","0"
"02-730 Kake","41","13","1","123","3"
"02-735 Kasaan","5","1","0","19","0"
"02-740 Klawock","66","20","0","257","2"
"02-750 Pelican-Elfin Cove","8","1","0","31","0"
"02-755 Petersburg-Kupreanof","187","48","10","597","1"
"02-760 Port Alexander","2","1","0","7","1"
"02-765 Sitka No. 1","211","56","8","687","4"
"02-770 Sitka No. 2","218","69","4","612","2"
"02-775 Tenakee Springs","7","1","1","33","0"
"02-780 Thorne Bay","24","4","0","162","0"
"02-785 Yakutat","33","16","0","174","3"
"03-300 Auke Bay","84","30","3","367","0"
"03-305 Lynn Canal","51","28","6","346","0"
"03-310 Melvin Park","128","53","7","388","0"
"03-315 Mendenhall Glacier","172","81","5","666","0"
"03-320 Thunder Mountain","163","63","3","573","0"
"03-325 Gustavus","28","13","0","148","0"
"03-330 Haines No. 1","133","43","4","465","4"
"03-335 Haines No. 2","9","4","0","96","0"
"03-340 Klukwan","7","8","0","26","0"
"03-345 Skagway","86","36","1","289","0"
"04-100 Douglas","79","46","2","399","3"
"04-105 Juneau Airport Area","80","16","2","201","0"
"04-110 Juneau No. 1","80","38","4","311","0"
"04-115 Juneau No. 2","60","29","1","371","0"
"04-120 Juneau No. 3","38","16","2","201","1"
"04-125 Lemon Creek","135","50","3","382","1"
"04-130 Glacier Valley Area","95","38","2","248","5"
"04-135 North Douglas","68","28","3","346","0"
"05-800 Chiniak","3","5","0","46","0"
"05-810 Flats","110","19","3","428","2"
"05-815 Kodiak Island South","1","0","1","14","1"
"05-820 Kodiak No. 1","127","24","1","495","2"
"05-825 Kodiak No. 2","123","30","1","540","2"
"05-830 Mission Road","290","86","6","1026","0"
"05-835 Old Harbor","6","1","0","23","0"
"05-840 Ouzinkie","16","1","0","39","1"
"05-845 Port Lions","6","3","2","56","0"
"05-860 Cordova","105","20","6","352","4"
"05-865 Seward-Lowell Point","104","25","6","346","0"
"05-870 Tatitlek","9","3","0","6","1"
"06-200 Anchor Point","159","48","2","778","4"
"06-210 Diamond Ridge","53","23","2","270","1"
"06-220 Fox River","30","8","1","218","1"
"06-230 Homer No. 1","106","22","2","424","1"
"06-240 Homer No. 2","87","22","1","437","1"
"06-250 Kachemak-Fritz Creek","125","31","4","519","1"
"06-260 Kasilof","166","40","4","878","1"
"06-270 Ninilchik","90","24","1","518","1"
"06-280 Seldovia-Kachemak Bay","17","10","3","130","1"
"07-005 Central","153","36","3","553","2"
"07-010 K Beach","207","46","9","634","5"
"07-015 Kenai No. 1","159","42","1","547","5"
"07-020 Kenai No. 2","90","23","4","329","2"
"07-025 Kenai No. 3","66","13","3","258","2"
"07-030 Soldotna","172","38","6","627","3"
"08-035 Bear Creek","116","34","2","445","0"
"08-040 Cooper Landing","25","6","1","115","0"
"08-045 Funny River No. 1","51","11","3","274","1"
"08-050 Funny River No. 2","44","10","1","218","1"
"08-055 Hope","4","7","0","58","0"
"08-060 Mackey Lake","94","27","6","412","0"
"08-065 Moose Pass","25","0","3","133","0"
"08-070 Nikiski","117","47","2","637","0"
"08-075 Salamatof","135","34","4","593","2"
"08-080 Sterling No. 1","110","42","1","552","2"
"08-085 Sterling No. 2","95","26","3","693","1"
"09-105 Girdwood","183","53","10","583","1"
"09-110 Indian","9","4","1","117","0"
"09-115 South Anchorage No. 1","228","66","16","829","1"
"09-120 South Anchorage No. 2","219","64","7","926","0"
"09-125 South Anchorage No. 3","171","55","7","800","2"
"09-130 South Anchorage No. 4","195","41","11","880","2"
"09-135 South Anchorage No. 5","92","23","2","382","1"
"09-140 Stuckagain Heights","23","4","2","129","1"
"09-145 Whittier","19","5","1","57","1"
"10-150 Dimond","208","63","3","541","9"
"10-155 Oceanview No. 1","212","58","7","765","3"
"10-160 Oceanview No. 2","120","36","10","550","2"
"10-165 Oceanview No. 3","210","78","5","663","5"
"10-170 Oceanview No. 4","169","41","5","617","2"
"10-175 Oceanview No. 5","120","41","2","511","1"
"11-205 Hillside No. 1","129","53","2","440","7"
"11-210 Hillside No. 2","231","83","7","881","9"
"11-215 Hillside No. 3","116","39","3","482","0"
"11-220 Hillside No. 4","101","40","3","540","1"
"11-225 Hillside No. 5","89","23","2","637","0"
"11-230 Hillside No. 6","127","59","8","587","0"
"11-235 Hillside No. 7","99","38","6","505","0"
"12-250 Southeast Anchorage No. 1","198","68","2","609","3"
"12-255 Southeast Anchorage No. 2","99","37","1","351","0"
"12-260 Southeast Anchorage No. 3","149","57","1","591","1"
"12-265 Southeast Anchorage No. 4","138","53","6","612","0"
"12-270 Southeast Anchorage No. 5","205","78","8","669","8"
