"1","Kennedy/Shanahan","Stein/Ware","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","114","62","7","378","0"
"01-610 Ketchikan No. 2","126","62","7","647","4"
"01-620 Ketchikan No. 3","73","36","6","444","2"
"01-640 North Tongass No. 1","63","23","1","326","0"
"01-650 North Tongass No. 2","111","60","1","565","3"
"01-660 Saxman","30","10","0","72","2"
"01-670 South Tongass","112","44","8","465","0"
"01-675 Coffman Cove","17","3","2","86","2"
"01-680 Metlakatla","127","38","7","280","5"
"01-690 Wrangell","117","61","4","494","1"
"02-700 Angoon","26","7","0","80","0"
"02-705 Craig","72","28","3","288","5"
"02-720 Hoonah","59","20","3","179","3"
"02-725 Hydaburg","16","12","0","70","0"
"02-730 Kake","39","18","1","120","3"
"02-735 Kasaan","5","2","0","18","0"
"02-740 Klawock","63","24","0","256","2"
"02-750 Pelican-Elfin Cove","6","4","0","30","0"
"02-755 Petersburg-Kupreanof","177","78","10","577","1"
"02-760 Port Alexander","2","2","0","6","1"
"02-765 Sitka No. 1","194","100","8","660","4"
"02-770 Sitka No. 2","206","123","4","570","2"
"02-775 Tenakee Springs","6","9","1","26","0"
"02-780 Thorne Bay","25","11","0","154","0"
"02-785 Yakutat","38","16","0","169","3"
"03-300 Auke Bay","80","63","3","338","0"
"03-305 Lynn Canal","49","58","6","318","0"
"03-310 Melvin Park","126","82","7","361","0"
"03-315 Mendenhall Glacier","169","114","5","636","0"
"03-320 Thunder Mountain","150","98","3","551","0"
"03-325 Gustavus","23","37","0","129","0"
"03-330 Haines No. 1","118","80","4","443","4"
"03-335 Haines No. 2","7","14","0","88","0"
"03-340 Klukwan","7","11","0","23","0"
"03-345 Skagway","75","64","1","272","0"
"04-100 Douglas","68","96","2","362","1"
"04-105 Juneau Airport Area","73","29","2","195","0"
"04-110 Juneau No. 1","71","71","4","286","1"
"04-115 Juneau No. 2","50","90","1","320","0"
"04-120 Juneau No. 3","33","39","2","183","1"
"04-125 Lemon Creek","131","68","3","368","1"
"04-130 Glacier Valley Area","97","54","2","230","5"
"04-135 North Douglas","61","73","3","308","0"
"05-800 Chiniak","4","7","0","43","0"
"05-810 Flats","98","51","3","408","2"
"05-815 Kodiak Island South","1","0","1","14","1"
"05-820 Kodiak No. 1","112","55","1","479","2"
"05-825 Kodiak No. 2","101","70","1","522","2"
"05-830 Mission Road","254","159","6","989","0"
"05-835 Old Harbor","2","6","0","22","0"
"05-840 Ouzinkie","13","5","0","38","1"
"05-845 Port Lions","8","2","2","55","0"
"05-860 Cordova","86","64","6","327","4"
"05-865 Seward-Lowell Point","82","78","6","315","0"
"05-870 Tatitlek","6","6","0","6","1"
"06-200 Anchor Point","152","71","2","763","3"
"06-210 Diamond Ridge","50","60","2","236","1"
"06-220 Fox River","28","20","1","208","1"
"06-230 Homer No. 1","98","67","2","387","1"
"06-240 Homer No. 2","85","50","1","411","1"
"06-250 Kachemak-Fritz Creek","108","106","4","461","1"
"06-260 Kasilof","160","60","4","864","1"
"06-270 Ninilchik","88","35","1","509","1"
