"1","Kennedy/Shanahan","Stein/Ware","Blank","Exhausted","Overvote"
"House District 1","1437","700","60","6439","33"
"House District 10","1498","922","60","6332","32"
"House District 11","1453","1024","71","7350","30"
"House District 12","1390","1043","35","6079","22"
"House District 13","1293","1037","32","5241","29"
"House District 14","1256","1033","38","5126","42"
"House District 15","1632","925","65","6727","32"
"House District 16","1494","1276","61","6883","32"
"House District 17","1211","1108","38","5379","57"
"House District 18","1041","418","16","3355","10"
"House District 19","838","682","14","3493","39"
"House District 2","1664","1019","57","6877","49"
"House District 20","1243","1023","31","4985","45"
"House District 21","1406","1169","34","6449","50"
"House District 22","1110","669","25","3668","49"
"House District 23","1943","945","50","7785","19"
"House District 24","1649","846","55","7615","17"
"House District 25","1925","864","59","7662","22"
"House District 26","1801","565","31","7075","20"
"House District 27","1612","662","41","6578","19"
"House District 28","1694","649","47","6931","10"
"House District 29","1762","820","56","7911","21"
"House District 3","1609","1393","52","8101","15"
"House District 30","1662","723","57","7916","31"
"House District 31","1402","783","53","4802","44"
"House District 32","1314","591","26","3953","17"
"House District 33","1900","629","31","6321","19"
"House District 34","1939","1012","61","7053","27"
"House District 35","1595","1464","51","6666","21"
"House District 36","1564","963","85","7056","52"
"House District 37","853","476","37","3010","68"
"House District 38","1271","397","29","2090","89"
"House District 39","1388","453","34","2333","100"
"House District 4","1244","1487","47","6532","25"
"House District 40","875","375","31","2032","49"
"House District 5","1332","926","55","5755","29"
"House District 6","1563","1238","56","9191","15"
"House District 7","1732","640","56","7225","34"
"House District 8","1579","774","54","8446","15"
"House District 9","1832","1197","97","8799","13"
"House District 99","36","80","0","285","0"
"Total","59042","35000","1888","243506","1342"
