"1","Kennedy/Shanahan","Terry/Broden","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","124","36","7","394","0"
"01-610 Ketchikan No. 2","130","38","7","667","4"
"01-620 Ketchikan No. 3","76","17","6","460","2"
"01-640 North Tongass No. 1","67","13","1","332","0"
"01-650 North Tongass No. 2","118","33","1","585","3"
"01-660 Saxman","31","7","0","74","2"
"01-670 South Tongass","111","30","8","480","0"
"01-675 Coffman Cove","18","0","2","88","2"
"01-680 Metlakatla","130","19","7","294","7"
"01-690 Wrangell","124","43","4","505","1"
"02-700 Angoon","23","9","0","81","0"
"02-705 Craig","71","23","3","294","5"
"02-720 Hoonah","60","16","3","182","3"
"02-725 Hydaburg","16","7","0","75","0"
"02-730 Kake","42","13","1","122","3"
"02-735 Kasaan","6","0","0","19","0"
"02-740 Klawock","68","19","0","255","3"
"02-750 Pelican-Elfin Cove","8","2","0","30","0"
"02-755 Petersburg-Kupreanof","185","45","10","602","1"
"02-760 Port Alexander","2","1","0","7","1"
"02-765 Sitka No. 1","212","61","8","681","4"
"02-770 Sitka No. 2","219","65","4","615","2"
"02-775 Tenakee Springs","6","2","1","33","0"
"02-780 Thorne Bay","25","3","0","162","0"
"02-785 Yakutat","35","12","0","176","3"
"03-300 Auke Bay","86","27","3","368","0"
"03-305 Lynn Canal","50","27","6","348","0"
"03-310 Melvin Park","129","53","7","386","1"
"03-315 Mendenhall Glacier","171","83","5","665","0"
"03-320 Thunder Mountain","158","70","3","571","0"
"03-325 Gustavus","26","14","0","149","0"
"03-330 Haines No. 1","129","48","4","465","3"
"03-335 Haines No. 2","9","3","0","97","0"
"03-340 Klukwan","4","12","0","25","0"
"03-345 Skagway","86","33","1","292","0"
"04-100 Douglas","80","42","2","402","3"
"04-105 Juneau Airport Area","78","15","2","204","0"
"04-110 Juneau No. 1","80","36","4","312","1"
"04-115 Juneau No. 2","57","32","1","371","0"
"04-120 Juneau No. 3","38","12","2","205","1"
"04-125 Lemon Creek","136","45","3","387","0"
"04-130 Glacier Valley Area","98","36","2","247","5"
"04-135 North Douglas","68","30","3","344","0"
"05-800 Chiniak","5","6","0","43","0"
"05-810 Flats","99","35","3","423","2"
"05-815 Kodiak Island South","1","0","1","14","1"
"05-820 Kodiak No. 1","119","26","1","500","3"
"05-825 Kodiak No. 2","103","57","1","533","2"
"05-830 Mission Road","261","121","6","1020","0"
"05-835 Old Harbor","3","4","0","23","0"
"05-840 Ouzinkie","13","4","0","39","1"
"05-845 Port Lions","8","0","2","57","0"
"05-860 Cordova","96","29","6","352","4"
"05-865 Seward-Lowell Point","92","40","6","343","0"
"05-870 Tatitlek","5","7","0","6","1"
"06-200 Anchor Point","156","61","2","769","3"
"06-210 Diamond Ridge","51","22","2","273","1"
"06-220 Fox River","31","8","1","217","1"
"06-230 Homer No. 1","101","34","2","417","1"
"06-240 Homer No. 2","87","23","1","436","1"
"06-250 Kachemak-Fritz Creek","122","37","4","516","1"
"06-260 Kasilof","156","59","4","869","1"
"06-270 Ninilchik","83","38","1","511","1"
"06-280 Seldovia-Kachemak Bay","20","9","3","128","1"
"07-005 Central","150","43","3","549","2"
"07-010 K Beach","206","51","9","630","5"
"07-015 Kenai No. 1","149","58","1","541","5"
"07-020 Kenai No. 2","90","28","4","324","2"
"07-025 Kenai No. 3","65","14","3","258","2"
"07-030 Soldotna","167","47","6","622","4"
"08-035 Bear Creek","120","38","2","437","0"
"08-040 Cooper Landing","25","6","1","115","0"
"08-045 Funny River No. 1","49","14","3","273","1"
"08-050 Funny River No. 2","42","13","1","217","1"
"08-055 Hope","4","7","0","58","0"
"08-060 Mackey Lake","90","36","6","407","0"
"08-065 Moose Pass","22","5","3","131","0"
"08-070 Nikiski","105","68","2","628","0"
"08-075 Salamatof","125","51","4","586","2"
"08-080 Sterling No. 1","107","55","1","542","2"
"08-085 Sterling No. 2","95","34","3","685","1"
"09-105 Girdwood","181","54","10","584","1"
"09-110 Indian","7","6","1","117","0"
"09-115 South Anchorage No. 1","233","64","16","827","0"
"09-120 South Anchorage No. 2","211","70","7","928","0"
"09-125 South Anchorage No. 3","170","58","7","798","2"
"09-130 South Anchorage No. 4","191","43","11","882","2"
"09-135 South Anchorage No. 5","92","30","2","375","1"
"09-140 Stuckagain Heights","23","6","2","127","1"
"09-145 Whittier","20","4","1","57","1"
"10-150 Dimond","207","65","3","540","9"
"10-155 Oceanview No. 1","207","68","7","760","3"
"10-160 Oceanview No. 2","119","41","10","545","3"
"10-165 Oceanview No. 3","212","77","5","662","5"
"10-170 Oceanview No. 4","166","48","5","613","2"
"10-175 Oceanview No. 5","125","40","2","507","1"
"11-205 Hillside No. 1","130","56","2","433","10"
"11-210 Hillside No. 2","233","92","7","871","8"
"11-215 Hillside No. 3","115","35","3","487","0"
"11-220 Hillside No. 4","102","40","3","539","1"
"11-225 Hillside No. 5","87","21","2","641","0"
"11-230 Hillside No. 6","128","69","8","576","0"
"11-235 Hillside No. 7","99","33","6","510","0"
"12-250 Southeast Anchorage No. 1","198","71","2","607","2"
"12-255 Southeast Anchorage No. 2","94","43","1","350","0"
"12-260 Southeast Anchorage No. 3","140","69","1","588","1"
"12-265 Southeast Anchorage No. 4","134","59","6","610","0"
"12-270 Southeast Anchorage No. 5","208","78","8","667","7"
"12-275 Southeast Anchorage No. 6","134","50","3","611","4"
"13-305 South Midtown No. 1","58","17","1","147","0"
"13-310 South Midtown No. 2","195","84","3","802","4"
"13-315 South Midtown No. 3","198","82","2","693","5"
"13-320 South Midtown No. 4","192","93","3","662","4"
"13-325 South Midtown No. 5","200","105","5","672","7"
"14-350 North Midtown No. 1","60","27","0","200","3"
"14-355 North Midtown No. 2","76","34","2","277","0"
"14-360 North Midtown No. 3","62","25","1","233","0"
"14-365 North Midtown No. 4","90","51","2","307","2"
"14-370 North Midtown No. 5","167","64","4","506","6"
"14-375 North Midtown No. 6","93","50","1","351","3"
"14-380 North Midtown No. 7","110","66","9","682","1"
"15-405 Southwest Anchorage No. 1","108","40","5","514","0"
"15-410 Southwest Anchorage No. 2","162","61","10","557","4"
"15-415 Southwest Anchorage No. 3","206","65","5","665","2"
"15-420 Southwest Anchorage No. 4","197","52","3","570","8"
"15-425 Southwest Anchorage No. 5","134","65","9","582","4"
"15-430 Southwest Anchorage No. 6","218","72","8","877","7"
"16-450 West Anchorage No. 1","79","47","7","527","0"
"16-455 West Anchorage No. 2","158","61","3","573","4"
"16-460 West Anchorage No. 3","194","80","9","766","5"
"16-465 West Anchorage No. 4","88","58","5","384","1"
"16-470 West Anchorage No. 5","172","63","6","669","0"
"16-475 West Anchorage No. 6","146","41","5","576","2"
"16-480 West Anchorage No. 7","139","58","3","418","2"
"17-505 Downtown Anchorage No. 1","54","18","3","272","0"
"17-510 Downtown Anchorage No. 2","85","35","4","370","0"
"17-515 Downtown Anchorage No. 3","53","15","4","274","1"
"17-520 Downtown Anchorage No. 4","134","43","4","453","2"
"17-525 Downtown Anchorage No. 5","103","32","1","295","2"
"17-530 Downtown Anchorage No. 6","91","22","1","195","7"
"17-535 Downtown Anchorage No. 7","112","31","1","300","3"
"18-550 Government Hill","84","27","2","306","0"
"18-555 JBER No.1","201","43","3","584","1"
"18-556 JBER No.2","81","10","0","147","0"
"18-560 North Muldoon","69","29","3","248","2"
"18-565 Ship Creek","20","6","0","60","0"
"19-605 Airport Heights No. 1","131","49","2","540","2"
"19-610 Airport Heights No. 2","93","38","2","588","2"
"19-615 Mountainview No. 1","96","38","0","265","3"
"19-620 Mountainview No. 2","83","41","1","253","2"
"19-625 South Mountainview","72","28","1","360","1"
"20-650 University No. 1","64","32","0","171","3"
"20-655 University No. 2","186","63","4","665","2"
"20-660 University No. 3","186","74","3","647","9"
"20-665 University No. 4","75","38","2","310","2"
"20-670 University No. 5","243","111","11","934","13"
"21-705 East Anchorage No. 1","104","37","4","546","3"
"21-710 East Anchorage No. 2","166","57","2","576","3"
"21-715 East Anchorage No. 3","208","108","7","785","9"
"21-720 East Anchorage No. 4","156","62","2","635","3"
"21-725 East Anchorage No. 5","217","99","4","889","8"
"22-750 Northeast Anchorage No. 1","182","100","3","541","0"
"22-755 Northeast Anchorage No. 2","172","91","0","494","9"
"22-760 Northeast Anchorage No. 3","156","86","5","638","8"
"22-765 Northeast Anchorage No. 4","121","62","4","375","12"
"23-805 Chugach Park No. 1","248","68","5","745","0"
"23-810 Eagle River No. 1","147","45","5","434","1"
"23-815 Eagle River No. 2","163","54","7","455","2"
"23-820 Hiland","128","41","2","466","1"
"23-825 Meadow Creek No. 1","168","57","3","493","2"
"23-830 Meadow Creek No. 2","72","32","1","316","2"
