"1","Kennedy/Shanahan","Terry/Broden","Blank","Exhausted","Overvote"
"House District 1","1505","404","60","6667","33"
"House District 10","1594","549","60","6610","31"
"House District 11","1535","600","71","7693","29"
"House District 12","1489","630","35","6393","22"
"House District 13","1378","632","32","5558","32"
"House District 14","1288","610","38","5519","40"
"House District 15","1700","582","65","7002","32"
"House District 16","1622","683","61","7345","35"
"House District 17","1349","474","38","5879","53"
"House District 18","1062","296","16","3454","12"
"House District 19","891","359","14","3761","41"
"House District 2","1786","532","57","7240","51"
"House District 20","1346","560","31","5344","46"
"House District 21","1466","700","34","6857","51"
"House District 22","1040","590","25","3818","48"
"House District 23","1990","675","50","8011","16"
"House District 24","1671","675","55","7764","17"
"House District 25","1981","593","59","7877","22"
"House District 26","1812","445","31","7183","21"
"House District 27","1618","567","41","6669","17"
"House District 28","1725","501","47","7044","14"
"House District 29","1794","608","56","8092","20"
"House District 3","1724","728","52","8650","16"
"House District 30","1582","637","57","8084","29"
"House District 31","1455","534","53","4995","47"
"House District 32","1311","527","26","4022","15"
"House District 33","1887","576","31","6386","20"
"House District 34","1991","624","61","7387","29"
"House District 35","1712","748","51","7264","22"
"House District 36","1629","652","85","7302","52"
"House District 37","849","380","37","3105","73"
"House District 38","1090","575","29","2098","84"
"House District 39","1389","399","34","2385","101"
"House District 4","1396","602","47","7263","27"
"House District 40","898","328","31","2057","48"
"House District 5","1420","544","55","6049","29"
"House District 6","1616","639","56","9738","14"
"House District 7","1748","512","56","7336","35"
"House District 8","1582","606","54","8610","16"
"House District 9","1925","637","97","9267","12"
"House District 99","40","41","0","320","0"
"Total","60886","22554","1888","254098","1352"
