"1","Kennedy/Shanahan","Trump/Vance","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","82","275","7","197","0"
"01-610 Ketchikan No. 2","75","472","7","288","4"
"01-620 Ketchikan No. 3","42","359","6","153","1"
"01-640 North Tongass No. 1","34","292","1","86","0"
"01-650 North Tongass No. 2","59","516","1","161","3"
"01-660 Saxman","28","36","0","48","2"
"01-670 South Tongass","66","385","8","170","0"
"01-675 Coffman Cove","6","81","2","19","2"
"01-680 Metlakatla","105","161","7","178","6"
"01-690 Wrangell","59","462","4","151","1"
"02-700 Angoon","26","29","0","58","0"
"02-705 Craig","38","250","3","100","5"
"02-720 Hoonah","37","133","3","87","4"
"02-725 Hydaburg","17","19","0","62","0"
"02-730 Kake","23","71","1","83","3"
"02-735 Kasaan","5","13","0","7","0"
"02-740 Klawock","29","206","0","108","2"
"02-750 Pelican-Elfin Cove","5","23","0","12","0"
"02-755 Petersburg-Kupreanof","73","508","10","251","1"
"02-760 Port Alexander","2","6","0","3","0"
"02-765 Sitka No. 1","125","490","8","339","4"
"02-770 Sitka No. 2","153","413","4","334","1"
"02-775 Tenakee Springs","5","12","1","24","0"
"02-780 Thorne Bay","10","156","0","24","0"
"02-785 Yakutat","24","99","0","100","3"
"03-300 Auke Bay","56","205","3","220","0"
"03-305 Lynn Canal","35","191","6","199","0"
"03-310 Melvin Park","89","284","7","196","0"
"03-315 Mendenhall Glacier","124","497","5","297","1"
"03-320 Thunder Mountain","113","426","3","260","0"
"03-325 Gustavus","18","78","0","93","0"
"03-330 Haines No. 1","86","329","4","227","3"
"03-335 Haines No. 2","7","58","0","44","0"
"03-340 Klukwan","13","10","0","18","0"
"03-345 Skagway","70","134","1","207","0"
"04-100 Douglas","77","137","2","311","2"
"04-105 Juneau Airport Area","36","171","2","90","0"
"04-110 Juneau No. 1","67","129","4","232","1"
"04-115 Juneau No. 2","60","84","1","316","0"
"04-120 Juneau No. 3","29","83","2","143","1"
"04-125 Lemon Creek","74","282","3","212","0"
"04-130 Glacier Valley Area","62","200","2","120","4"
"04-135 North Douglas","58","131","3","253","0"
"05-800 Chiniak","3","30","0","21","0"
"05-810 Flats","30","382","3","145","2"
"05-815 Kodiak Island South","1","8","1","6","1"
"05-820 Kodiak No. 1","44","394","1","209","1"
"05-825 Kodiak No. 2","63","398","1","232","2"
"05-830 Mission Road","135","888","6","379","0"
"05-835 Old Harbor","5","15","0","10","0"
"05-840 Ouzinkie","10","16","0","30","1"
"05-845 Port Lions","3","51","2","11","0"
"05-860 Cordova","66","250","6","162","3"
"05-865 Seward-Lowell Point","59","239","6","177","0"
"05-870 Tatitlek","9","5","0","5","0"
"06-200 Anchor Point","81","737","2","169","2"
"06-210 Diamond Ridge","33","172","2","141","1"
"06-220 Fox River","18","187","1","51","1"
"06-230 Homer No. 1","61","283","2","208","1"
"06-240 Homer No. 2","58","295","1","194","0"
"06-250 Kachemak-Fritz Creek","80","314","4","281","1"
"06-260 Kasilof","51","816","4","217","1"
"06-270 Ninilchik","32","467","1","134","0"
"06-280 Seldovia-Kachemak Bay","11","82","3","64","1"
"07-005 Central","50","566","3","126","2"
"07-010 K Beach","84","693","9","111","4"
"07-015 Kenai No. 1","74","519","1","158","2"
"07-020 Kenai No. 2","35","324","4","83","2"
"07-025 Kenai No. 3","25","242","3","70","2"
"07-030 Soldotna","62","589","6","188","1"
"08-035 Bear Creek","70","344","2","181","0"
"08-040 Cooper Landing","14","74","1","58","0"
"08-045 Funny River No. 1","18","265","3","54","0"
"08-050 Funny River No. 2","15","218","1","39","1"
"08-055 Hope","6","24","0","39","0"
"08-060 Mackey Lake","37","411","6","85","0"
