"1","Kennedy/Shanahan","Trump/Vance","Blank","Exhausted","Overvote"
"House District 1","892","5006","60","2677","34"
"House District 10","993","4573","60","3187","31"
"House District 11","963","5071","71","3797","26"
"House District 12","966","4255","35","3291","22"
"House District 13","942","3777","32","2853","28"
"House District 14","984","2948","38","3492","33"
"House District 15","1039","4797","65","3453","27"
"House District 16","1166","4125","61","4364","30"
"House District 17","1087","2545","38","4076","47"
"House District 18","497","2806","16","1508","13"
"House District 19","617","2108","14","2295","32"
"House District 2","1092","4689","57","3778","50"
"House District 20","943","3213","31","3101","39"
"House District 21","1034","4168","34","3828","44"
"House District 22","733","2773","25","1953","37"
"House District 23","1060","6316","50","3306","10"
"House District 24","872","6647","55","2595","13"
"House District 25","963","7036","59","2457","17"
"House District 26","630","7254","31","1561","16"
"House District 27","570","6894","41","1390","17"
"House District 28","685","6854","47","1736","9"
"House District 29","763","7574","56","2162","15"
"House District 3","1242","4686","52","5177","13"
"House District 30","638","7422","57","2246","26"
"House District 31","902","3638","53","2451","40"
"House District 32","619","3872","26","1372","12"
"House District 33","702","6665","31","1485","17"
"House District 34","925","6007","61","3076","23"
"House District 35","1133","4581","51","4012","20"
"House District 36","932","5791","85","2868","44"
"House District 37","546","2346","37","1453","62"
"House District 38","841","1664","29","1265","77"
"House District 39","934","1870","34","1384","86"
"House District 4","1117","2892","47","5253","26"
"House District 40","550","1793","31","949","39"
"House District 5","766","4518","55","2736","22"
"House District 6","956","6824","56","4215","12"
"House District 7","704","6889","56","2013","25"
"House District 8","617","8039","54","2147","11"
"House District 9","1248","5758","97","4820","15"
"House District 99","65","54","0","282","0"
"Total","34928","190738","1888","112064","1160"
