"1","Kennedy/Shanahan","West/Abdullah","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","124","47","7","383","0"
"01-610 Ketchikan No. 2","132","45","7","659","3"
"01-620 Ketchikan No. 3","78","23","6","452","2"
"01-640 North Tongass No. 1","66","15","1","331","0"
"01-650 North Tongass No. 2","118","36","1","582","3"
"01-660 Saxman","31","6","0","75","2"
"01-670 South Tongass","117","24","8","480","0"
"01-675 Coffman Cove","18","2","2","86","2"
"01-680 Metlakatla","128","23","7","294","5"
"01-690 Wrangell","128","36","4","508","1"
"02-700 Angoon","24","9","0","80","0"
"02-705 Craig","73","26","3","290","4"
"02-720 Hoonah","60","18","3","180","3"
"02-725 Hydaburg","17","9","0","72","0"
"02-730 Kake","38","20","1","119","3"
"02-735 Kasaan","6","0","0","19","0"
"02-740 Klawock","68","21","0","253","3"
"02-750 Pelican-Elfin Cove","8","1","0","31","0"
"02-755 Petersburg-Kupreanof","190","44","10","598","1"
"02-760 Port Alexander","2","1","0","7","1"
"02-765 Sitka No. 1","206","71","8","676","5"
"02-770 Sitka No. 2","227","70","4","601","3"
"02-775 Tenakee Springs","6","3","1","32","0"
"02-780 Thorne Bay","25","5","0","160","0"
"02-785 Yakutat","38","13","0","172","3"
"03-300 Auke Bay","84","40","3","356","1"
"03-305 Lynn Canal","50","31","6","344","0"
"03-310 Melvin Park","128","58","7","382","1"
"03-315 Mendenhall Glacier","175","84","5","660","0"
"03-320 Thunder Mountain","160","71","3","568","0"
"03-325 Gustavus","24","22","0","143","0"
"03-330 Haines No. 1","128","59","4","454","4"
"03-335 Haines No. 2","8","14","0","87","0"
"03-340 Klukwan","7","9","0","25","0"
"03-345 Skagway","82","54","1","275","0"
"04-100 Douglas","79","51","2","394","3"
"04-105 Juneau Airport Area","77","21","2","199","0"
"04-110 Juneau No. 1","82","48","4","298","1"
"04-115 Juneau No. 2","52","60","1","348","0"
"04-120 Juneau No. 3","38","21","2","196","1"
"04-125 Lemon Creek","133","54","3","381","0"
"04-130 Glacier Valley Area","104","32","2","245","5"
"04-135 North Douglas","68","41","3","333","0"
"05-800 Chiniak","4","4","0","46","0"
"05-810 Flats","101","28","3","428","2"
"05-815 Kodiak Island South","1","0","1","14","1"
"05-820 Kodiak No. 1","121","37","1","489","1"
"05-825 Kodiak No. 2","110","46","1","537","2"
"05-830 Mission Road","270","114","6","1018","0"
"05-835 Old Harbor","2","4","0","24","0"
"05-840 Ouzinkie","14","3","0","39","1"
"05-845 Port Lions","8","0","2","57","0"
"05-860 Cordova","93","41","6","343","4"
"05-865 Seward-Lowell Point","98","38","6","339","0"
"05-870 Tatitlek","7","5","0","6","1"
"06-200 Anchor Point","157","59","2","771","2"
"06-210 Diamond Ridge","51","36","2","259","1"
"06-220 Fox River","28","18","1","210","1"
"06-230 Homer No. 1","100","37","2","415","1"
"06-240 Homer No. 2","86","28","1","432","1"
"06-250 Kachemak-Fritz Creek","118","54","4","504","0"
"06-260 Kasilof","165","50","4","869","1"
"06-270 Ninilchik","85","32","1","515","1"
"06-280 Seldovia-Kachemak Bay","21","10","3","126","1"
"07-005 Central","149","40","3","553","2"
"07-010 K Beach","202","54","9","631","5"
"07-015 Kenai No. 1","144","59","1","545","5"
"07-020 Kenai No. 2","88","26","4","328","2"
"07-025 Kenai No. 3","67","11","3","259","2"
"07-030 Soldotna","164","55","6","619","2"
"08-035 Bear Creek","121","44","2","430","0"
"08-040 Cooper Landing","22","11","1","113","0"
"08-045 Funny River No. 1","49","12","3","275","1"
"08-050 Funny River No. 2","45","10","1","217","1"
"08-055 Hope","4","10","0","55","0"
"08-060 Mackey Lake","104","20","6","409","0"
"08-065 Moose Pass","23","6","3","129","0"
"08-070 Nikiski","136","24","2","641","0"
"08-075 Salamatof","136","37","4","589","2"
"08-080 Sterling No. 1","124","27","1","552","3"
"08-085 Sterling No. 2","100","22","3","692","1"
"09-105 Girdwood","176","96","10","547","1"
"09-110 Indian","7","8","1","115","0"
"09-115 South Anchorage No. 1","234","68","16","821","1"
"09-120 South Anchorage No. 2","221","62","7","926","0"
"09-125 South Anchorage No. 3","175","59","7","793","1"
"09-130 South Anchorage No. 4","192","50","11","874","2"
"09-135 South Anchorage No. 5","91","31","2","374","2"
"09-140 Stuckagain Heights","22","9","2","126","0"
"09-145 Whittier","16","8","1","57","1"
"10-150 Dimond","209","75","3","528","9"
"10-155 Oceanview No. 1","205","72","7","758","3"
"10-160 Oceanview No. 2","115","46","10","545","2"
"10-165 Oceanview No. 3","206","82","5","663","5"
"10-170 Oceanview No. 4","166","55","5","606","2"
"10-175 Oceanview No. 5","130","41","2","501","1"
"11-205 Hillside No. 1","133","57","2","430","9"
"11-210 Hillside No. 2","235","95","7","864","10"
"11-215 Hillside No. 3","115","42","3","480","0"
"11-220 Hillside No. 4","106","42","3","533","1"
"11-225 Hillside No. 5","91","21","2","637","0"
"11-230 Hillside No. 6","131","60","8","582","0"
"11-235 Hillside No. 7","99","38","6","505","0"
"12-250 Southeast Anchorage No. 1","196","79","2","601","2"
"12-255 Southeast Anchorage No. 2","93","48","1","346","0"
"12-260 Southeast Anchorage No. 3","141","75","1","581","1"
"12-265 Southeast Anchorage No. 4","141","54","6","608","0"
"12-270 Southeast Anchorage No. 5","209","86","8","658","7"
"12-275 Southeast Anchorage No. 6","136","57","3","603","3"
"13-305 South Midtown No. 1","59","16","1","147","0"
"13-310 South Midtown No. 2","207","78","3","797","3"
"13-315 South Midtown No. 3","198","90","2","685","5"
"13-320 South Midtown No. 4","207","85","3","656","3"
"13-325 South Midtown No. 5","201","120","5","656","7"
"14-350 North Midtown No. 1","59","43","0","185","3"
"14-355 North Midtown No. 2","79","38","2","270","0"
"14-360 North Midtown No. 3","58","32","1","230","0"
"14-365 North Midtown No. 4","93","61","2","294","2"
"14-370 North Midtown No. 5","166","70","4","501","6"
"14-375 North Midtown No. 6","98","44","1","352","3"
"14-380 North Midtown No. 7","110","74","9","674","1"
"15-405 Southwest Anchorage No. 1","103","45","5","514","0"
"15-410 Southwest Anchorage No. 2","154","71","10","555","4"
"15-415 Southwest Anchorage No. 3","208","56","5","672","2"
"15-420 Southwest Anchorage No. 4","184","83","3","553","7"
"15-425 Southwest Anchorage No. 5","135","73","9","573","4"
"15-430 Southwest Anchorage No. 6","224","73","8","869","8"
"16-450 West Anchorage No. 1","76","73","7","504","0"
"16-455 West Anchorage No. 2","161","79","3","553","3"
"16-460 West Anchorage No. 3","177","119","9","745","4"
"16-465 West Anchorage No. 4","101","51","5","378","1"
"16-470 West Anchorage No. 5","171","73","6","660","0"
"16-475 West Anchorage No. 6","138","69","5","556","2"
"16-480 West Anchorage No. 7","146","53","3","416","2"
"17-505 Downtown Anchorage No. 1","57","22","3","265","0"
"17-510 Downtown Anchorage No. 2","76","62","4","352","0"
"17-515 Downtown Anchorage No. 3","47","33","4","262","1"
"17-520 Downtown Anchorage No. 4","124","88","4","418","2"
"17-525 Downtown Anchorage No. 5","102","52","1","275","3"
"17-530 Downtown Anchorage No. 6","93","24","1","190","8"
"17-535 Downtown Anchorage No. 7","107","54","1","282","3"
"18-550 Government Hill","83","37","2","297","0"
"18-555 JBER No.1","201","47","3","580","1"
"18-556 JBER No.2","78","15","0","145","0"
"18-560 North Muldoon","69","27","3","250","2"
"18-565 Ship Creek","15","11","0","60","0"
"19-605 Airport Heights No. 1","129","66","2","525","2"
"19-610 Airport Heights No. 2","89","60","2","571","1"
"19-615 Mountainview No. 1","98","44","0","257","3"
"19-620 Mountainview No. 2","83","37","1","257","2"
"19-625 South Mountainview","74","34","1","352","1"
"20-650 University No. 1","59","37","0","171","3"
"20-655 University No. 2","179","90","4","644","3"
"20-660 University No. 3","184","90","3","633","9"
"20-665 University No. 4","80","41","2","302","2"
"20-670 University No. 5","241","120","11","927","13"
"21-705 East Anchorage No. 1","104","51","4","532","3"
"21-710 East Anchorage No. 2","163","64","2","572","3"
"21-715 East Anchorage No. 3","214","99","7","788","9"
"21-720 East Anchorage No. 4","163","68","2","621","4"
"21-725 East Anchorage No. 5","215","119","4","871","8"
"22-750 Northeast Anchorage No. 1","197","88","3","537","1"
"22-755 Northeast Anchorage No. 2","181","85","0","491","9"
"22-760 Northeast Anchorage No. 3","161","85","5","635","7"
"22-765 Northeast Anchorage No. 4","129","59","4","369","13"
"23-805 Chugach Park No. 1","249","70","5","742","0"
"23-810 Eagle River No. 1","139","50","5","436","2"
"23-815 Eagle River No. 2","162","61","7","450","1"
"23-820 Hiland","123","47","2","465","1"
"23-825 Meadow Creek No. 1","167","56","3","496","1"
"23-830 Meadow Creek No. 2","79","27","1","314","2"
"24-850 Chugach Park No. 2","109","33","8","526","3"
"24-855 Chugiak","71","17","1","279","0"
"24-860 Eagle River No. 3","136","48","3","427","0"
"24-865 Eklutna","128","39","1","472","2"
"24-870 Fire Lake","147","46","3","525","4"
"24-875 Peters Creek No. 1","187","50","8","737","1"
"24-880 Peters Creek No. 2","98","34","1","393","0"
"25-305 Butte","265","67","12","861","3"
"25-310 Greater Palmer","131","23","3","384","1"
"25-315 Lazy Mountain","165","36","3","583","1"
"25-320 Palmer City No. 1","108","42","3","398","0"
"25-325 Palmer City No. 2","140","49","2","370","1"
"25-330 Springer Loop","153","38","5","555","0"
"25-335 Walby","162","35","7","464","2"
"26-350 Fairview No. 1","117","16","1","364","0"
"26-355 Fairview No. 2","81","23","1","287","2"
"26-360 Knik Goose Bay No. 1","244","44","6","881","1"
"26-365 Knik Goose Bay No. 2","180","23","3","577","0"
"26-370 Knik Goose Bay No. 3","125","19","1","365","0"
"26-375 Mat-Su Campus","130","34","5","462","2"
"26-380 Snowshoe","212","33","0","741","1"
"27-405 Foothills","135","40","4","535","2"
"27-410 Meadow Lakes No. 1","196","57","3","810","1"
"27-415 Meadow Lakes No. 2","177","35","7","676","1"
"27-420 Wasilla No. 1","170","43","6","518","5"
"27-425 Wasilla No. 2","185","52","8","697","1"
"28-450 Lakes No. 1","136","38","4","412","0"
"28-455 Lakes No. 2","80","21","4","300","1"
"28-460 Seldon No. 1","151","23","3","776","0"
"28-465 Seldon No. 2","225","64","7","652","2"
"28-470 Seward Meridian","75","17","4","307","0"
"28-475 Trunk","171","38","6","541","3"
"28-480 Wasilla Lake","96","16","1","282","0"
"29-505 Farm Loop","189","47","4","736","1"
"29-510 Fishhook","238","77","8","1073","2"
"29-515 Kings Lake","171","41","3","669","1"
"29-520 Lakes No. 3","70","22","1","260","0"
"29-525 Sheep Mountain","15","2","1","131","1"
"29-530 Sutton","87","32","2","383","0"
"29-535 Valdez No. 1","103","16","3","353","0"
"29-540 Valdez No. 2","32","22","1","169","0"
"29-545 Valdez No. 3","83","20","4","271","1"
"30-550 Anderson/Clear","20","4","0","113","0"
"30-555 Big Lake","221","53","8","906","6"
"30-560 Cantwell","16","11","1","58","0"
"30-565 Denali Park","11","13","0","48","0"
"30-570 East Schrock","20","7","0","63","0"
"30-575 Healy","70","24","1","279","0"
"30-580 Houston","107","24","0","392","2"
"30-585 Knik Goose Bay No. 4","228","40","6","841","0"
"30-590 Trapper Creek","14","4","1","99","1"
"30-595 Susitna","77","25","3","392","0"
"30-600 Talkeetna","48","29","3","180","0"
