"1","Kennedy/Shanahan","West/Abdullah","Blank","Exhausted","Overvote"
"House District 1","1510","474","60","6593","32"
"House District 10","1571","676","60","6506","31"
"House District 11","1527","738","71","7560","32"
"House District 12","1470","755","35","6287","22"
"House District 13","1395","718","32","5457","30"
"House District 14","1268","783","38","5366","40"
"House District 15","1657","730","65","6897","32"
"House District 16","1564","987","61","7105","29"
"House District 17","1277","837","38","5586","55"
"House District 18","1050","358","16","3405","11"
"House District 19","872","514","14","3627","39"
"House District 2","1780","685","57","7092","52"
"House District 20","1309","748","31","5191","48"
"House District 21","1487","837","34","6698","52"
"House District 22","1080","598","25","3770","48"
"House District 23","1983","745","50","7948","16"
"House District 24","1753","609","55","7748","17"
"House District 25","2000","635","59","7817","21"
"House District 26","1867","399","31","7175","20"
"House District 27","1652","493","41","6703","23"
"House District 28","1762","462","47","7048","12"
"House District 29","1834","564","56","8095","21"
"House District 3","1712","947","52","8442","17"
"House District 30","1661","582","57","8059","30"
"House District 31","1360","711","53","4913","47"
"House District 32","1348","485","26","4024","18"
"House District 33","1950","477","31","6421","21"
"House District 34","2015","736","61","7248","32"
"House District 35","1670","1045","51","7010","21"
"House District 36","1650","671","85","7261","53"
"House District 37","880","357","37","3099","71"
"House District 38","1149","491","29","2124","83"
"House District 39","1244","602","34","2330","98"
"House District 4","1352","976","47","6933","27"
"House District 40","907","339","31","2038","47"
"House District 5","1423","608","55","5984","27"
"House District 6","1604","816","56","9576","11"
"House District 7","1730","527","56","7341","33"
"House District 8","1700","500","54","8597","17"
"House District 9","1910","822","97","9094","15"
"House District 99","36","65","0","300","0"
"Total","60969","26102","1888","250468","1351"
