"1","Oliver/Maat","Sonski/Onak","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","100","30","7","424","0"
"01-610 Ketchikan No. 2","114","30","7","691","4"
"01-620 Ketchikan No. 3","44","9","6","500","2"
"01-640 North Tongass No. 1","41","9","1","362","0"
"01-650 North Tongass No. 2","75","28","1","633","3"
"01-660 Saxman","24","8","0","80","2"
"01-670 South Tongass","78","26","8","517","0"
"01-675 Coffman Cove","6","2","2","98","2"
"01-680 Metlakatla","79","25","7","342","4"
"01-690 Wrangell","78","35","4","559","1"
"02-700 Angoon","14","9","0","90","0"
"02-705 Craig","41","23","3","325","4"
"02-720 Hoonah","34","15","3","209","3"
"02-725 Hydaburg","13","5","0","80","0"
"02-730 Kake","30","13","1","134","3"
"02-735 Kasaan","3","2","0","20","0"
"02-740 Klawock","42","24","0","277","2"
"02-750 Pelican-Elfin Cove","7","0","0","33","0"
"02-755 Petersburg-Kupreanof","113","45","10","674","1"
"02-760 Port Alexander","2","0","0","8","1"
"02-765 Sitka No. 1","144","54","8","756","4"
"02-770 Sitka No. 2","127","62","4","709","3"
"02-775 Tenakee Springs","4","1","1","36","0"
"02-780 Thorne Bay","15","6","0","169","0"
"02-785 Yakutat","28","9","0","186","3"
"03-300 Auke Bay","58","17","3","406","0"
"03-305 Lynn Canal","52","15","6","358","0"
"03-310 Melvin Park","106","42","7","421","0"
"03-315 Mendenhall Glacier","163","60","5","696","0"
"03-320 Thunder Mountain","133","54","3","612","0"
"03-325 Gustavus","28","11","0","150","0"
"03-330 Haines No. 1","117","32","4","492","4"
"03-335 Haines No. 2","10","3","0","96","0"
"03-340 Klukwan","8","4","0","29","0"
"03-345 Skagway","88","24","1","299","0"
"04-100 Douglas","78","34","2","412","3"
"04-105 Juneau Airport Area","54","19","2","224","0"
"04-110 Juneau No. 1","70","32","4","327","0"
"04-115 Juneau No. 2","65","18","1","377","0"
"04-120 Juneau No. 3","30","17","2","208","1"
"04-125 Lemon Creek","89","70","3","408","1"
"04-130 Glacier Valley Area","61","34","2","286","5"
"04-135 North Douglas","65","24","3","353","0"
"05-800 Chiniak","5","3","0","46","0"
"05-810 Flats","80","10","3","467","2"
"05-815 Kodiak Island South","0","0","1","14","2"
"05-820 Kodiak No. 1","89","28","1","529","2"
"05-825 Kodiak No. 2","95","20","1","578","2"
"05-830 Mission Road","223","72","6","1107","0"
"05-835 Old Harbor","4","1","0","25","0"
"05-840 Ouzinkie","14","2","0","38","3"
"05-845 Port Lions","3","3","2","59","0"
"05-860 Cordova","86","16","6","375","4"
"05-865 Seward-Lowell Point","72","20","6","383","0"
"05-870 Tatitlek","7","4","0","7","1"
"06-200 Anchor Point","112","40","2","833","4"
"06-210 Diamond Ridge","45","16","2","285","1"
"06-220 Fox River","20","6","1","229","2"
"06-230 Homer No. 1","76","22","2","454","1"
"06-240 Homer No. 2","65","17","1","464","1"
"06-250 Kachemak-Fritz Creek","103","21","4","551","1"
"06-260 Kasilof","105","39","4","939","2"
"06-270 Ninilchik","77","22","1","532","2"
"06-280 Seldovia-Kachemak Bay","14","9","3","134","1"
"07-005 Central","109","35","3","598","2"
"07-010 K Beach","130","48","9","708","6"
"07-015 Kenai No. 1","122","42","1","584","5"
"07-020 Kenai No. 2","68","19","4","355","2"
"07-025 Kenai No. 3","46","15","3","275","3"
"07-030 Soldotna","98","44","6","695","3"
"08-035 Bear Creek","68","32","2","495","0"
"08-040 Cooper Landing","16","5","1","125","0"
"08-045 Funny River No. 1","27","12","3","297","1"
"08-050 Funny River No. 2","28","12","1","232","1"
"08-055 Hope","11","3","0","55","0"
"08-060 Mackey Lake","59","30","6","444","0"
"08-065 Moose Pass","12","4","3","142","0"
"08-070 Nikiski","81","53","2","667","0"
"08-075 Salamatof","89","40","4","633","2"
"08-080 Sterling No. 1","75","43","1","586","2"
"08-085 Sterling No. 2","56","31","3","727","1"
"09-105 Girdwood","147","39","10","633","1"
"09-110 Indian","11","3","1","116","0"
"09-115 South Anchorage No. 1","186","47","16","890","1"
"09-120 South Anchorage No. 2","164","52","7","993","0"
"09-125 South Anchorage No. 3","134","43","7","849","2"
"09-130 South Anchorage No. 4","146","34","11","935","3"
"09-135 South Anchorage No. 5","81","12","2","404","1"
"09-140 Stuckagain Heights","22","2","2","132","1"
"09-145 Whittier","13","3","1","65","1"
"10-150 Dimond","138","61","3","612","10"
"10-155 Oceanview No. 1","158","51","7","825","4"
"10-160 Oceanview No. 2","98","27","10","582","1"
"10-165 Oceanview No. 3","147","79","5","725","5"
"10-170 Oceanview No. 4","125","36","5","667","1"
"10-175 Oceanview No. 5","96","31","2","545","1"
"11-205 Hillside No. 1","105","44","2","473","7"
"11-210 Hillside No. 2","160","83","7","951","10"
"11-215 Hillside No. 3","79","31","3","526","1"
"11-220 Hillside No. 4","79","30","3","573","0"
"11-225 Hillside No. 5","65","17","2","667","0"
"11-230 Hillside No. 6","123","33","8","617","0"
"11-235 Hillside No. 7","91","32","6","519","0"
"12-250 Southeast Anchorage No. 1","129","78","2","669","2"
"12-255 Southeast Anchorage No. 2","69","42","1","376","0"
"12-260 Southeast Anchorage No. 3","118","78","1","602","0"
"12-265 Southeast Anchorage No. 4","93","55","6","655","0"
"12-270 Southeast Anchorage No. 5","148","85","8","719","8"
"12-275 Southeast Anchorage No. 6","107","36","3","652","4"
"13-305 South Midtown No. 1","43","7","1","172","0"
"13-310 South Midtown No. 2","177","47","3","857","4"
"13-315 South Midtown No. 3","175","55","2","743","5"
"13-320 South Midtown No. 4","174","48","3","725","4"
"13-325 South Midtown No. 5","190","64","5","722","8"
"14-350 North Midtown No. 1","61","13","0","212","4"
"14-355 North Midtown No. 2","73","21","2","293","0"
"14-360 North Midtown No. 3","58","14","1","248","0"
"14-365 North Midtown No. 4","88","30","2","330","2"
"14-370 North Midtown No. 5","134","38","4","563","8"
"14-375 North Midtown No. 6","80","31","1","382","4"
"14-380 North Midtown No. 7","119","35","9","704","1"
"15-405 Southwest Anchorage No. 1","86","28","5","548","0"
"15-410 Southwest Anchorage No. 2","133","42","10","605","4"
"15-415 Southwest Anchorage No. 3","153","47","5","737","1"
"15-420 Southwest Anchorage No. 4","151","54","3","614","8"
"15-425 Southwest Anchorage No. 5","127","32","9","621","5"
"15-430 Southwest Anchorage No. 6","158","49","8","958","9"
"16-450 West Anchorage No. 1","81","26","7","544","2"
"16-455 West Anchorage No. 2","126","58","3","609","3"
"16-460 West Anchorage No. 3","176","64","9","799","6"
"16-465 West Anchorage No. 4","87","48","5","396","0"
"16-470 West Anchorage No. 5","139","50","6","713","2"
"16-475 West Anchorage No. 6","112","38","5","613","2"
"16-480 West Anchorage No. 7","128","40","3","446","3"
"17-505 Downtown Anchorage No. 1","51","11","3","282","0"
"17-510 Downtown Anchorage No. 2","66","25","4","399","0"
"17-515 Downtown Anchorage No. 3","51","9","4","282","1"
"17-520 Downtown Anchorage No. 4","141","28","4","460","3"
"17-525 Downtown Anchorage No. 5","92","29","1","307","4"
"17-530 Downtown Anchorage No. 6","71","19","1","218","7"
"17-535 Downtown Anchorage No. 7","77","34","1","332","3"
"18-550 Government Hill","53","22","2","342","0"
"18-555 JBER No.1","132","35","3","661","1"
"18-556 JBER No.2","58","12","0","168","0"
"18-560 North Muldoon","45","23","3","278","2"
"18-565 Ship Creek","16","7","0","63","0"
"19-605 Airport Heights No. 1","103","42","2","575","2"
"19-610 Airport Heights No. 2","67","30","2","622","2"
"19-615 Mountainview No. 1","73","48","0","278","3"
"19-620 Mountainview No. 2","57","38","1","282","2"
"19-625 South Mountainview","52","30","1","378","1"
"20-650 University No. 1","50","33","0","183","4"
"20-655 University No. 2","125","69","4","719","3"
"20-660 University No. 3","143","76","3","685","12"
"20-665 University No. 4","65","33","2","325","2"
"20-670 University No. 5","214","109","11","967","11"
"21-705 East Anchorage No. 1","83","24","4","580","3"
"21-710 East Anchorage No. 2","126","47","2","627","2"
"21-715 East Anchorage No. 3","216","62","7","823","9"
"21-720 East Anchorage No. 4","142","37","2","673","4"
"21-725 East Anchorage No. 5","221","51","4","935","6"
"22-750 Northeast Anchorage No. 1","176","63","3","581","3"
"22-755 Northeast Anchorage No. 2","180","54","0","524","8"
"22-760 Northeast Anchorage No. 3","149","57","5","673","9"
"22-765 Northeast Anchorage No. 4","106","42","4","409","13"
"23-805 Chugach Park No. 1","187","46","5","828","0"
"23-810 Eagle River No. 1","105","35","5","486","1"
"23-815 Eagle River No. 2","132","34","7","505","3"
"23-820 Hiland","109","26","2","500","1"
"23-825 Meadow Creek No. 1","133","32","3","552","3"
"23-830 Meadow Creek No. 2","64","16","1","339","3"
"24-850 Chugach Park No. 2","101","27","8","541","2"
"24-855 Chugiak","43","29","1","295","0"
"24-860 Eagle River No. 3","99","37","3","475","0"
"24-865 Eklutna","94","39","1","506","2"
"24-870 Fire Lake","107","55","3","556","4"
"24-875 Peters Creek No. 1","124","50","8","799","2"
"24-880 Peters Creek No. 2","74","31","1","420","0"
"25-305 Butte","165","69","12","961","1"
"25-310 Greater Palmer","92","23","3","423","1"
"25-315 Lazy Mountain","95","44","3","644","2"
"25-320 Palmer City No. 1","78","28","3","442","0"
"25-325 Palmer City No. 2","124","29","2","406","1"
"25-330 Springer Loop","110","41","5","594","1"
"25-335 Walby","114","40","7","506","3"
"26-350 Fairview No. 1","67","27","1","402","1"
"26-355 Fairview No. 2","59","20","1","312","2"
"26-360 Knik Goose Bay No. 1","149","45","6","975","1"
"26-365 Knik Goose Bay No. 2","102","31","3","647","0"
"26-370 Knik Goose Bay No. 3","72","27","1","410","0"
"26-375 Mat-Su Campus","89","36","5","501","2"
"26-380 Snowshoe","127","46","0","814","0"
"27-405 Foothills","92","41","4","577","2"
"27-410 Meadow Lakes No. 1","135","54","3","872","3"
"27-415 Meadow Lakes No. 2","117","51","7","721","0"
"27-420 Wasilla No. 1","119","39","6","575","3"
"27-425 Wasilla No. 2","125","47","8","762","1"
"28-450 Lakes No. 1","76","51","4","459","0"
"28-455 Lakes No. 2","55","21","4","326","0"
"28-460 Seldon No. 1","90","25","3","834","1"
"28-465 Seldon No. 2","142","82","7","717","2"
"28-470 Seward Meridian","37","30","4","332","0"
"28-475 Trunk","111","59","6","580","3"
"28-480 Wasilla Lake","67","20","1","307","0"
"29-505 Farm Loop","138","32","4","802","1"
"29-510 Fishhook","170","57","8","1158","5"
"29-515 Kings Lake","125","35","3","721","1"
"29-520 Lakes No. 3","60","11","1","281","0"
"29-525 Sheep Mountain","9","1","1","138","1"
"29-530 Sutton","73","13","2","416","0"
"29-535 Valdez No. 1","61","16","3","395","0"
"29-540 Valdez No. 2","30","7","1","186","0"
"29-545 Valdez No. 3","48","14","4","310","3"
"30-550 Anderson/Clear","14","1","0","122","0"
"30-555 Big Lake","141","57","8","982","6"
"30-560 Cantwell","14","4","1","67","0"
"30-565 Denali Park","9","2","0","61","0"
"30-570 East Schrock","19","7","0","64","0"
"30-575 Healy","56","20","1","297","0"
"30-580 Houston","66","22","0","435","2"
"30-585 Knik Goose Bay No. 4","150","44","6","915","0"
"30-590 Trapper Creek","12","1","1","104","1"
"30-595 Susitna","51","12","3","431","0"
"30-600 Talkeetna","41","13","3","203","0"
"30-605 Willow","113","31","5","844","3"
"31-446 Aurora","143","49","5","695","0"
