"1","Oliver/Maat","Sonski/Onak","Blank","Exhausted","Overvote"
"House District 1","1058","339","60","7180","32"
"House District 10","1225","439","60","7088","32"
"House District 11","1241","470","71","8115","31"
"House District 12","1160","600","35","6751","23"
"House District 13","1265","377","32","5926","32"
"House District 14","1218","358","38","5835","46"
"House District 15","1315","414","65","7551","36"
"House District 16","1473","488","61","7691","33"
"House District 17","1234","356","38","6109","56"
"House District 18","731","281","16","3800","12"
"House District 19","684","358","14","3971","39"
"House District 2","1223","479","57","7854","53"
"House District 20","1080","577","31","5586","53"
"House District 21","1394","427","34","7201","52"
"House District 22","1023","355","25","4064","54"
"House District 23","1628","438","50","8606","20"
"House District 24","1339","520","55","8250","18"
"House District 25","1448","492","59","8510","23"
"House District 26","1167","411","31","7864","19"
"House District 27","1101","463","41","7286","21"
"House District 28","1123","547","47","7600","14"
"House District 29","1331","360","56","8797","26"
"House District 3","1495","539","52","9071","13"
"House District 30","1214","387","57","8701","30"
"House District 31","1173","445","53","5363","50"
"House District 32","1066","422","26","4363","24"
"House District 33","1362","527","31","6956","24"
"House District 34","1517","549","61","7937","28"
"House District 35","1531","574","51","7616","25"
"House District 36","1175","582","85","7820","58"
"House District 37","687","258","37","3381","81"
"House District 38","979","413","29","2351","104"
"House District 39","1009","471","34","2688","106"
"House District 4","1181","558","47","7522","27"
"House District 40","658","370","31","2252","51"
"House District 5","1178","307","55","6524","33"
"House District 6","1279","412","56","10295","21"
"House District 7","1203","411","56","7981","36"
"House District 8","1054","487","54","9256","17"
"House District 9","1587","445","97","9794","15"
"House District 99","59","18","0","324","0"
"Total","47868","17724","1888","271830","1468"
