"1","Oliver/Maat","Stein/Ware","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","90","56","7","408","0"
"01-610 Ketchikan No. 2","99","65","7","670","5"
"01-620 Ketchikan No. 3","36","31","6","486","2"
"01-640 North Tongass No. 1","37","25","1","349","1"
"01-650 North Tongass No. 2","66","65","1","605","3"
"01-660 Saxman","21","13","0","78","2"
"01-670 South Tongass","77","43","8","501","0"
"01-675 Coffman Cove","6","4","2","96","2"
"01-680 Metlakatla","72","42","7","332","4"
"01-690 Wrangell","63","64","4","545","1"
"02-700 Angoon","16","8","0","89","0"
"02-705 Craig","37","31","3","320","5"
"02-720 Hoonah","31","24","3","203","3"
"02-725 Hydaburg","13","8","0","77","0"
"02-730 Kake","25","19","1","133","3"
"02-735 Kasaan","3","3","0","19","0"
"02-740 Klawock","39","27","0","277","2"
"02-750 Pelican-Elfin Cove","6","2","0","32","0"
"02-755 Petersburg-Kupreanof","107","72","10","653","1"
"02-760 Port Alexander","2","1","0","7","1"
"02-765 Sitka No. 1","129","103","8","722","4"
"02-770 Sitka No. 2","105","138","4","656","2"
"02-775 Tenakee Springs","1","9","1","31","0"
"02-780 Thorne Bay","11","16","0","163","0"
"02-785 Yakutat","29","10","0","184","3"
"03-300 Auke Bay","52","54","3","375","0"
"03-305 Lynn Canal","43","50","6","332","0"
"03-310 Melvin Park","92","84","7","393","0"
"03-315 Mendenhall Glacier","148","105","5","666","0"
"03-320 Thunder Mountain","123","89","3","587","0"
"03-325 Gustavus","25","31","0","133","0"
"03-330 Haines No. 1","106","68","4","467","4"
"03-335 Haines No. 2","9","13","0","87","0"
"03-340 Klukwan","8","8","0","25","0"
"03-345 Skagway","74","57","1","280","0"
"04-100 Douglas","61","94","2","371","1"
"04-105 Juneau Airport Area","43","38","2","216","0"
"04-110 Juneau No. 1","59","66","4","303","1"
"04-115 Juneau No. 2","49","86","1","325","0"
"04-120 Juneau No. 3","23","42","2","190","1"
"04-125 Lemon Creek","72","98","3","398","0"
"04-130 Glacier Valley Area","55","63","2","262","6"
"04-135 North Douglas","52","70","3","320","0"
"05-800 Chiniak","6","5","0","43","0"
"05-810 Flats","61","51","3","445","2"
"05-815 Kodiak Island South","0","0","1","14","2"
"05-820 Kodiak No. 1","48","82","1","516","2"
"05-825 Kodiak No. 2","58","72","1","563","2"
"05-830 Mission Road","151","185","6","1066","0"
"05-835 Old Harbor","0","6","0","24","0"
"05-840 Ouzinkie","8","9","0","38","2"
"05-845 Port Lions","3","3","2","59","0"
"05-860 Cordova","48","77","6","352","4"
"05-865 Seward-Lowell Point","42","86","6","347","0"
"05-870 Tatitlek","6","5","0","7","1"
"06-200 Anchor Point","100","74","2","812","3"
"06-210 Diamond Ridge","36","53","2","257","1"
"06-220 Fox River","15","23","1","218","1"
"06-230 Homer No. 1","67","73","2","412","1"
"06-240 Homer No. 2","58","45","1","443","1"
"06-250 Kachemak-Fritz Creek","82","105","4","488","1"
"06-260 Kasilof","95","62","4","927","1"
"06-270 Ninilchik","70","38","1","524","1"
"06-280 Seldovia-Kachemak Bay","14","20","3","123","1"
"07-005 Central","105","46","3","591","2"
"07-010 K Beach","119","69","9","699","5"
"07-015 Kenai No. 1","116","61","1","571","5"
"07-020 Kenai No. 2","65","33","4","344","2"
"07-025 Kenai No. 3","45","21","3","271","2"
"07-030 Soldotna","92","69","6","676","3"
"08-035 Bear Creek","63","75","2","457","0"
"08-040 Cooper Landing","13","14","1","119","0"
"08-045 Funny River No. 1","25","16","3","295","1"
"08-050 Funny River No. 2","24","18","1","230","1"
"08-055 Hope","9","12","0","48","0"
"08-060 Mackey Lake","53","48","6","432","0"
"08-065 Moose Pass","9","12","3","137","0"
"08-070 Nikiski","76","69","2","656","0"
"08-075 Salamatof","82","57","4","623","2"
"08-080 Sterling No. 1","81","46","1","578","1"
"08-085 Sterling No. 2","58","39","3","717","1"
"09-105 Girdwood","117","152","10","550","1"
"09-110 Indian","6","16","1","108","0"
"09-115 South Anchorage No. 1","164","90","16","868","2"
"09-120 South Anchorage No. 2","154","93","7","962","0"
"09-125 South Anchorage No. 3","119","81","7","827","1"
"09-130 South Anchorage No. 4","134","75","11","907","2"
"09-135 South Anchorage No. 5","65","46","2","386","1"
"09-140 Stuckagain Heights","19","15","2","122","1"
"09-145 Whittier","11","6","1","64","1"
"10-150 Dimond","132","90","3","589","10"
"10-155 Oceanview No. 1","137","97","7","801","3"
"10-160 Oceanview No. 2","82","56","10","568","2"
"10-165 Oceanview No. 3","139","113","5","699","5"
"10-170 Oceanview No. 4","110","86","5","632","1"
"10-175 Oceanview No. 5","81","71","2","520","1"
"11-205 Hillside No. 1","92","75","2","455","7"
"11-210 Hillside No. 2","146","141","7","908","9"
"11-215 Hillside No. 3","69","50","3","518","0"
"11-220 Hillside No. 4","68","56","3","557","1"
"11-225 Hillside No. 5","56","35","2","657","1"
"11-230 Hillside No. 6","107","80","8","586","0"
"11-235 Hillside No. 7","86","60","6","496","0"
"12-250 Southeast Anchorage No. 1","123","105","2","648","2"
"12-255 Southeast Anchorage No. 2","60","67","1","360","0"
"12-260 Southeast Anchorage No. 3","117","103","1","578","0"
"12-265 Southeast Anchorage No. 4","79","85","6","639","0"
"12-270 Southeast Anchorage No. 5","134","135","8","685","6"
"12-275 Southeast Anchorage No. 6","99","69","3","627","4"
"13-305 South Midtown No. 1","33","30","1","159","0"
"13-310 South Midtown No. 2","131","117","3","834","3"
"13-315 South Midtown No. 3","129","131","2","712","6"
"13-320 South Midtown No. 4","124","140","3","683","4"
"13-325 South Midtown No. 5","137","181","5","659","7"
"14-350 North Midtown No. 1","47","53","0","187","3"
"14-355 North Midtown No. 2","63","59","2","265","0"
"14-360 North Midtown No. 3","56","28","1","236","0"
"14-365 North Midtown No. 4","73","64","2","311","2"
"14-370 North Midtown No. 5","119","85","4","531","8"
"14-375 North Midtown No. 6","67","56","1","370","4"
"14-380 North Midtown No. 7","104","105","9","649","1"
"15-405 Southwest Anchorage No. 1","88","41","5","533","0"
"15-410 Southwest Anchorage No. 2","109","94","10","577","4"
"15-415 Southwest Anchorage No. 3","134","111","5","692","1"
"15-420 Southwest Anchorage No. 4","147","79","3","593","8"
"15-425 Southwest Anchorage No. 5","104","82","9","593","6"
"15-430 Southwest Anchorage No. 6","145","104","8","918","7"
"16-450 West Anchorage No. 1","63","86","7","503","1"
"16-455 West Anchorage No. 2","100","113","3","579","4"
"16-460 West Anchorage No. 3","149","135","9","755","6"
"16-465 West Anchorage No. 4","74","85","5","372","0"
"16-470 West Anchorage No. 5","122","100","6","681","1"
"16-475 West Anchorage No. 6","107","73","5","583","2"
"16-480 West Anchorage No. 7","109","83","3","422","3"
"17-505 Downtown Anchorage No. 1","43","40","3","261","0"
"17-510 Downtown Anchorage No. 2","64","69","4","357","0"
"17-515 Downtown Anchorage No. 3","40","39","4","263","1"
"17-520 Downtown Anchorage No. 4","110","102","4","417","3"
"17-525 Downtown Anchorage No. 5","74","71","1","283","4"
"17-530 Downtown Anchorage No. 6","63","42","1","203","7"
"17-535 Downtown Anchorage No. 7","72","71","1","300","3"
"18-550 Government Hill","57","38","2","322","0"
"18-555 JBER No.1","124","50","3","654","1"
"18-556 JBER No.2","53","25","0","160","0"
"18-560 North Muldoon","35","43","3","268","2"
"18-565 Ship Creek","14","12","0","60","0"
"19-605 Airport Heights No. 1","82","111","2","527","2"
"19-610 Airport Heights No. 2","64","72","2","583","2"
"19-615 Mountainview No. 1","71","63","0","265","3"
"19-620 Mountainview No. 2","58","46","1","273","2"
"19-625 South Mountainview","45","54","1","361","1"
"20-650 University No. 1","48","48","0","170","4"
"20-655 University No. 2","103","119","4","692","2"
"20-660 University No. 3","127","137","3","640","12"
"20-665 University No. 4","57","68","2","298","2"
"20-670 University No. 5","190","167","11","932","12"
"21-705 East Anchorage No. 1","61","90","4","536","3"
"21-710 East Anchorage No. 2","92","103","2","604","3"
"21-715 East Anchorage No. 3","149","144","7","809","8"
"21-720 East Anchorage No. 4","105","103","2","643","5"
"21-725 East Anchorage No. 5","156","171","4","881","5"
"22-750 Northeast Anchorage No. 1","154","110","3","556","3"
"22-755 Northeast Anchorage No. 2","161","85","0","511","9"
"22-760 Northeast Anchorage No. 3","133","101","5","646","8"
"22-765 Northeast Anchorage No. 4","92","71","4","393","14"
"23-805 Chugach Park No. 1","173","89","5","799","0"
"23-810 Eagle River No. 1","97","56","5","473","1"
"23-815 Eagle River No. 2","122","60","7","489","3"
"23-820 Hiland","102","48","2","485","1"
"23-825 Meadow Creek No. 1","115","71","3","532","2"
