"1","Oliver/Maat","Stein/Ware","Blank","Exhausted","Overvote"
"House District 1","940","690","60","6943","36"
"House District 10","1056","900","60","6797","31"
"House District 11","1065","985","71","7776","31"
"House District 12","983","1073","35","6457","21"
"House District 13","907","1057","32","5606","30"
"House District 14","1009","977","38","5427","44"
"House District 15","1179","898","65","7206","33"
"House District 16","1218","1214","61","7221","32"
"House District 17","1002","1082","38","5613","58"
"House District 18","696","433","16","3684","11"
"House District 19","573","729","14","3709","41"
"House District 2","1050","1036","57","7472","51"
"House District 20","910","1080","31","5254","52"
"House District 21","1012","1182","34","6829","51"
"House District 22","878","652","25","3911","55"
"House District 23","1445","899","50","8329","19"
"House District 24","1210","865","55","8033","19"
"House District 25","1338","865","59","8244","26"
"House District 26","1098","624","31","7720","19"
"House District 27","1020","677","41","7153","21"
"House District 28","1031","758","47","7481","14"
"House District 29","1035","912","56","8546","21"
"House District 3","1267","1297","52","8540","14"
"House District 30","1118","736","57","8447","31"
"House District 31","1077","752","53","5154","48"
"House District 32","980","608","26","4265","22"
"House District 33","1282","725","31","6840","22"
"House District 34","1370","1076","61","7560","25"
"House District 35","1284","1403","51","7033","26"
"House District 36","1035","1027","85","7518","55"
"House District 37","475","611","37","3252","69"
"House District 38","943","497","29","2302","105"
"House District 39","998","541","34","2630","105"
"House District 4","941","1479","47","6843","25"
"House District 40","602","463","31","2212","54"
"House District 5","782","1017","55","6211","32"
"House District 6","1065","1225","56","9700","17"
"House District 7","1119","651","56","7827","34"
"House District 8","947","832","54","9018","17"
"House District 9","1367","1124","97","9335","15"
"House District 99","44","65","0","292","0"
"Total","41351","35717","1888","260390","1432"
