"1","Oliver/Maat","Terry/Broden","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","99","30","7","425","0"
"01-610 Ketchikan No. 2","107","38","7","690","4"
"01-620 Ketchikan No. 3","41","14","6","498","2"
"01-640 North Tongass No. 1","37","14","1","361","0"
"01-650 North Tongass No. 2","73","34","1","629","3"
"01-660 Saxman","28","4","0","80","2"
"01-670 South Tongass","75","34","8","512","0"
"01-675 Coffman Cove","7","1","2","98","2"
"01-680 Metlakatla","84","22","7","339","5"
"01-690 Wrangell","79","37","4","556","1"
"02-700 Angoon","14","9","0","90","0"
"02-705 Craig","41","24","3","323","5"
"02-720 Hoonah","30","19","3","209","3"
"02-725 Hydaburg","14","3","0","81","0"
"02-730 Kake","29","14","1","134","3"
"02-735 Kasaan","4","1","0","20","0"
"02-740 Klawock","45","21","0","276","3"
"02-750 Pelican-Elfin Cove","7","1","0","32","0"
"02-755 Petersburg-Kupreanof","111","49","10","672","1"
"02-760 Port Alexander","2","0","0","8","1"
"02-765 Sitka No. 1","146","62","8","746","4"
"02-770 Sitka No. 2","129","67","4","703","2"
"02-775 Tenakee Springs","3","2","1","36","0"
"02-780 Thorne Bay","17","4","0","169","0"
"02-785 Yakutat","28","11","0","184","3"
"03-300 Auke Bay","58","17","3","406","0"
"03-305 Lynn Canal","49","18","6","358","0"
"03-310 Melvin Park","99","49","7","421","0"
"03-315 Mendenhall Glacier","166","58","5","695","0"
"03-320 Thunder Mountain","127","65","3","607","0"
"03-325 Gustavus","26","12","0","151","0"
"03-330 Haines No. 1","118","34","4","490","3"
"03-335 Haines No. 2","10","2","0","97","0"
"03-340 Klukwan","8","6","0","27","0"
"03-345 Skagway","89","23","1","299","0"
"04-100 Douglas","82","35","2","407","3"
"04-105 Juneau Airport Area","48","21","2","228","0"
"04-110 Juneau No. 1","65","36","4","327","1"
"04-115 Juneau No. 2","58","23","1","379","0"
"04-120 Juneau No. 3","31","13","2","211","1"
"04-125 Lemon Creek","86","64","3","417","1"
"04-130 Glacier Valley Area","57","39","2","284","6"
"04-135 North Douglas","61","27","3","354","0"
"05-800 Chiniak","6","4","0","44","0"
"05-810 Flats","59","34","3","464","2"
"05-815 Kodiak Island South","0","0","1","14","2"
"05-820 Kodiak No. 1","61","50","1","535","2"
"05-825 Kodiak No. 2","60","64","1","569","2"
"05-830 Mission Road","168","142","6","1092","0"
"05-835 Old Harbor","0","5","0","25","0"
"05-840 Ouzinkie","9","6","0","39","3"
"05-845 Port Lions","4","1","2","60","0"
"05-860 Cordova","68","35","6","374","4"
"05-865 Seward-Lowell Point","57","38","6","380","0"
"05-870 Tatitlek","4","7","0","7","1"
"06-200 Anchor Point","95","69","2","822","3"
"06-210 Diamond Ridge","46","20","2","280","1"
"06-220 Fox River","21","6","1","229","1"
"06-230 Homer No. 1","65","36","2","451","1"
"06-240 Homer No. 2","54","22","1","470","1"
"06-250 Kachemak-Fritz Creek","92","34","4","549","1"
"06-260 Kasilof","90","64","4","929","2"
"06-270 Ninilchik","60","40","1","532","1"
"06-280 Seldovia-Kachemak Bay","18","7","3","132","1"
"07-005 Central","107","42","3","593","2"
"07-010 K Beach","128","54","9","704","6"
"07-015 Kenai No. 1","119","50","1","579","5"
"07-020 Kenai No. 2","67","26","4","349","2"
"07-025 Kenai No. 3","46","16","3","274","3"
"07-030 Soldotna","87","65","6","685","3"
"08-035 Bear Creek","67","40","2","488","0"
"08-040 Cooper Landing","16","6","1","124","0"
"08-045 Funny River No. 1","27","15","3","294","1"
"08-050 Funny River No. 2","26","13","1","233","1"
"08-055 Hope","12","3","0","54","0"
"08-060 Mackey Lake","56","36","6","441","0"
"08-065 Moose Pass","10","7","3","141","0"
"08-070 Nikiski","63","81","2","657","0"
"08-075 Salamatof","82","57","4","623","2"
"08-080 Sterling No. 1","67","58","1","579","2"
"08-085 Sterling No. 2","53","44","3","717","1"
"09-105 Girdwood","149","41","10","629","1"
"09-110 Indian","11","3","1","116","0"
"09-115 South Anchorage No. 1","181","57","16","886","0"
"09-120 South Anchorage No. 2","160","57","7","992","0"
"09-125 South Anchorage No. 3","127","56","7","844","1"
"09-130 South Anchorage No. 4","142","36","11","937","3"
"09-135 South Anchorage No. 5","75","20","2","402","1"
"09-140 Stuckagain Heights","22","2","2","132","1"
"09-145 Whittier","12","4","1","65","1"
"10-150 Dimond","142","57","3","612","10"
"10-155 Oceanview No. 1","152","59","7","823","4"
"10-160 Oceanview No. 2","91","35","10","580","2"
"10-165 Oceanview No. 3","156","70","5","725","5"
"10-170 Oceanview No. 4","124","41","5","663","1"
"10-175 Oceanview No. 5","95","35","2","542","1"
"11-205 Hillside No. 1","98","57","2","467","7"
"11-210 Hillside No. 2","163","83","7","950","8"
"11-215 Hillside No. 3","74","35","3","528","0"
"11-220 Hillside No. 4","79","35","3","568","0"
"11-225 Hillside No. 5","62","18","2","669","0"
"11-230 Hillside No. 6","127","42","8","604","0"
"11-235 Hillside No. 7","95","30","6","517","0"
"12-250 Southeast Anchorage No. 1","125","84","2","667","2"
"12-255 Southeast Anchorage No. 2","69","43","1","375","0"
"12-260 Southeast Anchorage No. 3","114","85","1","599","0"
"12-265 Southeast Anchorage No. 4","92","56","6","655","0"
"12-270 Southeast Anchorage No. 5","146","87","8","720","7"
"12-275 Southeast Anchorage No. 6","108","41","3","646","4"
"13-305 South Midtown No. 1","36","18","1","168","0"
"13-310 South Midtown No. 2","142","82","3","857","4"
"13-315 South Midtown No. 3","141","90","2","741","6"
"13-320 South Midtown No. 4","140","84","3","723","4"
"13-325 South Midtown No. 5","149","111","5","716","8"
"14-350 North Midtown No. 1","53","25","0","209","3"
"14-355 North Midtown No. 2","64","35","2","288","0"
"14-360 North Midtown No. 3","44","30","1","246","0"
"14-365 North Midtown No. 4","71","51","2","327","1"
"14-370 North Midtown No. 5","108","67","4","560","8"
"14-375 North Midtown No. 6","66","52","1","375","4"
"14-380 North Midtown No. 7","101","61","9","696","1"
"15-405 Southwest Anchorage No. 1","89","33","5","540","0"
"15-410 Southwest Anchorage No. 2","129","50","10","601","4"
"15-415 Southwest Anchorage No. 3","152","55","5","730","1"
"15-420 Southwest Anchorage No. 4","147","59","3","613","8"
"15-425 Southwest Anchorage No. 5","115","48","9","616","6"
"15-430 Southwest Anchorage No. 6","150","66","8","951","7"
"16-450 West Anchorage No. 1","81","28","7","542","2"
"16-455 West Anchorage No. 2","121","63","3","608","4"
"16-460 West Anchorage No. 3","180","66","9","793","6"
"16-465 West Anchorage No. 4","82","54","5","395","0"
"16-470 West Anchorage No. 5","136","56","6","711","1"
"16-475 West Anchorage No. 6","117","34","5","612","2"
"16-480 West Anchorage No. 7","121","54","3","440","2"
"17-505 Downtown Anchorage No. 1","50","12","3","282","0"
"17-510 Downtown Anchorage No. 2","72","20","4","398","0"
"17-515 Downtown Anchorage No. 3","45","10","4","287","1"
"17-520 Downtown Anchorage No. 4","130","40","4","459","3"
"17-525 Downtown Anchorage No. 5","95","31","1","304","2"
"17-530 Downtown Anchorage No. 6","72","20","1","217","6"
"17-535 Downtown Anchorage No. 7","81","27","1","335","3"
"18-550 Government Hill","55","25","2","337","0"
"18-555 JBER No.1","120","48","3","660","1"
"18-556 JBER No.2","53","19","0","166","0"
"18-560 North Muldoon","39","31","3","276","2"
"18-565 Ship Creek","18","6","0","62","0"
"19-605 Airport Heights No. 1","113","36","2","571","2"
"19-610 Airport Heights No. 2","70","29","2","620","2"
"19-615 Mountainview No. 1","80","45","0","272","5"
"19-620 Mountainview No. 2","50","48","1","279","2"
"19-625 South Mountainview","57","23","1","380","1"
"20-650 University No. 1","50","30","0","186","4"
"20-655 University No. 2","117","74","4","721","4"
"20-660 University No. 3","148","75","3","682","11"
"20-665 University No. 4","63","37","2","322","3"
"20-670 University No. 5","207","115","11","968","11"
"21-705 East Anchorage No. 1","67","46","4","574","3"
"21-710 East Anchorage No. 2","107","65","2","627","3"
"21-715 East Anchorage No. 3","179","103","7","819","9"
"21-720 East Anchorage No. 4","117","64","2","671","4"
"21-725 East Anchorage No. 5","173","109","4","925","6"
"22-750 Northeast Anchorage No. 1","133","117","3","573","0"
"22-755 Northeast Anchorage No. 2","135","103","0","519","9"
"22-760 Northeast Anchorage No. 3","126","88","5","666","8"
"22-765 Northeast Anchorage No. 4","73","80","4","403","14"
"23-805 Chugach Park No. 1","175","64","5","822","0"
"23-810 Eagle River No. 1","101","44","5","481","1"
"23-815 Eagle River No. 2","122","48","7","501","3"
"23-820 Hiland","100","35","2","500","1"
"23-825 Meadow Creek No. 1","126","48","3","543","3"
"23-830 Meadow Creek No. 2","60","26","1","333","3"
"24-850 Chugach Park No. 2","93","40","8","536","2"
"24-855 Chugiak","42","31","1","294","0"
"24-860 Eagle River No. 3","100","49","3","462","0"
"24-865 Eklutna","91","36","1","512","2"
"24-870 Fire Lake","103","63","3","551","5"
"24-875 Peters Creek No. 1","111","68","8","794","2"
"24-880 Peters Creek No. 2","67","42","1","416","0"
"25-305 Butte","178","72","12","945","1"
"25-310 Greater Palmer","90","28","3","420","1"
"25-315 Lazy Mountain","100","46","3","637","2"
"25-320 Palmer City No. 1","77","30","3","441","0"
"25-325 Palmer City No. 2","124","30","2","405","1"
"25-330 Springer Loop","105","58","5","583","0"
"25-335 Walby","107","53","7","500","3"
"26-350 Fairview No. 1","69","28","1","399","1"
"26-355 Fairview No. 2","58","25","1","308","2"
"26-360 Knik Goose Bay No. 1","145","59","6","965","1"
"26-365 Knik Goose Bay No. 2","95","45","3","640","0"
"26-370 Knik Goose Bay No. 3","75","26","1","408","0"
"26-375 Mat-Su Campus","88","38","5","500","2"
"26-380 Snowshoe","127","56","0","804","0"
"27-405 Foothills","88","49","4","574","1"
"27-410 Meadow Lakes No. 1","128","72","3","863","1"
"27-415 Meadow Lakes No. 2","115","73","7","700","1"
"27-420 Wasilla No. 1","115","48","6","570","3"
"27-425 Wasilla No. 2","125","55","8","754","1"
"28-450 Lakes No. 1","74","55","4","456","1"
"28-455 Lakes No. 2","49","27","4","326","0"
"28-460 Seldon No. 1","81","41","3","827","1"
"28-465 Seldon No. 2","140","83","7","718","2"
"28-470 Seward Meridian","41","30","4","328","0"
"28-475 Trunk","114","61","6","575","3"
"28-480 Wasilla Lake","65","22","1","307","0"
"29-505 Farm Loop","106","78","4","788","1"
"29-510 Fishhook","138","98","8","1151","3"
"29-515 Kings Lake","103","64","3","714","1"
"29-520 Lakes No. 3","47","31","1","274","0"
"29-525 Sheep Mountain","8","5","1","135","1"
"29-530 Sutton","59","38","2","405","0"
"29-535 Valdez No. 1","50","32","3","390","0"
"29-540 Valdez No. 2","23","17","1","183","0"
"29-545 Valdez No. 3","32","37","4","305","1"
"30-550 Anderson/Clear","9","9","0","119","0"
"30-555 Big Lake","114","101","8","964","7"
"30-560 Cantwell","10","8","1","67","0"
"30-565 Denali Park","9","2","0","61","0"
