"1","Oliver/Maat","Terry/Broden","Blank","Exhausted","Overvote"
"House District 1","1054","364","60","7158","33"
"House District 10","1226","454","60","7072","32"
"House District 11","1238","505","71","8087","27"
"House District 12","1146","613","35","6753","22"
"House District 13","1042","627","32","5899","32"
"House District 14","1057","564","38","5794","42"
"House District 15","1286","488","65","7508","34"
"House District 16","1437","545","61","7669","34"
"House District 17","1229","368","38","6104","54"
"House District 18","708","324","16","3781","11"
"House District 19","712","342","14","3956","42"
"House District 2","1227","517","57","7813","52"
"House District 20","1065","598","31","5583","50"
"House District 21","1184","663","34","7177","50"
"House District 22","817","618","25","4011","50"
"House District 23","1546","571","50","8556","19"
"House District 24","1255","664","55","8189","19"
"House District 25","1435","578","59","8438","22"
"House District 26","1147","485","31","7810","19"
"House District 27","1075","552","41","7226","18"
"House District 28","1088","622","47","7560","14"
"House District 29","1064","716","56","8712","22"
"House District 3","1502","529","52","9073","14"
"House District 30","991","711","57","8601","29"
"House District 31","1153","492","53","5335","51"
"House District 32","984","558","26","4314","19"
"House District 33","1294","654","31","6899","22"
"House District 34","1470","629","61","7903","29"
"House District 35","1544","589","51","7589","24"
"House District 36","1081","744","85","7751","59"
"House District 37","508","486","37","3338","75"
"House District 38","659","790","29","2301","97"
"House District 39","1025","465","34","2679","105"
"House District 4","1166","543","47","7550","29"
"House District 40","635","403","31","2239","54"
"House District 5","914","619","55","6477","32"
"House District 6","1126","628","56","10237","16"
"House District 7","1143","519","56","7933","36"
"House District 8","982","654","54","9160","18"
"House District 9","1572","486","97","9769","14"
"House District 99","58","20","0","323","0"
"Total","44845","22297","1888","270327","1421"
