"1","Oliver/Maat","Trump/Vance","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","77","281","7","196","0"
"01-610 Ketchikan No. 2","76","468","7","290","5"
"01-620 Ketchikan No. 3","34","363","6","157","1"
"01-640 North Tongass No. 1","27","293","1","92","0"
"01-650 North Tongass No. 2","50","520","1","166","3"
"01-660 Saxman","26","37","0","49","2"
"01-670 South Tongass","57","390","8","174","0"
"01-675 Coffman Cove","4","83","2","19","2"
"01-680 Metlakatla","70","167","7","208","5"
"01-690 Wrangell","53","463","4","156","1"
"02-700 Angoon","19","27","0","67","0"
"02-705 Craig","30","254","3","104","5"
"02-720 Hoonah","22","137","3","99","3"
"02-725 Hydaburg","14","19","0","65","0"
"02-730 Kake","24","72","1","81","3"
"02-735 Kasaan","4","13","0","8","0"
"02-740 Klawock","28","209","0","106","2"
"02-750 Pelican-Elfin Cove","4","26","0","10","0"
"02-755 Petersburg-Kupreanof","68","516","10","248","1"
"02-760 Port Alexander","2","6","0","3","0"
"02-765 Sitka No. 1","111","504","8","339","4"
"02-770 Sitka No. 2","116","424","4","360","1"
"02-775 Tenakee Springs","5","12","1","24","0"
"02-780 Thorne Bay","11","157","0","22","0"
"02-785 Yakutat","23","100","0","100","3"
"03-300 Auke Bay","51","209","3","221","0"
"03-305 Lynn Canal","37","194","6","194","0"
"03-310 Melvin Park","84","293","7","192","0"
"03-315 Mendenhall Glacier","127","507","5","285","0"
"03-320 Thunder Mountain","104","430","3","265","0"
"03-325 Gustavus","21","77","0","91","0"
"03-330 Haines No. 1","95","337","4","210","3"
"03-335 Haines No. 2","8","59","0","42","0"
"03-340 Klukwan","10","11","0","20","0"
"03-345 Skagway","79","136","1","196","0"
"04-100 Douglas","79","142","2","304","2"
"04-105 Juneau Airport Area","29","176","2","92","0"
"04-110 Juneau No. 1","68","132","4","228","1"
"04-115 Juneau No. 2","61","87","1","312","0"
"04-120 Juneau No. 3","29","87","2","139","1"
"04-125 Lemon Creek","71","288","3","209","0"
"04-130 Glacier Valley Area","59","203","2","119","5"
"04-135 North Douglas","64","132","3","246","0"
"05-800 Chiniak","5","31","0","18","0"
"05-810 Flats","38","378","3","141","2"
"05-815 Kodiak Island South","0","8","1","6","2"
"05-820 Kodiak No. 1","37","398","1","212","1"
"05-825 Kodiak No. 2","58","404","1","231","2"
"05-830 Mission Road","143","892","6","367","0"
"05-835 Old Harbor","3","15","0","12","0"
"05-840 Ouzinkie","9","16","0","30","2"
"05-845 Port Lions","2","52","2","11","0"
"05-860 Cordova","53","258","6","167","3"
"05-865 Seward-Lowell Point","48","244","6","183","0"
"05-870 Tatitlek","8","5","0","6","0"
"06-200 Anchor Point","73","743","2","171","2"
"06-210 Diamond Ridge","42","176","2","128","1"
"06-220 Fox River","18","190","1","48","1"
"06-230 Homer No. 1","49","296","2","207","1"
"06-240 Homer No. 2","49","302","1","196","0"
"06-250 Kachemak-Fritz Creek","75","321","4","279","1"
"06-260 Kasilof","55","819","4","210","1"
"06-270 Ninilchik","41","463","1","129","0"
"06-280 Seldovia-Kachemak Bay","12","81","3","64","1"
"07-005 Central","52","573","3","117","2"
"07-010 K Beach","71","698","9","119","4"
"07-015 Kenai No. 1","68","521","1","162","2"
"07-020 Kenai No. 2","27","328","4","87","2"
"07-025 Kenai No. 3","23","245","3","69","2"
"07-030 Soldotna","54","590","6","195","1"
"08-035 Bear Creek","50","347","2","198","0"
"08-040 Cooper Landing","11","77","1","58","0"
"08-045 Funny River No. 1","17","266","3","54","0"
"08-050 Funny River No. 2","16","217","1","39","1"
"08-055 Hope","12","22","0","35","0"
"08-060 Mackey Lake","35","414","6","84","0"
"08-065 Moose Pass","7","86","3","65","0"
"08-070 Nikiski","39","675","2","87","0"
"08-075 Salamatof","43","644","4","77","0"
"08-080 Sterling No. 1","36","568","1","101","1"
"08-085 Sterling No. 2","24","681","3","109","1"
"09-105 Girdwood","146","220","10","454","0"
"09-110 Indian","11","57","1","62","0"
"09-115 South Anchorage No. 1","126","652","16","345","1"
"09-120 South Anchorage No. 2","124","768","7","317","0"
"09-125 South Anchorage No. 3","102","593","7","331","2"
"09-130 South Anchorage No. 4","102","660","11","353","3"
"09-135 South Anchorage No. 5","52","270","2","174","2"
"09-140 Stuckagain Heights","17","73","2","66","1"
"09-145 Whittier","9","51","1","21","1"
"10-150 Dimond","97","467","3","249","8"
"10-155 Oceanview No. 1","108","599","7","328","3"
"10-160 Oceanview No. 2","75","411","10","221","1"
"10-165 Oceanview No. 3","130","540","5","281","5"
"10-170 Oceanview No. 4","87","463","5","278","1"
"10-175 Oceanview No. 5","63","396","2","213","1"
"11-205 Hillside No. 1","78","355","2","190","6"
"11-210 Hillside No. 2","137","685","7","374","8"
"11-215 Hillside No. 3","61","392","3","184","0"
"11-220 Hillside No. 4","53","446","3","182","1"
"11-225 Hillside No. 5","55","423","2","270","1"
"11-230 Hillside No. 6","102","406","8","265","0"
"11-235 Hillside No. 7","72","333","6","237","0"
"12-250 Southeast Anchorage No. 1","104","519","2","253","2"
"12-255 Southeast Anchorage No. 2","59","294","1","134","0"
"12-260 Southeast Anchorage No. 3","91","456","1","251","0"
"12-265 Southeast Anchorage No. 4","76","454","6","273","0"
"12-270 Southeast Anchorage No. 5","113","544","8","296","7"
"12-275 Southeast Anchorage No. 6","80","397","3","319","3"
"13-305 South Midtown No. 1","25","142","1","55","0"
"13-310 South Midtown No. 2","125","613","3","344","3"
"13-315 South Midtown No. 3","122","555","2","298","3"
"13-320 South Midtown No. 4","118","533","3","296","4"
"13-325 South Midtown No. 5","142","455","5","380","7"
"14-350 North Midtown No. 1","44","117","0","127","2"
"14-355 North Midtown No. 2","55","175","2","157","0"
"14-360 North Midtown No. 3","40","176","1","104","0"
"14-365 North Midtown No. 4","67","221","2","161","1"
"14-370 North Midtown No. 5","98","347","4","291","7"
"14-375 North Midtown No. 6","61","248","1","186","2"
"14-380 North Midtown No. 7","105","320","9","433","1"
"15-405 Southwest Anchorage No. 1","58","382","5","222","0"
"15-410 Southwest Anchorage No. 2","106","440","10","235","3"
"15-415 Southwest Anchorage No. 3","98","534","5","305","1"
"15-420 Southwest Anchorage No. 4","107","454","3","260","6"
"15-425 Southwest Anchorage No. 5","89","417","9","274","5"
"15-430 Southwest Anchorage No. 6","106","700","8","362","6"
"16-450 West Anchorage No. 1","79","201","7","371","2"
"16-455 West Anchorage No. 2","101","355","3","337","3"
"16-460 West Anchorage No. 3","148","482","9","412","3"
"16-465 West Anchorage No. 4","57","278","5","196","0"
"16-470 West Anchorage No. 5","102","498","6","304","0"
"16-475 West Anchorage No. 6","88","410","5","265","2"
"16-480 West Anchorage No. 7","85","332","3","198","2"
"17-505 Downtown Anchorage No. 1","43","140","3","161","0"
"17-510 Downtown Anchorage No. 2","69","144","4","277","0"
"17-515 Downtown Anchorage No. 3","39","127","4","176","1"
"17-520 Downtown Anchorage No. 4","101","244","4","285","2"
"17-525 Downtown Anchorage No. 5","83","165","1","181","3"
"17-530 Downtown Anchorage No. 6","62","123","1","123","7"
"17-535 Downtown Anchorage No. 7","65","192","1","187","2"
"18-550 Government Hill","49","189","2","179","0"
"18-555 JBER No.1","63","607","3","158","1"
"18-556 JBER No.2","23","160","0","55","0"
"18-560 North Muldoon","41","177","3","128","2"
"18-565 Ship Creek","16","35","0","35","0"
"19-605 Airport Heights No. 1","94","271","2","355","2"
"19-610 Airport Heights No. 2","69","384","2","266","2"
"19-615 Mountainview No. 1","63","181","0","156","2"
"19-620 Mountainview No. 2","39","202","1","136","2"
"19-625 South Mountainview","37","240","1","182","2"
"20-650 University No. 1","43","122","0","104","1"
"20-655 University No. 2","108","459","4","346","3"
"20-660 University No. 3","128","419","3","359","10"
"20-665 University No. 4","53","191","2","180","1"
"20-670 University No. 5","180","640","11","472","9"
"21-705 East Anchorage No. 1","66","331","4","290","3"
"21-710 East Anchorage No. 2","83","443","2","275","1"
"21-715 East Anchorage No. 3","158","613","7","330","9"
"21-720 East Anchorage No. 4","85","440","2","329","2"
"21-725 East Anchorage No. 5","155","603","4","452","3"
"22-750 Northeast Anchorage No. 1","124","433","3","265","1"
"22-755 Northeast Anchorage No. 2","118","431","0","210","7"
"22-760 Northeast Anchorage No. 3","108","446","5","328","6"
"22-765 Northeast Anchorage No. 4","65","323","4","171","11"
"23-805 Chugach Park No. 1","120","643","5","298","0"
"23-810 Eagle River No. 1","73","392","5","161","1"
"23-815 Eagle River No. 2","78","410","7","185","1"
"23-820 Hiland","64","413","2","159","0"
"23-825 Meadow Creek No. 1","84","439","3","196","1"
"23-830 Meadow Creek No. 2","44","278","1","98","2"
"24-850 Chugach Park No. 2","63","461","8","146","1"
"24-855 Chugiak","32","255","1","80","0"
"24-860 Eagle River No. 3","69","408","3","134","0"
"24-865 Eklutna","61","415","1","164","1"
"24-870 Fire Lake","65","491","3","163","3"
"24-875 Peters Creek No. 1","77","715","8","183","0"
"24-880 Peters Creek No. 2","46","368","1","111","0"
"25-305 Butte","92","894","12","209","1"
"25-310 Greater Palmer","57","374","3","107","1"
"25-315 Lazy Mountain","56","567","3","160","2"
"25-320 Palmer City No. 1","59","359","3","130","0"
"25-325 Palmer City No. 2","85","355","2","119","1"
"25-330 Springer Loop","62","551","5","133","0"
"25-335 Walby","56","509","7","97","1"
"26-350 Fairview No. 1","33","408","1","55","1"
"26-355 Fairview No. 2","34","296","1","61","2"
"26-360 Knik Goose Bay No. 1","77","956","6","136","1"
"26-365 Knik Goose Bay No. 2","41","622","3","117","0"
"26-370 Knik Goose Bay No. 3","33","403","1","73","0"
"26-375 Mat-Su Campus","51","454","5","121","2"
"26-380 Snowshoe","64","783","0","140","0"
"27-405 Foothills","44","574","4","93","1"
"27-410 Meadow Lakes No. 1","60","867","3","136","1"
"27-415 Meadow Lakes No. 2","55","728","7","106","0"
"27-420 Wasilla No. 1","58","567","6","108","3"
"27-425 Wasilla No. 2","62","737","8","135","1"
"28-450 Lakes No. 1","43","448","4","94","1"
"28-455 Lakes No. 2","35","307","4","60","0"
"28-460 Seldon No. 1","52","776","3","122","0"
"28-465 Seldon No. 2","102","685","7","154","2"
"28-470 Seward Meridian","22","299","4","78","0"
"28-475 Trunk","69","530","6","153","1"
"28-480 Wasilla Lake","39","299","1","56","0"
"29-505 Farm Loop","58","771","4","143","1"
"29-510 Fishhook","104","1034","8","251","1"
"29-515 Kings Lake","52","698","3","131","1"
"29-520 Lakes No. 3","25","272","1","55","0"
"29-525 Sheep Mountain","4","122","1","22","1"
"29-530 Sutton","37","372","2","93","0"
"29-535 Valdez No. 1","35","312","3","125","0"
"29-540 Valdez No. 2","20","140","1","63","0"
"29-545 Valdez No. 3","27","255","4","92","1"
"30-550 Anderson/Clear","6","109","0","22","0"
"30-555 Big Lake","51","973","8","156","6"
"30-560 Cantwell","8","46","1","31","0"
"30-565 Denali Park","9","12","0","51","0"
"30-570 East Schrock","6","73","0","11","0"
"30-575 Healy","28","254","1","91","0"
"30-580 Houston","28","424","0","71","2"
"30-585 Knik Goose Bay No. 4","57","889","6","163","0"
"30-590 Trapper Creek","8","82","1","28","0"
"30-595 Susitna","24","370","3","100","0"
"30-600 Talkeetna","33","107","3","117","0"
"30-605 Willow","50","759","5","180","2"
"31-446 Aurora","95","508","5","284","0"
"31-455 Fairbanks No. 1","127","459","7","344","4"
"31-480 Fairbanks No. 2","115","503","12","280","4"
"31-485 Fairbanks No. 3","128","482","3","254","7"
"32-355 Fairbanks No. 4","94","470","4","235","1"
"32-365 Fairbanks No. 5","75","330","3","179","2"
"32-375 Fort Wainwright","37","284","0","55","1"
"32-385 Badger No. 2","93","887","6","194","0"
"33-130 Badger No. 1","113","883","4","178","5"
"33-135 Chena Lakes","68","973","6","130","2"
"33-155 Moose Creek","12","114","1","21","0"
"33-165 Newby","85","990","9","165","0"
"33-175 North Pole","71","571","2","92","2"
"33-183 Plack","61","954","0","123","0"
"34-235 Eielson","30","256","0","45","1"
"34-238 Eielson Farm Road","3","48","0","7","0"
"34-240 Farmers Loop","113","430","7","361","0"
"34-260 Salcha","25","430","2","78","1"
"34-263 Steele Creek","107","690","3","247","2"
"34-265 Steese","106","632","8","277","4"
"34-270 Summit","79","546","11","241","3"
"34-280 Two Rivers","38","366","3","96","0"
"35-580 Airport","27","214","3","90","1"
"35-582 Chena","155","760","10","504","3"
"35-584 Ester","92","229","2","241","3"
"35-586 Geist","65","322","1","192","0"
"35-587 Lakeview","8","87","0","28","0"
"35-592 Shanly","59","206","2","164","1"
"35-595 University Hills","106","242","8","262","2"
"35-596 University West","166","686","11","427","1"
"36-001 Goldstream No. 1","74","318","7","249","3"
"36-002 Goldstream No. 2","113","288","10","365","2"
"36-010 Allakaket","13","1","1","23","2"
"36-014 Anvik","4","8","0","13","0"
"36-018 Arctic Village","5","4","0","43","1"
"36-022 Beaver","3","4","0","10","0"
"36-026 Bettles","1","5","0","5","0"
"36-034 Central","1","32","0","7","1"
"36-038 Chistochina","1","56","0","12","2"
"36-042 Circle","5","5","0","10","0"
