"1","Oliver/Maat","Trump/Vance","Blank","Exhausted","Overvote"
"House District 1","800","5048","60","2729","32"
"House District 10","970","4614","60","3171","29"
"House District 11","1032","5083","71","3719","23"
"House District 12","965","4301","35","3248","20"
"House District 13","942","3818","32","2813","27"
"House District 14","987","2977","38","3457","36"
"House District 15","986","4868","65","3432","30"
"House District 16","1186","4176","61","4297","26"
"House District 17","1076","2592","38","4039","48"
"House District 18","458","2848","16","1506","12"
"House District 19","614","2117","14","2289","32"
"House District 2","966","4769","57","3824","50"
"House District 20","959","3252","31","3043","42"
"House District 21","1068","4204","34","3762","40"
"House District 22","738","2786","25","1932","40"
"House District 23","1067","6376","50","3238","11"
"House District 24","893","6684","55","2538","12"
"House District 25","929","7096","59","2431","17"
"House District 26","612","7314","31","1520","15"
"House District 27","565","6918","41","1370","18"
"House District 28","707","6884","47","1684","9"
"House District 29","717","7621","56","2160","16"
"House District 3","1256","4747","52","5103","12"
"House District 30","619","7450","57","2237","26"
"House District 31","891","3672","53","2428","40"
"House District 32","593","3902","26","1366","14"
"House District 33","686","6714","31","1453","16"
"House District 34","966","6068","61","2974","23"
"House District 35","1235","4609","51","3880","22"
"House District 36","824","5846","85","2914","51"
"House District 37","461","2377","37","1506","63"
"House District 38","686","1722","29","1355","84"
"House District 39","738","1930","34","1517","89"
"House District 4","1139","2933","47","5190","26"
"House District 40","446","1823","31","1017","45"
"House District 5","752","4557","55","2708","25"
"House District 6","963","6898","56","4134","12"
"House District 7","667","6924","56","2015","25"
"House District 8","587","8082","54","2135","10"
"House District 9","1240","5860","97","4728","13"
"House District 99","66","53","0","282","0"
"Total","34052","192513","1888","111144","1181"
