"1","Sonski/Onak","Terry/Broden","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","70","42","7","442","0"
"01-610 Ketchikan No. 2","72","46","7","718","3"
"01-620 Ketchikan No. 3","21","19","6","513","2"
"01-640 North Tongass No. 1","23","20","1","369","0"
"01-650 North Tongass No. 2","43","42","1","651","3"
"01-660 Saxman","20","9","0","83","2"
"01-670 South Tongass","37","42","8","542","0"
"01-675 Coffman Cove","4","1","2","101","2"
"01-680 Metlakatla","60","25","7","358","7"
"01-690 Wrangell","45","53","4","574","1"
"02-700 Angoon","11","9","0","93","0"
"02-705 Craig","36","24","3","329","4"
"02-720 Hoonah","22","25","3","211","3"
"02-725 Hydaburg","10","5","0","83","0"
"02-730 Kake","26","17","1","134","3"
"02-735 Kasaan","4","0","0","21","0"
"02-740 Klawock","32","23","0","288","2"
"02-750 Pelican-Elfin Cove","2","4","0","34","0"
"02-755 Petersburg-Kupreanof","76","53","10","703","1"
"02-760 Port Alexander","2","0","0","8","1"
"02-765 Sitka No. 1","91","78","8","784","5"
"02-770 Sitka No. 2","92","73","4","734","2"
"02-775 Tenakee Springs","0","3","1","38","0"
"02-780 Thorne Bay","8","5","0","177","0"
"02-785 Yakutat","18","11","0","194","3"
"03-300 Auke Bay","33","20","3","428","0"
"03-305 Lynn Canal","27","22","6","376","0"
"03-310 Melvin Park","63","53","7","453","0"
"03-315 Mendenhall Glacier","96","78","5","745","0"
"03-320 Thunder Mountain","73","77","3","649","0"
"03-325 Gustavus","16","12","0","161","0"
"03-330 Haines No. 1","49","50","4","543","3"
"03-335 Haines No. 2","3","4","0","102","0"
"03-340 Klukwan","8","5","0","28","0"
"03-345 Skagway","52","29","1","330","0"
"04-100 Douglas","49","43","2","432","3"
"04-105 Juneau Airport Area","26","27","2","244","0"
"04-110 Juneau No. 1","37","45","4","347","0"
"04-115 Juneau No. 2","28","32","1","400","0"
"04-120 Juneau No. 3","18","15","2","222","1"
"04-125 Lemon Creek","71","70","3","427","0"
"04-130 Glacier Valley Area","40","46","2","295","5"
"04-135 North Douglas","26","33","3","383","0"
"05-800 Chiniak","3","5","0","46","0"
