"1","Sonski/Onak","Terry/Broden","Blank","Exhausted","Overvote"
"House District 1","659","481","60","7435","34"
"House District 10","741","601","60","7407","35"
"House District 11","699","646","71","8483","29"
"House District 12","701","731","35","7078","24"
"House District 13","582","818","32","6165","35"
"House District 14","594","746","38","6073","44"
"House District 15","810","635","65","7836","35"
"House District 16","840","757","61","8051","37"
"House District 17","742","505","38","6453","55"
"House District 18","431","415","16","3967","11"
"House District 19","454","411","14","4147","40"
"House District 2","825","614","57","8119","51"
"House District 20","677","699","31","5873","47"
"House District 21","640","884","34","7498","52"
"House District 22","497","747","25","4202","50"
"House District 23","841","822","50","9009","20"
"House District 24","695","830","55","8584","18"
"House District 25","838","763","59","8850","22"
"House District 26","663","655","31","8124","19"
"House District 27","656","679","41","7518","18"
"House District 28","584","788","47","7896","16"
"House District 29","525","934","56","9035","20"
"House District 3","879","669","52","9557","13"
"House District 30","484","925","57","8890","33"
"House District 31","827","579","53","5572","53"
"House District 32","572","732","26","4551","20"
"House District 33","780","859","31","7207","23"
"House District 34","827","846","61","8325","33"
"House District 35","913","762","51","8045","26"
"House District 36","619","886","85","8069","61"
"House District 37","339","552","37","3439","77"
"House District 38","498","883","29","2364","102"
"House District 39","887","522","34","2751","114"
"House District 4","709","644","47","7908","27"
"House District 40","545","444","31","2288","54"
"House District 5","458","781","55","6771","32"
"House District 6","560","782","56","10647","18"
"House District 7","702","678","56","8213","38"
"House District 8","560","803","54","9432","19"
"House District 9","910","677","97","10241","13"
"House District 99","34","33","0","334","0"
"Total","26797","28218","1888","282407","1468"
