"1","Sonski/Onak","Trump/Vance","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","63","284","7","207","0"
"01-610 Ketchikan No. 2","54","477","7","304","4"
"01-620 Ketchikan No. 3","26","364","6","164","1"
"01-640 North Tongass No. 1","22","294","1","96","0"
"01-650 North Tongass No. 2","32","524","1","180","3"
"01-660 Saxman","20","39","0","53","2"
"01-670 South Tongass","30","399","8","192","0"
"01-675 Coffman Cove","2","83","2","21","2"
"01-680 Metlakatla","54","168","7","223","5"
"01-690 Wrangell","41","465","4","166","1"
"02-700 Angoon","17","27","0","69","0"
"02-705 Craig","28","254","3","107","4"
"02-720 Hoonah","21","136","3","101","3"
"02-725 Hydaburg","12","18","0","68","0"
"02-730 Kake","23","72","1","82","3"
"02-735 Kasaan","3","13","0","9","0"
"02-740 Klawock","22","209","0","112","2"
"02-750 Pelican-Elfin Cove","2","26","0","12","0"
"02-755 Petersburg-Kupreanof","48","519","10","265","1"
"02-760 Port Alexander","2","6","0","3","0"
"02-765 Sitka No. 1","83","506","8","365","4"
"02-770 Sitka No. 2","86","432","4","382","1"
"02-775 Tenakee Springs","2","12","1","27","0"
"02-780 Thorne Bay","3","159","0","28","0"
"02-785 Yakutat","14","102","0","107","3"
"03-300 Auke Bay","33","212","3","236","0"
"03-305 Lynn Canal","27","196","6","202","0"
"03-310 Melvin Park","60","296","7","213","0"
"03-315 Mendenhall Glacier","89","512","5","318","0"
"03-320 Thunder Mountain","77","434","3","288","0"
"03-325 Gustavus","14","79","0","96","0"
"03-330 Haines No. 1","51","340","4","251","3"
"03-335 Haines No. 2","5","59","0","45","0"
"03-340 Klukwan","9","10","0","22","0"
"03-345 Skagway","52","138","1","221","0"
"04-100 Douglas","59","143","2","323","2"
"04-105 Juneau Airport Area","23","179","2","95","0"
"04-110 Juneau No. 1","51","136","4","242","0"
"04-115 Juneau No. 2","41","91","1","328","0"
"04-120 Juneau No. 3","18","88","2","149","1"
"04-125 Lemon Creek","62","290","3","216","0"
"04-130 Glacier Valley Area","47","205","2","129","5"
"04-135 North Douglas","39","136","3","267","0"
"05-800 Chiniak","3","31","0","20","0"
"05-810 Flats","22","381","3","154","2"
"05-815 Kodiak Island South","0","8","1","6","2"
"05-820 Kodiak No. 1","25","401","1","221","1"
"05-825 Kodiak No. 2","42","408","1","243","2"
"05-830 Mission Road","100","901","6","401","0"
"05-835 Old Harbor","3","15","0","12","0"
"05-840 Ouzinkie","5","17","0","33","2"
"05-845 Port Lions","2","51","2","12","0"
"05-860 Cordova","39","260","6","179","3"
"05-865 Seward-Lowell Point","34","247","6","194","0"
"05-870 Tatitlek","6","7","0","6","0"
"06-200 Anchor Point","52","746","2","189","2"
"06-210 Diamond Ridge","25","177","2","144","1"
"06-220 Fox River","10","191","1","55","1"
"06-230 Homer No. 1","26","299","2","227","1"
"06-240 Homer No. 2","25","308","1","214","0"
"06-250 Kachemak-Fritz Creek","40","325","4","310","1"
"06-260 Kasilof","39","823","4","222","1"
"06-270 Ninilchik","25","470","1","138","0"
"06-280 Seldovia-Kachemak Bay","7","82","3","68","1"
"07-005 Central","34","574","3","134","2"
"07-010 K Beach","48","701","9","139","4"
"07-015 Kenai No. 1","49","528","1","174","2"
"07-020 Kenai No. 2","19","330","4","93","2"
"07-025 Kenai No. 3","17","248","3","72","2"
"07-030 Soldotna","39","590","6","210","1"
"08-035 Bear Creek","39","347","2","209","0"
"08-040 Cooper Landing","8","77","1","61","0"
"08-045 Funny River No. 1","13","266","3","58","0"
"08-050 Funny River No. 2","8","222","1","42","1"
"08-055 Hope","8","22","0","39","0"
"08-060 Mackey Lake","22","416","6","95","0"
"08-065 Moose Pass","4","86","3","68","0"
"08-070 Nikiski","25","680","2","95","1"
"08-075 Salamatof","32","647","4","85","0"
"08-080 Sterling No. 1","25","571","1","109","1"
"08-085 Sterling No. 2","19","682","3","113","1"
"09-105 Girdwood","95","228","10","497","0"
"09-110 Indian","3","58","1","69","0"
"09-115 South Anchorage No. 1","92","664","16","368","0"
"09-120 South Anchorage No. 2","87","777","7","345","0"
"09-125 South Anchorage No. 3","60","599","7","367","2"
"09-130 South Anchorage No. 4","76","667","11","372","3"
"09-135 South Anchorage No. 5","31","274","2","192","1"
"09-140 Stuckagain Heights","9","74","2","73","1"
"09-145 Whittier","8","51","1","22","1"
"10-150 Dimond","82","468","3","262","9"
"10-155 Oceanview No. 1","85","601","7","349","3"
"10-160 Oceanview No. 2","47","417","10","243","1"
"10-165 Oceanview No. 3","110","544","5","297","5"
"10-170 Oceanview No. 4","60","470","5","297","2"
"10-175 Oceanview No. 5","42","402","2","228","1"
"11-205 Hillside No. 1","63","359","2","201","6"
"11-210 Hillside No. 2","106","693","7","397","8"
"11-215 Hillside No. 3","47","394","3","196","0"
"11-220 Hillside No. 4","38","445","3","199","0"
"11-225 Hillside No. 5","29","428","2","292","0"
"11-230 Hillside No. 6","66","410","8","297","0"
"11-235 Hillside No. 7","46","339","6","257","0"
"12-250 Southeast Anchorage No. 1","76","522","2","277","3"
"12-255 Southeast Anchorage No. 2","44","297","1","146","0"
"12-260 Southeast Anchorage No. 3","72","462","1","264","0"
"12-265 Southeast Anchorage No. 4","56","457","6","290","0"
"12-270 Southeast Anchorage No. 5","87","543","8","323","7"
"12-275 Southeast Anchorage No. 6","56","398","3","342","3"
"13-305 South Midtown No. 1","21","142","1","59","0"
"13-310 South Midtown No. 2","95","618","3","367","5"
"13-315 South Midtown No. 3","95","562","2","317","4"
"13-320 South Midtown No. 4","88","539","3","319","5"
"13-325 South Midtown No. 5","114","458","5","405","7"
"14-350 North Midtown No. 1","31","120","0","137","2"
"14-355 North Midtown No. 2","41","178","2","168","0"
"14-360 North Midtown No. 3","34","176","1","110","0"
"14-365 North Midtown No. 4","53","222","2","174","1"
"14-370 North Midtown No. 5","75","350","4","310","8"
"14-375 North Midtown No. 6","44","254","1","197","2"
"14-380 North Midtown No. 7","71","322","9","465","1"
"15-405 Southwest Anchorage No. 1","39","385","5","238","0"
"15-410 Southwest Anchorage No. 2","77","442","10","262","3"
"15-415 Southwest Anchorage No. 3","66","542","5","329","1"
"15-420 Southwest Anchorage No. 4","80","461","3","280","6"
"15-425 Southwest Anchorage No. 5","65","418","9","298","4"
"15-430 Southwest Anchorage No. 6","78","707","8","384","5"
"16-450 West Anchorage No. 1","56","205","7","389","3"
"16-455 West Anchorage No. 2","70","366","3","358","2"
"16-460 West Anchorage No. 3","102","487","9","453","3"
"16-465 West Anchorage No. 4","46","281","5","204","0"
"16-470 West Anchorage No. 5","74","502","6","328","0"
"16-475 West Anchorage No. 6","65","411","5","287","2"
"16-480 West Anchorage No. 7","48","344","3","223","2"
"17-505 Downtown Anchorage No. 1","25","140","3","179","0"
"17-510 Downtown Anchorage No. 2","51","146","4","293","0"
"17-515 Downtown Anchorage No. 3","29","132","4","181","1"
"17-520 Downtown Anchorage No. 4","76","244","4","310","2"
"17-525 Downtown Anchorage No. 5","59","171","1","199","3"
"17-530 Downtown Anchorage No. 6","48","127","1","131","9"
"17-535 Downtown Anchorage No. 7","52","193","1","199","2"
"18-550 Government Hill","33","191","2","193","0"
"18-555 JBER No.1","42","615","3","171","1"
"18-556 JBER No.2","15","163","0","60","0"
"18-560 North Muldoon","32","183","3","131","2"
"18-565 Ship Creek","14","35","0","37","0"
"19-605 Airport Heights No. 1","74","275","2","371","2"
"19-610 Airport Heights No. 2","46","390","2","283","2"
"19-615 Mountainview No. 1","49","182","0","169","2"
"19-620 Mountainview No. 2","33","203","1","141","2"
"19-625 South Mountainview","26","242","1","192","1"
"20-650 University No. 1","43","124","0","102","1"
"20-655 University No. 2","80","462","4","372","2"
"20-660 University No. 3","102","420","3","384","10"
"20-665 University No. 4","39","194","2","192","0"
"20-670 University No. 5","137","647","11","509","8"
"21-705 East Anchorage No. 1","45","336","4","305","4"
"21-710 East Anchorage No. 2","69","446","2","286","1"
"21-715 East Anchorage No. 3","121","623","7","356","10"
"21-720 East Anchorage No. 4","55","443","2","356","2"
"21-725 East Anchorage No. 5","106","609","4","493","5"
"22-750 Northeast Anchorage No. 1","93","439","3","290","1"
"22-755 Northeast Anchorage No. 2","95","437","0","227","7"
"22-760 Northeast Anchorage No. 3","74","458","5","351","5"
"22-765 Northeast Anchorage No. 4","56","327","4","176","11"
"23-805 Chugach Park No. 1","79","652","5","330","0"
"23-810 Eagle River No. 1","53","396","5","177","1"
"23-815 Eagle River No. 2","51","414","7","208","1"
"23-820 Hiland","41","417","2","178","0"
"23-825 Meadow Creek No. 1","57","445","3","217","1"
"23-830 Meadow Creek No. 2","25","284","1","111","2"
"24-850 Chugach Park No. 2","34","466","8","169","2"
"24-855 Chugiak","20","260","1","87","0"
"24-860 Eagle River No. 3","48","415","3","148","0"
"24-865 Eklutna","42","422","1","176","1"
"24-870 Fire Lake","47","491","3","181","3"
"24-875 Peters Creek No. 1","50","726","8","199","0"
"24-880 Peters Creek No. 2","36","369","1","120","0"
"25-305 Butte","64","898","12","233","1"
"25-310 Greater Palmer","40","376","3","122","1"
"25-315 Lazy Mountain","38","571","3","174","2"
"25-320 Palmer City No. 1","47","361","3","140","0"
"25-325 Palmer City No. 2","53","360","2","146","1"
"25-330 Springer Loop","36","558","5","152","0"
"25-335 Walby","32","518","7","112","1"
"26-350 Fairview No. 1","21","410","1","65","1"
"26-355 Fairview No. 2","21","299","1","71","2"
"26-360 Knik Goose Bay No. 1","51","957","6","161","1"
"26-365 Knik Goose Bay No. 2","27","626","3","127","0"
"26-370 Knik Goose Bay No. 3","19","405","1","85","0"
"26-375 Mat-Su Campus","37","456","5","133","2"
"26-380 Snowshoe","37","789","0","161","0"
"27-405 Foothills","35","576","4","100","1"
"27-410 Meadow Lakes No. 1","45","868","3","150","1"
"27-415 Meadow Lakes No. 2","34","733","7","122","0"
"27-420 Wasilla No. 1","36","574","6","123","3"
"27-425 Wasilla No. 2","44","740","8","150","1"
"28-450 Lakes No. 1","28","452","4","106","0"
"28-455 Lakes No. 2","23","310","4","69","0"
"28-460 Seldon No. 1","29","778","3","143","0"
"28-465 Seldon No. 2","65","697","7","178","3"
"28-470 Seward Meridian","19","301","4","79","0"
"28-475 Trunk","49","532","6","171","1"
"28-480 Wasilla Lake","26","304","1","64","0"
"29-505 Farm Loop","40","777","4","155","1"
"29-510 Fishhook","74","1041","8","274","1"
"29-515 Kings Lake","41","703","3","137","1"
"29-520 Lakes No. 3","17","274","1","61","0"
"29-525 Sheep Mountain","2","123","1","23","1"
"29-530 Sutton","25","373","2","104","0"
"29-535 Valdez No. 1","20","313","3","139","0"
"29-540 Valdez No. 2","14","141","1","68","0"
"29-545 Valdez No. 3","17","256","4","101","1"
"30-550 Anderson/Clear","4","109","0","24","0"
"30-555 Big Lake","42","976","8","163","5"
"30-560 Cantwell","6","46","1","33","0"
"30-565 Denali Park","5","12","0","55","0"
"30-570 East Schrock","4","73","0","13","0"
"30-575 Healy","14","259","1","100","0"
"30-580 Houston","21","425","0","76","3"
"30-585 Knik Goose Bay No. 4","38","892","6","179","0"
"30-590 Trapper Creek","4","83","1","31","0"
"30-595 Susitna","18","371","3","105","0"
"30-600 Talkeetna","19","108","3","130","0"
"30-605 Willow","34","762","5","193","2"
"31-446 Aurora","69","512","5","306","0"
"31-455 Fairbanks No. 1","91","464","7","374","5"
"31-480 Fairbanks No. 2","97","507","12","294","4"
"31-485 Fairbanks No. 3","101","488","3","276","6"
"32-355 Fairbanks No. 4","77","476","4","246","1"
"32-365 Fairbanks No. 5","51","336","3","197","2"
"32-375 Fort Wainwright","33","287","0","56","1"
"32-385 Badger No. 2","56","899","6","219","0"
"33-130 Badger No. 1","70","888","4","216","5"
"33-135 Chena Lakes","45","980","6","146","2"
"33-155 Moose Creek","8","115","1","24","0"
"33-165 Newby","71","995","9","174","0"
"33-175 North Pole","53","576","2","105","2"
"33-183 Plack","40","960","0","138","0"
"34-235 Eielson","21","260","0","50","1"
"34-238 Eielson Farm Road","3","48","0","7","0"
"34-240 Farmers Loop","74","435","7","395","0"
"34-260 Salcha","19","433","2","81","1"
"34-263 Steele Creek","77","700","3","267","2"
"34-265 Steese","63","646","8","306","4"
"34-270 Summit","62","549","11","255","3"
"34-280 Two Rivers","25","368","3","107","0"
"35-580 Airport","23","216","3","92","1"
"35-582 Chena","111","771","10","536","4"
"35-584 Ester","61","234","2","267","3"
"35-586 Geist","55","319","1","205","0"
"35-587 Lakeview","6","88","0","29","0"
"35-592 Shanly","42","208","2","179","1"
"35-595 University Hills","76","244","8","290","2"
"35-596 University West","126","694","11","458","2"
"36-001 Goldstream No. 1","53","322","7","267","2"
"36-002 Goldstream No. 2","74","290","10","402","2"
"36-010 Allakaket","12","2","1","23","2"
"36-014 Anvik","3","9","0","13","0"
"36-018 Arctic Village","3","5","0","44","1"
"36-022 Beaver","1","4","0","12","0"
"36-026 Bettles","1","5","0","5","0"
"36-034 Central","0","32","0","8","1"
"36-038 Chistochina","0","56","0","13","2"
"36-042 Circle","4","5","0","11","0"
"36-046 Copper Center","25","256","2","70","1"
"36-050 Delta Junction","12","311","2","31","2"
"36-054 Deltana","24","1054","5","115","0"
"36-058 Dot Lake","0","45","0","4","0"
"36-062 Eagle","1","48","1","19","0"
"36-066 Fort Yukon","5","33","2","97","3"
"36-070 Gakona","2","84","4","20","0"
"36-074 Galena","14","69","0","62","1"
"36-078 Glennallen","7","142","1","29","0"
"36-082 Grayling","13","23","2","15","2"
"36-086 Holy Cross","10","11","1","19","0"
"36-090 Hughes","2","9","0","19","0"
"36-094 Huslia","12","22","4","56","1"
"36-098 Kaltag","7","15","1","15","2"
"36-102 Kenny Lake","7","137","0","41","0"
"36-106 Koyukuk","8","3","1","16","1"
"36-110 Manley","1","37","0","9","0"
"36-114 McGrath","2","66","3","22","1"
"36-118 Mentasta","6","14","0","19","0"
"36-122 Minto","8","25","0","17","1"
"36-126 Nenana","25","203","3","81","2"
"36-130 Nikolai","3","9","0","14","1"
"36-134 Northway","7","48","0","13","3"
"36-138 Nulato","7","12","0","57","1"
"36-142 Ruby","0","14","0","16","0"
"36-146 Shageluk","8","7","0","7","1"
"36-162 Tanana","6","18","0","55","0"
"36-166 Tetlin","0","17","0","13","0"
"36-170 Tok","25","419","9","67","2"
"36-174 Venetie","3","13","1","28","0"
"37-700 Akutan","3","24","0","21","1"
"37-702 Aleknagik","8","46","1","12","2"
"37-704 Aleutians No. 1","1","8","1","9","0"
"37-706 Aleutians No. 2","20","305","1","205","3"
"37-707 Aniak","10","50","1","44","2"
"37-708 Chignik","3","5","1","7","0"
"37-709 Chuathbaluk","3","11","0","4","1"
"37-710 Clark's Point","4","8","0","7","0"
"37-712 Cold Bay","0","13","1","6","0"
"37-713 Crooked Creek","1","5","0","13","0"
"37-714 Dillingham","38","282","6","223","1"
"37-716 Egegik","0","10","0","1","0"
"37-718 Ekwok","1","24","0","9","0"
"37-719 Goodnews Bay","18","22","1","15","2"
"37-720 King Cove","5","82","1","19","4"
"37-722 King Salmon","8","82","2","36","0"
"37-724 Koliganek","6","42","0","24","0"
"37-726 Lake Iliamna No. 1","4","75","0","23","1"
"37-728 Lake Iliamna No. 2","10","39","1","26","2"
"37-730 Levelock","3","7","0","13","1"
"37-731 Lower Kalskag","13","34","1","13","0"
"37-732 Manokotak","6","78","0","18","2"
"37-734 Naknek","7","93","1","40","1"
"37-736 New Stuyahok","0","8","1","44","0"
"37-738 Nondalton","9","14","0","12","9"
"37-740 Pedro Bay","1","9","0","4","0"
"37-742 Port Heiden","3","12","0","9","0"
"37-744 Sand Point","4","83","2","34","0"
"37-746 Sleetmute","9","9","0","6","0"
"37-748 South Naknek","1","5","2","9","1"
"37-750 St. George Island","0","3","1","3","0"
"37-752 St. Paul Island","10","29","2","66","0"
"37-754 Togiak","22","88","3","22","14"
"37-756 Tyonek","3","9","0","25","0"
"37-758 Upper Kalskag","9","23","0","21","4"
