"1","Sonski/Onak","Trump/Vance","Blank","Exhausted","Overvote"
"House District 1","569","5094","60","2915","31"
"House District 10","706","4663","60","3383","32"
"House District 11","717","5144","71","3973","23"
"House District 12","710","4330","35","3472","22"
"House District 13","708","3851","32","3009","32"
"House District 14","732","3015","38","3673","37"
"House District 15","717","4908","65","3663","28"
"House District 16","840","4237","61","4578","30"
"House District 17","769","2625","38","4310","51"
"House District 18","336","2878","16","1598","12"
"House District 19","462","2138","14","2421","31"
"House District 2","728","4803","57","4029","49"
"House District 20","741","3277","31","3241","37"
"House District 21","773","4243","34","4013","45"
"House District 22","567","2829","25","2060","40"
"House District 23","706","6447","50","3527","12"
"House District 24","600","6744","55","2770","13"
"House District 25","628","7151","59","2677","17"
"House District 26","416","7348","31","1682","15"
"House District 27","407","6950","41","1498","16"
"House District 28","468","6931","47","1876","9"
"House District 29","491","7674","56","2334","15"
"House District 3","892","4785","52","5431","10"
"House District 30","423","7487","57","2395","27"
"House District 31","706","3701","53","2582","42"
"House District 32","429","3952","26","1480","14"
"House District 33","488","6761","31","1603","17"
"House District 34","659","6129","61","3219","24"
"House District 35","902","4653","51","4168","23"
"House District 36","621","5878","85","3088","48"
"House District 37","368","2397","37","1579","63"
"House District 38","623","1735","29","1399","90"
"House District 39","667","1943","34","1572","92"
"House District 4","838","2976","47","5448","26"
"House District 40","396","1839","31","1053","43"
"House District 5","524","4602","55","2891","25"
"House District 6","609","6955","56","4430","13"
"House District 7","480","6960","56","2166","25"
"House District 8","421","8109","54","2272","12"
"House District 9","863","5933","97","5034","11"
"House District 99","56","55","0","290","0"
"Total","24756","194130","1888","118802","1202"
