"1","Stein/Ware","Terry/Broden","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","95","37","7","422","0"
"01-610 Ketchikan No. 2","101","38","7","696","4"
"01-620 Ketchikan No. 3","37","18","6","498","2"
"01-640 North Tongass No. 1","40","13","1","358","1"
"01-650 North Tongass No. 2","81","37","1","618","3"
"01-660 Saxman","24","8","0","80","2"
"01-670 South Tongass","59","40","8","522","0"
"01-675 Coffman Cove","7","0","2","99","2"
"01-680 Metlakatla","77","25","7","342","6"
"01-690 Wrangell","76","43","4","553","1"
"02-700 Angoon","12","8","0","93","0"
"02-705 Craig","43","22","3","323","5"
"02-720 Hoonah","30","21","3","207","3"
"02-725 Hydaburg","14","5","0","79","0"
"02-730 Kake","33","11","1","132","4"
"02-735 Kasaan","4","1","0","20","0"
"02-740 Klawock","36","23","0","284","2"
"02-750 Pelican-Elfin Cove","7","1","0","32","0"
"02-755 Petersburg-Kupreanof","109","51","10","672","1"
"02-760 Port Alexander","3","0","0","7","1"
"02-765 Sitka No. 1","135","67","8","750","6"
"02-770 Sitka No. 2","169","59","4","670","3"
"02-775 Tenakee Springs","9","1","1","31","0"
"02-780 Thorne Bay","19","4","0","167","0"
"02-785 Yakutat","22","12","0","189","3"
"03-300 Auke Bay","68","20","3","393","0"
"03-305 Lynn Canal","61","19","6","345","0"
"03-310 Melvin Park","99","50","7","420","0"
"03-315 Mendenhall Glacier","148","69","5","702","0"
"03-320 Thunder Mountain","115","67","3","617","0"
"03-325 Gustavus","35","14","0","140","0"
"03-330 Haines No. 1","99","41","4","502","3"
"03-335 Haines No. 2","13","4","0","92","0"
"03-340 Klukwan","12","5","0","24","0"
"03-345 Skagway","80","24","1","307","0"
"04-100 Douglas","103","38","2","385","1"
"04-105 Juneau Airport Area","39","25","2","233","0"
"04-110 Juneau No. 1","80","34","4","314","1"
"04-115 Juneau No. 2","90","31","1","339","0"
"04-120 Juneau No. 3","45","13","2","197","1"
"04-125 Lemon Creek","92","68","3","408","0"
"04-130 Glacier Valley Area","64","41","2","275","6"
"04-135 North Douglas","78","26","3","338","0"
"05-800 Chiniak","6","6","0","42","0"
"05-810 Flats","49","42","3","466","2"
"05-815 Kodiak Island South","0","0","1","14","2"
"05-820 Kodiak No. 1","84","37","1","525","2"
"05-825 Kodiak No. 2","69","51","1","573","2"
"05-830 Mission Road","177","133","6","1092","0"
"05-835 Old Harbor","5","1","0","24","0"
"05-840 Ouzinkie","9","4","0","42","2"
"05-845 Port Lions","4","2","2","59","0"
"05-860 Cordova","88","25","6","364","4"
"05-865 Seward-Lowell Point","86","27","6","362","0"
"05-870 Tatitlek","3","8","0","7","1"
"06-200 Anchor Point","80","73","2","833","3"
"06-210 Diamond Ridge","60","24","2","262","1"
"06-220 Fox River","24","9","1","223","1"
"06-230 Homer No. 1","81","37","2","433","2"
"06-240 Homer No. 2","56","24","1","466","1"
"06-250 Kachemak-Fritz Creek","119","39","4","517","1"
"06-260 Kasilof","72","77","4","935","1"
"06-270 Ninilchik","43","47","1","541","2"
"06-280 Seldovia-Kachemak Bay","20","10","3","127","1"
"07-005 Central","68","59","3","615","2"
"07-010 K Beach","98","63","9","726","5"
"07-015 Kenai No. 1","90","65","1","592","6"
"07-020 Kenai No. 2","52","36","4","354","2"
"07-025 Kenai No. 3","32","24","3","281","2"
"07-030 Soldotna","85","63","6","688","4"
"08-035 Bear Creek","81","49","2","465","0"
"08-040 Cooper Landing","19","6","1","121","0"
"08-045 Funny River No. 1","17","21","3","298","1"
"08-050 Funny River No. 2","17","17","1","238","1"
"08-055 Hope","16","4","0","49","0"
"08-060 Mackey Lake","42","43","6","448","0"
"08-065 Moose Pass","13","6","3","139","0"
"08-070 Nikiski","48","87","2","666","0"
"08-075 Salamatof","74","57","4","631","2"
"08-080 Sterling No. 1","41","71","1","593","1"
"08-085 Sterling No. 2","48","42","3","724","1"
"09-105 Girdwood","193","40","10","586","1"
"09-110 Indian","17","3","1","110","0"
"09-115 South Anchorage No. 1","152","68","16","904","0"
"09-120 South Anchorage No. 2","135","71","7","1003","0"
"09-125 South Anchorage No. 3","103","63","7","860","2"
"09-130 South Anchorage No. 4","123","49","11","944","2"
"09-135 South Anchorage No. 5","69","27","2","401","1"
"09-140 Stuckagain Heights","27","3","2","126","1"
"09-145 Whittier","10","5","1","66","1"
"10-150 Dimond","133","70","3","606","12"
"10-155 Oceanview No. 1","134","71","7","830","3"
"10-160 Oceanview No. 2","73","33","10","599","3"
"10-165 Oceanview No. 3","154","67","5","730","5"
"10-170 Oceanview No. 4","119","48","5","660","2"
"10-175 Oceanview No. 5","95","38","2","538","2"
"11-205 Hillside No. 1","88","64","2","470","7"
"11-210 Hillside No. 2","154","97","7","945","8"
"11-215 Hillside No. 3","56","46","3","535","0"
"11-220 Hillside No. 4","72","39","3","570","1"
"11-225 Hillside No. 5","44","21","2","684","0"
"11-230 Hillside No. 6","109","56","8","608","0"
"11-235 Hillside No. 7","74","38","6","530","0"
"12-250 Southeast Anchorage No. 1","124","87","2","665","2"
"12-255 Southeast Anchorage No. 2","72","42","1","373","0"
"12-260 Southeast Anchorage No. 3","111","77","1","609","1"
"12-265 Southeast Anchorage No. 4","95","62","6","646","0"
"12-270 Southeast Anchorage No. 5","145","95","8","714","6"
"12-275 Southeast Anchorage No. 6","80","57","3","658","4"
"13-305 South Midtown No. 1","33","25","1","164","0"
"13-310 South Midtown No. 2","139","80","3","861","5"
"13-315 South Midtown No. 3","139","93","2","740","6"
"13-320 South Midtown No. 4","153","93","3","701","4"
"13-325 South Midtown No. 5","194","104","5","679","7"
"14-350 North Midtown No. 1","59","27","0","202","2"
"14-355 North Midtown No. 2","72","40","2","275","0"
"14-360 North Midtown No. 3","40","39","1","241","0"
"14-365 North Midtown No. 4","65","64","2","319","2"
"14-370 North Midtown No. 5","104","76","4","553","10"
"14-375 North Midtown No. 6","63","55","1","375","4"
"14-380 North Midtown No. 7","127","61","9","670","1"
"15-405 Southwest Anchorage No. 1","75","36","5","551","0"
"15-410 Southwest Anchorage No. 2","140","44","10","595","5"
"15-415 Southwest Anchorage No. 3","157","61","5","718","2"
"15-420 Southwest Anchorage No. 4","143","60","3","616","8"
"15-425 Southwest Anchorage No. 5","116","52","9","611","6"
"15-430 Southwest Anchorage No. 6","142","71","8","954","7"
"16-450 West Anchorage No. 1","107","33","7","511","2"
"16-455 West Anchorage No. 2","146","56","3","590","4"
"16-460 West Anchorage No. 3","176","79","9","784","6"
"16-465 West Anchorage No. 4","91","50","5","389","1"
"16-470 West Anchorage No. 5","125","68","6","711","0"
"16-475 West Anchorage No. 6","109","46","5","608","2"
"16-480 West Anchorage No. 7","95","74","3","446","2"
"17-505 Downtown Anchorage No. 1","51","11","3","282","0"
"17-510 Downtown Anchorage No. 2","97","20","4","373","0"
"17-515 Downtown Anchorage No. 3","49","11","4","281","2"
"17-520 Downtown Anchorage No. 4","142","43","4","444","3"
"17-525 Downtown Anchorage No. 5","94","33","1","303","2"
"17-530 Downtown Anchorage No. 6","71","23","1","214","7"
"17-535 Downtown Anchorage No. 7","98","34","1","311","3"
"18-550 Government Hill","55","28","2","334","0"
"18-555 JBER No.1","84","61","3","683","1"
"18-556 JBER No.2","34","26","0","178","0"
"18-560 North Muldoon","42","32","3","272","2"
"18-565 Ship Creek","16","7","0","63","0"
"19-605 Airport Heights No. 1","141","35","2","544","2"
"19-610 Airport Heights No. 2","81","34","2","604","2"
"19-615 Mountainview No. 1","78","48","0","273","3"
"19-620 Mountainview No. 2","55","43","1","279","2"
"19-625 South Mountainview","56","34","1","370","1"
"20-650 University No. 1","55","35","0","176","4"
"20-655 University No. 2","124","72","4","718","2"
"20-660 University No. 3","160","74","3","671","11"
"20-665 University No. 4","75","36","2","312","2"
"20-670 University No. 5","190","129","11","970","12"
"21-705 East Anchorage No. 1","90","49","4","548","3"
"21-710 East Anchorage No. 2","108","69","2","622","3"
"21-715 East Anchorage No. 3","161","114","7","827","8"
"21-720 East Anchorage No. 4","110","71","2","671","4"
"21-725 East Anchorage No. 5","182","114","4","910","7"
"22-750 Northeast Anchorage No. 1","127","121","3","574","1"
"22-755 Northeast Anchorage No. 2","118","110","0","529","9"
"22-760 Northeast Anchorage No. 3","117","96","5","669","6"
"22-765 Northeast Anchorage No. 4","79","85","4","392","14"
"23-805 Chugach Park No. 1","140","82","5","839","0"
"23-810 Eagle River No. 1","82","52","5","492","1"
"23-815 Eagle River No. 2","105","49","7","517","3"
"23-820 Hiland","76","49","2","510","1"
"23-825 Meadow Creek No. 1","106","61","3","551","2"
"23-830 Meadow Creek No. 2","57","25","1","337","3"
"24-850 Chugach Park No. 2","68","48","8","552","3"
"24-855 Chugiak","45","30","1","292","0"
"24-860 Eagle River No. 3","74","57","3","480","0"
"24-865 Eklutna","77","47","1","515","2"
"24-870 Fire Lake","79","72","3","567","4"
"24-875 Peters Creek No. 1","95","75","8","802","3"
"24-880 Peters Creek No. 2","51","54","1","420","0"
"25-305 Butte","146","79","12","969","2"
"25-310 Greater Palmer","69","40","3","429","1"
"25-315 Lazy Mountain","89","54","3","640","2"
"25-320 Palmer City No. 1","64","39","3","444","1"
"25-325 Palmer City No. 2","99","42","2","418","1"
"25-330 Springer Loop","73","70","5","603","0"
"25-335 Walby","82","67","7","511","3"
"26-350 Fairview No. 1","55","37","1","404","1"
"26-355 Fairview No. 2","47","33","1","311","2"
"26-360 Knik Goose Bay No. 1","115","69","6","985","1"
"26-365 Knik Goose Bay No. 2","68","56","3","656","0"
"26-370 Knik Goose Bay No. 3","55","38","1","415","1"
"26-375 Mat-Su Campus","70","46","5","509","3"
"26-380 Snowshoe","92","71","0","823","1"
"27-405 Foothills","73","56","4","582","1"
"27-410 Meadow Lakes No. 1","105","78","3","880","1"
"27-415 Meadow Lakes No. 2","72","98","7","718","1"
"27-420 Wasilla No. 1","75","74","6","582","5"
"27-425 Wasilla No. 2","90","67","8","777","1"
"28-450 Lakes No. 1","64","58","4","463","1"
"28-455 Lakes No. 2","34","28","4","340","0"
"28-460 Seldon No. 1","53","54","3","842","1"
"28-465 Seldon No. 2","105","93","7","743","2"
"28-470 Seward Meridian","33","34","4","332","0"
"28-475 Trunk","95","65","6","590","3"
"28-480 Wasilla Lake","38","39","1","317","0"
"29-505 Farm Loop","82","87","4","803","1"
"29-510 Fishhook","147","94","8","1147","2"
"29-515 Kings Lake","69","81","3","731","1"
