"1","Stein/Ware","Terry/Broden","Blank","Exhausted","Overvote"
"House District 1","996","433","60","7144","36"
"House District 10","1198","511","60","7038","37"
"House District 11","1181","596","71","8051","29"
"House District 12","1177","659","35","6677","21"
"House District 13","1170","619","32","5777","34"
"House District 14","1173","663","38","5575","46"
"House District 15","1317","529","65","7434","36"
"House District 16","1542","622","61","7485","36"
"House District 17","1440","402","38","5854","59"
"House District 18","582","405","16","3825","12"
"House District 19","828","361","14","3821","42"
"House District 2","1376","522","57","7657","54"
"House District 20","1189","603","31","5456","48"
"House District 21","1294","702","34","7029","49"
"House District 22","785","667","25","3993","51"
"House District 23","1321","702","50","8650","19"
"House District 24","1039","768","55","8300","20"
"House District 25","1241","713","59","8495","24"
"House District 26","886","620","31","7933","22"
"House District 27","842","672","41","7336","21"
"House District 28","840","731","47","7700","13"
"House District 29","965","783","56","8742","24"
"House District 3","1602","615","52","8886","15"
"House District 30","853","875","57","8571","33"
"House District 31","1084","569","53","5327","51"
"House District 32","770","689","26","4397","19"
"House District 33","1002","815","31","7031","21"
"House District 34","1365","767","61","7867","32"
"House District 35","1656","708","51","7356","26"
"House District 36","1085","808","85","7683","59"
"House District 37","578","454","37","3305","70"
"House District 38","542","892","29","2310","103"
"House District 39","966","504","34","2690","114"
"House District 4","1591","574","47","7097","26"
"House District 40","635","399","31","2240","57"
"House District 5","1042","589","55","6380","31"
"House District 6","1358","705","56","9927","17"
"House District 7","925","649","56","8021","36"
"House District 8","905","742","54","9147","20"
"House District 9","1568","580","97","9678","15"
"House District 99","85","20","0","296","0"
"Total","43994","25237","1888","268181","1478"
