"1","Stein/Ware","Trump/Vance","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","81","283","7","190","0"
"01-610 Ketchikan No. 2","76","475","7","283","5"
"01-620 Ketchikan No. 3","41","363","6","150","1"
"01-640 North Tongass No. 1","27","293","1","91","1"
"01-650 North Tongass No. 2","61","521","1","154","3"
"01-660 Saxman","24","38","0","50","2"
"01-670 South Tongass","48","396","8","177","0"
"01-675 Coffman Cove","4","83","2","19","2"
"01-680 Metlakatla","68","167","7","209","6"
"01-690 Wrangell","58","463","4","151","1"
"02-700 Angoon","19","26","0","68","0"
"02-705 Craig","27","255","3","106","5"
"02-720 Hoonah","26","138","3","94","3"
"02-725 Hydaburg","16","18","0","64","0"
"02-730 Kake","25","71","1","80","4"
"02-735 Kasaan","4","13","0","8","0"
"02-740 Klawock","27","208","0","108","2"
"02-750 Pelican-Elfin Cove","3","26","0","11","0"
"02-755 Petersburg-Kupreanof","76","518","10","238","1"
"02-760 Port Alexander","3","6","0","2","0"
"02-765 Sitka No. 1","116","499","8","338","5"
"02-770 Sitka No. 2","150","428","4","322","1"
"02-775 Tenakee Springs","10","12","1","19","0"
"02-780 Thorne Bay","12","159","0","19","0"
"02-785 Yakutat","17","103","0","103","3"
"03-300 Auke Bay","66","210","3","205","0"
"03-305 Lynn Canal","58","196","6","171","0"
"03-310 Melvin Park","93","293","7","183","0"
"03-315 Mendenhall Glacier","121","511","5","287","0"
"03-320 Thunder Mountain","106","433","3","260","0"
"03-325 Gustavus","32","78","0","79","0"
"03-330 Haines No. 1","88","339","4","215","3"
"03-335 Haines No. 2","14","60","0","35","0"
"03-340 Klukwan","13","10","0","18","0"
"03-345 Skagway","78","134","1","199","0"
"04-100 Douglas","108","139","2","279","1"
"04-105 Juneau Airport Area","34","176","2","87","0"
"04-110 Juneau No. 1","83","133","4","212","1"
"04-115 Juneau No. 2","102","88","1","270","0"
"04-120 Juneau No. 3","42","87","2","126","1"
"04-125 Lemon Creek","81","288","3","199","0"
"04-130 Glacier Valley Area","70","201","2","110","5"
"04-135 North Douglas","84","134","3","224","0"
"05-800 Chiniak","6","31","0","17","0"
"05-810 Flats","40","382","3","135","2"
"05-815 Kodiak Island South","0","8","1","6","2"
"05-820 Kodiak No. 1","52","398","1","197","1"
"05-825 Kodiak No. 2","55","401","1","237","2"
"05-830 Mission Road","142","902","6","358","0"
"05-835 Old Harbor","3","15","0","12","0"
"05-840 Ouzinkie","6","17","0","33","1"
"05-845 Port Lions","2","52","2","11","0"
"05-860 Cordova","73","254","6","151","3"
"05-865 Seward-Lowell Point","73","242","6","160","0"
"05-870 Tatitlek","6","7","0","6","0"
"06-200 Anchor Point","71","748","2","168","2"
"06-210 Diamond Ridge","62","174","2","110","1"
"06-220 Fox River","22","190","1","44","1"
"06-230 Homer No. 1","69","298","2","185","1"
"06-240 Homer No. 2","55","307","1","185","0"
"06-250 Kachemak-Fritz Creek","109","320","4","246","1"
"06-260 Kasilof","55","824","4","205","1"
"06-270 Ninilchik","39","467","1","127","0"
"06-280 Seldovia-Kachemak Bay","18","82","3","57","1"
"07-005 Central","48","574","3","120","2"
"07-010 K Beach","63","701","9","124","4"
"07-015 Kenai No. 1","62","526","1","163","2"
"07-020 Kenai No. 2","33","329","4","80","2"
"07-025 Kenai No. 3","23","246","3","68","2"
"07-030 Soldotna","58","590","6","191","1"
"08-035 Bear Creek","73","346","2","176","0"
"08-040 Cooper Landing","19","76","1","51","0"
"08-045 Funny River No. 1","14","266","3","57","0"
"08-050 Funny River No. 2","12","221","1","39","1"
"08-055 Hope","17","22","0","30","0"
"08-060 Mackey Lake","31","416","6","86","0"
"08-065 Moose Pass","10","86","3","62","0"
"08-070 Nikiski","42","676","2","82","1"
"08-075 Salamatof","44","647","4","73","0"
"08-080 Sterling No. 1","33","571","1","101","1"
"08-085 Sterling No. 2","27","682","3","105","1"
"09-105 Girdwood","188","219","10","413","0"
"09-110 Indian","17","57","1","56","0"
"09-115 South Anchorage No. 1","120","662","16","341","1"
"09-120 South Anchorage No. 2","119","773","7","317","0"
"09-125 South Anchorage No. 3","90","595","7","341","2"
"09-130 South Anchorage No. 4","104","661","11","351","2"
"09-135 South Anchorage No. 5","56","273","2","168","1"
"09-140 Stuckagain Heights","22","73","2","61","1"
"09-145 Whittier","7","52","1","22","1"
