"1","Stein/Ware","West/Abdullah","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","91","48","7","415","0"
"01-610 Ketchikan No. 2","102","38","7","695","4"
"01-620 Ketchikan No. 3","39","15","6","499","2"
"01-640 North Tongass No. 1","40","11","1","359","2"
"01-650 North Tongass No. 2","80","34","1","622","3"
"01-660 Saxman","24","7","0","81","2"
"01-670 South Tongass","66","30","8","525","0"
"01-675 Coffman Cove","6","2","2","98","2"
"01-680 Metlakatla","73","25","7","346","6"
"01-690 Wrangell","91","20","4","561","1"
"02-700 Angoon","13","6","0","94","0"
"02-705 Craig","43","22","3","324","4"
"02-720 Hoonah","31","21","3","206","3"
"02-725 Hydaburg","15","6","0","77","0"
"02-730 Kake","29","20","1","127","4"
"02-735 Kasaan","5","0","0","20","0"
"02-740 Klawock","37","21","0","285","2"
"02-750 Pelican-Elfin Cove","6","1","0","33","0"
"02-755 Petersburg-Kupreanof","113","33","10","686","1"
"02-760 Port Alexander","3","0","0","7","1"
"02-765 Sitka No. 1","146","49","8","757","6"
"02-770 Sitka No. 2","166","59","4","673","3"
"02-775 Tenakee Springs","9","2","1","30","0"
"02-780 Thorne Bay","18","6","0","166","0"
"02-785 Yakutat","20","12","0","191","3"
"03-300 Auke Bay","67","20","3","394","0"
"03-305 Lynn Canal","63","17","6","345","0"
"03-310 Melvin Park","102","41","7","426","0"
"03-315 Mendenhall Glacier","149","60","5","710","0"
"03-320 Thunder Mountain","121","55","3","623","0"
"03-325 Gustavus","35","13","0","141","0"
"03-330 Haines No. 1","102","35","4","504","4"
"03-335 Haines No. 2","13","10","0","86","0"
"03-340 Klukwan","13","3","0","25","0"
"03-345 Skagway","69","45","1","297","0"
"04-100 Douglas","99","39","2","388","1"
"04-105 Juneau Airport Area","41","20","2","236","0"
"04-110 Juneau No. 1","86","34","4","308","1"
"04-115 Juneau No. 2","84","45","1","331","0"
"04-120 Juneau No. 3","48","9","2","198","1"
"04-125 Lemon Creek","108","53","3","407","0"
"04-130 Glacier Valley Area","64","43","2","273","6"
"04-135 North Douglas","77","27","3","338","0"
"05-800 Chiniak","7","2","0","45","0"
"05-810 Flats","60","22","3","475","2"
"05-815 Kodiak Island South","0","1","1","14","1"
"05-820 Kodiak No. 1","96","30","1","521","1"
"05-825 Kodiak No. 2","85","29","1","579","2"
"05-830 Mission Road","206","90","6","1106","0"
"05-835 Old Harbor","6","0","0","24","0"
"05-840 Ouzinkie","11","2","0","42","2"
"05-845 Port Lions","5","1","2","59","0"
"05-860 Cordova","85","27","6","365","4"
"05-865 Seward-Lowell Point","91","20","6","364","0"
"05-870 Tatitlek","5","6","0","7","1"
"06-200 Anchor Point","92","49","2","845","3"
"06-210 Diamond Ridge","57","27","2","262","1"
"06-220 Fox River","21","13","1","222","1"
"06-230 Homer No. 1","83","31","2","437","2"
"06-240 Homer No. 2","54","24","1","468","1"
"06-250 Kachemak-Fritz Creek","119","35","4","522","0"
"06-260 Kasilof","77","59","4","948","1"
"06-270 Ninilchik","51","31","1","549","2"
"06-280 Seldovia-Kachemak Bay","17","13","3","127","1"
"07-005 Central","72","46","3","624","2"
"07-010 K Beach","89","57","9","741","5"
"07-015 Kenai No. 1","86","56","1","606","5"
"07-020 Kenai No. 2","52","33","4","357","2"
"07-025 Kenai No. 3","39","14","3","284","2"
"07-030 Soldotna","77","66","6","695","2"
"08-035 Bear Creek","85","42","2","468","0"
"08-040 Cooper Landing","14","10","1","122","0"
"08-045 Funny River No. 1","22","11","3","303","1"
"08-050 Funny River No. 2","20","10","1","242","1"
"08-055 Hope","11","9","0","49","0"
"08-060 Mackey Lake","63","20","6","450","0"
"08-065 Moose Pass","12","7","3","139","0"
"08-070 Nikiski","84","32","2","685","0"
