"1","Stein/Ware","West/Abdullah","Blank","Exhausted","Overvote"
"House District 1","1017","402","60","7151","39"
"House District 10","1174","549","60","7025","36"
"House District 11","1237","544","71","8046","30"
"House District 12","1234","593","35","6686","21"
"House District 13","1238","580","32","5749","33"
"House District 14","1151","695","38","5567","44"
"House District 15","1139","718","65","7427","32"
"House District 16","1358","863","61","7435","29"
"House District 17","1331","620","38","5744","60"
"House District 18","631","345","16","3836","12"
"House District 19","806","422","14","3783","41"
"House District 2","1349","531","57","7675","54"
"House District 20","1189","639","31","5418","50"
"House District 21","1336","646","34","7043","49"
"House District 22","802","598","25","4038","58"
"House District 23","1217","733","50","8722","20"
"House District 24","1088","610","55","8407","22"
"House District 25","1302","563","59","8583","25"
"House District 26","1000","417","31","8025","19"
"House District 27","969","424","41","7455","23"
"House District 28","986","471","47","7813","14"
"House District 29","1116","492","56","8881","25"
"House District 3","1588","632","52","8884","14"
"House District 30","985","598","57","8716","33"
"House District 31","904","765","53","5316","46"
"House District 32","798","587","26","4467","23"
"House District 33","1161","510","31","7177","21"
"House District 34","1406","665","61","7927","33"
"House District 35","1601","771","51","7350","24"
"House District 36","1210","575","85","7794","56"
"House District 37","644","377","37","3319","67"
"House District 38","670","702","29","2369","106"
"House District 39","698","828","34","2640","108"
"House District 4","1552","701","47","7009","26"
"House District 40","565","476","31","2237","53"
"House District 5","1130","462","55","6421","29"
"House District 6","1345","669","56","9975","18"
"House District 7","894","577","56","8128","32"
"House District 8","1016","509","54","9272","17"
"House District 9","1532","603","97","9691","15"
"House District 99","74","36","0","291","0"
"Total","44443","23498","1888","269492","1457"
