"1","Terry/Broden","Trump/Vance","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","59","285","7","210","0"
"01-610 Ketchikan No. 2","50","478","7","307","4"
"01-620 Ketchikan No. 3","24","364","6","166","1"
"01-640 North Tongass No. 1","19","294","1","98","1"
"01-650 North Tongass No. 2","29","527","1","180","3"
"01-660 Saxman","22","38","0","52","2"
"01-670 South Tongass","29","398","8","194","0"
"01-675 Coffman Cove","1","83","2","22","2"
"01-680 Metlakatla","52","169","7","223","6"
"01-690 Wrangell","43","464","4","165","1"
"02-700 Angoon","18","26","0","69","0"
"02-705 Craig","26","254","3","108","5"
"02-720 Hoonah","22","137","3","99","3"
"02-725 Hydaburg","11","19","0","68","0"
"02-730 Kake","24","71","1","81","4"
"02-735 Kasaan","3","13","0","9","0"
"02-740 Klawock","23","207","0","113","2"
"02-750 Pelican-Elfin Cove","2","26","0","12","0"
"02-755 Petersburg-Kupreanof","47","517","10","268","1"
"02-760 Port Alexander","2","6","0","3","0"
"02-765 Sitka No. 1","81","503","8","369","5"
"02-770 Sitka No. 2","88","430","4","382","1"
"02-775 Tenakee Springs","3","12","1","26","0"
"02-780 Thorne Bay","3","159","0","28","0"
"02-785 Yakutat","11","103","0","109","3"
"03-300 Auke Bay","32","212","3","237","0"
"03-305 Lynn Canal","25","195","6","205","0"
"03-310 Melvin Park","57","295","7","217","0"
"03-315 Mendenhall Glacier","89","512","5","318","0"
"03-320 Thunder Mountain","76","432","3","291","0"
"03-325 Gustavus","13","79","0","97","0"
"03-330 Haines No. 1","53","338","4","251","3"
"03-335 Haines No. 2","3","60","0","46","0"
"03-340 Klukwan","12","10","0","19","0"
"03-345 Skagway","49","138","1","224","0"
"04-100 Douglas","58","143","2","324","2"
"04-105 Juneau Airport Area","19","180","2","98","0"
"04-110 Juneau No. 1","51","135","4","242","1"
"04-115 Juneau No. 2","44","89","1","327","0"
"04-120 Juneau No. 3","14","88","2","153","1"
"04-125 Lemon Creek","61","287","3","220","0"
"04-130 Glacier Valley Area","46","205","2","129","6"
"04-135 North Douglas","41","136","3","265","0"
"05-800 Chiniak","4","31","0","19","0"
"05-810 Flats","22","382","3","153","2"
"05-815 Kodiak Island South","0","8","1","6","2"
"05-820 Kodiak No. 1","22","400","1","225","1"
"05-825 Kodiak No. 2","45","405","1","243","2"
"05-830 Mission Road","102","900","6","400","0"
"05-835 Old Harbor","3","15","0","12","0"
"05-840 Ouzinkie","4","16","0","35","2"
"05-845 Port Lions","1","52","2","12","0"
"05-860 Cordova","37","259","6","182","3"
"05-865 Seward-Lowell Point","34","246","6","195","0"
"05-870 Tatitlek","8","5","0","6","0"
"06-200 Anchor Point","48","747","2","191","3"
"06-210 Diamond Ridge","24","177","2","145","1"
"06-220 Fox River","13","190","1","53","1"
"06-230 Homer No. 1","31","297","2","224","1"
"06-240 Homer No. 2","27","304","1","216","0"
"06-250 Kachemak-Fritz Creek","35","324","4","316","1"
"06-260 Kasilof","37","821","4","226","1"
"06-270 Ninilchik","26","467","1","140","0"
"06-280 Seldovia-Kachemak Bay","7","82","3","68","1"
"07-005 Central","39","573","3","130","2"
"07-010 K Beach","50","701","9","137","4"
"07-015 Kenai No. 1","50","525","1","175","3"
"07-020 Kenai No. 2","23","330","4","89","2"
"07-025 Kenai No. 3","17","246","3","74","2"
"07-030 Soldotna","41","591","6","207","1"
"08-035 Bear Creek","41","347","2","207","0"
"08-040 Cooper Landing","8","77","1","61","0"
"08-045 Funny River No. 1","13","266","3","58","0"
"08-050 Funny River No. 2","9","221","1","42","1"
"08-055 Hope","7","22","0","40","0"
"08-060 Mackey Lake","22","415","6","96","0"
"08-065 Moose Pass","4","86","3","68","0"
"08-070 Nikiski","27","676","2","98","0"
"08-075 Salamatof","33","646","4","85","0"
"08-080 Sterling No. 1","26","568","1","111","1"
"08-085 Sterling No. 2","20","682","3","112","1"
"09-105 Girdwood","93","228","10","499","0"
"09-110 Indian","4","57","1","69","0"
"09-115 South Anchorage No. 1","89","665","16","370","0"
"09-120 South Anchorage No. 2","90","775","7","344","0"
"09-125 South Anchorage No. 3","64","594","7","368","2"
"09-130 South Anchorage No. 4","69","669","11","377","3"
"09-135 South Anchorage No. 5","32","273","2","191","2"
"09-140 Stuckagain Heights","12","73","2","71","1"
"09-145 Whittier","7","52","1","22","1"
"10-150 Dimond","80","468","3","263","10"
"10-155 Oceanview No. 1","87","600","7","348","3"
"10-160 Oceanview No. 2","48","416","10","243","1"
"10-165 Oceanview No. 3","104","545","5","302","5"
"10-170 Oceanview No. 4","61","471","5","295","2"
"10-175 Oceanview No. 5","43","401","2","228","1"
"11-205 Hillside No. 1","64","357","2","199","9"
"11-210 Hillside No. 2","109","693","7","395","7"
"11-215 Hillside No. 3","41","395","3","200","1"
"11-220 Hillside No. 4","38","443","3","201","0"
"11-225 Hillside No. 5","25","429","2","295","0"
"11-230 Hillside No. 6","69","412","8","292","0"
"11-235 Hillside No. 7","39","340","6","263","0"
"12-250 Southeast Anchorage No. 1","79","522","2","275","2"
"12-255 Southeast Anchorage No. 2","45","297","1","145","0"
"12-260 Southeast Anchorage No. 3","70","461","1","267","0"
"12-265 Southeast Anchorage No. 4","54","458","6","291","0"
"12-270 Southeast Anchorage No. 5","87","542","8","325","6"
"12-275 Southeast Anchorage No. 6","60","398","3","338","3"
"13-305 South Midtown No. 1","22","141","1","59","0"
"13-310 South Midtown No. 2","93","615","3","371","6"
"13-315 South Midtown No. 3","98","559","2","318","3"
"13-320 South Midtown No. 4","85","541","3","320","5"
"13-325 South Midtown No. 5","111","460","5","406","7"
"14-350 North Midtown No. 1","27","120","0","141","2"
"14-355 North Midtown No. 2","42","178","2","167","0"
"14-360 North Midtown No. 3","33","176","1","111","0"
"14-365 North Midtown No. 4","56","220","2","173","1"
"14-370 North Midtown No. 5","79","348","4","309","7"
"14-375 North Midtown No. 6","54","248","1","193","2"
"14-380 North Midtown No. 7","81","318","9","459","1"
"15-405 Southwest Anchorage No. 1","40","386","5","236","0"
"15-410 Southwest Anchorage No. 2","79","445","10","257","3"
"15-415 Southwest Anchorage No. 3","75","540","5","322","1"
"15-420 Southwest Anchorage No. 4","77","463","3","281","6"
"15-425 Southwest Anchorage No. 5","66","419","9","295","5"
"15-430 Southwest Anchorage No. 6","82","706","8","382","4"
"16-450 West Anchorage No. 1","61","204","7","385","3"
"16-455 West Anchorage No. 2","70","364","3","359","3"
"16-460 West Anchorage No. 3","101","489","9","452","3"
"16-465 West Anchorage No. 4","46","282","5","202","1"
"16-470 West Anchorage No. 5","70","502","6","332","0"
"16-475 West Anchorage No. 6","60","414","5","289","2"
"16-480 West Anchorage No. 7","55","338","3","222","2"
"17-505 Downtown Anchorage No. 1","25","140","3","179","0"
"17-510 Downtown Anchorage No. 2","48","146","4","296","0"
"17-515 Downtown Anchorage No. 3","24","131","4","187","1"
"17-520 Downtown Anchorage No. 4","69","247","4","314","2"
"17-525 Downtown Anchorage No. 5","59","171","1","200","2"
"17-530 Downtown Anchorage No. 6","50","125","1","133","7"
"17-535 Downtown Anchorage No. 7","50","193","1","201","2"
"18-550 Government Hill","35","191","2","191","0"
"18-555 JBER No.1","41","615","3","172","1"
"18-556 JBER No.2","16","162","0","60","0"
"18-560 North Muldoon","34","183","3","129","2"
"18-565 Ship Creek","13","35","0","38","0"
"19-605 Airport Heights No. 1","73","277","2","370","2"
"19-610 Airport Heights No. 2","47","389","2","283","2"
"19-615 Mountainview No. 1","49","184","0","167","2"
"19-620 Mountainview No. 2","35","203","1","139","2"
"19-625 South Mountainview","24","244","1","192","1"
"20-650 University No. 1","39","124","0","105","2"
"20-655 University No. 2","73","464","4","376","3"
"20-660 University No. 3","103","423","3","380","10"
"20-665 University No. 4","38","194","2","192","1"
"20-670 University No. 5","136","644","11","512","9"
"21-705 East Anchorage No. 1","46","335","4","306","3"
"21-710 East Anchorage No. 2","65","445","2","291","1"
"21-715 East Anchorage No. 3","123","622","7","356","9"
"21-720 East Anchorage No. 4","54","443","2","357","2"
"21-725 East Anchorage No. 5","116","606","4","487","4"
"22-750 Northeast Anchorage No. 1","99","435","3","289","0"
"22-755 Northeast Anchorage No. 2","92","439","0","228","7"
"22-760 Northeast Anchorage No. 3","82","452","5","348","6"
"22-765 Northeast Anchorage No. 4","59","327","4","173","11"
"23-805 Chugach Park No. 1","80","649","5","332","0"
"23-810 Eagle River No. 1","59","394","5","173","1"
"23-815 Eagle River No. 2","56","412","7","204","2"
"23-820 Hiland","39","417","2","180","0"
"23-825 Meadow Creek No. 1","59","447","3","213","1"
"23-830 Meadow Creek No. 2","30","283","1","107","2"
"24-850 Chugach Park No. 2","43","463","8","163","2"
"24-855 Chugiak","22","258","1","87","0"
"24-860 Eagle River No. 3","52","413","3","146","0"
"24-865 Eklutna","34","422","1","184","1"
