"1","Terry/Broden","Trump/Vance","Blank","Exhausted","Overvote"
"House District 1","552","5099","60","2925","33"
"House District 10","689","4665","60","3398","32"
"House District 11","698","5145","71","3988","26"
"House District 12","701","4330","35","3484","19"
"House District 13","706","3842","32","3019","33"
"House District 14","739","3003","38","3679","36"
"House District 15","719","4917","65","3653","27"
"House District 16","829","4232","61","4590","34"
"House District 17","741","2627","38","4337","50"
"House District 18","331","2875","16","1605","13"
"House District 19","457","2141","14","2422","32"
"House District 2","714","4795","57","4048","52"
"House District 20","702","3283","31","3270","41"
"House District 21","762","4235","34","4036","41"
"House District 22","593","2815","25","2049","39"
"House District 23","723","6441","50","3517","11"
"House District 24","605","6733","55","2777","12"
"House District 25","620","7152","59","2681","20"
"House District 26","410","7343","31","1691","17"
"House District 27","407","6945","41","1503","16"
"House District 28","461","6934","47","1881","8"
"House District 29","503","7660","56","2334","17"
"House District 3","848","4783","52","5476","11"
"House District 30","427","7480","57","2397","28"
"House District 31","678","3713","53","2600","40"
"House District 32","436","3955","26","1471","13"
"House District 33","477","6762","31","1614","16"
"House District 34","644","6121","61","3241","25"
"House District 35","845","4659","51","4219","23"
"House District 36","616","5876","85","3094","49"
"House District 37","383","2391","37","1571","62"
"House District 38","647","1731","29","1381","88"
"House District 39","653","1955","34","1572","94"
"House District 4","799","2968","47","5494","27"
"House District 40","396","1834","31","1056","45"
"House District 5","519","4594","55","2904","25"
"House District 6","622","6925","56","4447","13"
"House District 7","486","6955","56","2164","26"
"House District 8","422","8100","54","2280","12"
"House District 9","852","5920","97","5057","12"
"House District 99","56","55","0","290","0"
"Total","24468","193989","1888","119215","1218"
