"1","Terry/Broden","West/Abdullah","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","74","51","7","429","0"
"01-610 Ketchikan No. 2","77","49","7","710","3"
"01-620 Ketchikan No. 3","27","19","6","507","2"
"01-640 North Tongass No. 1","28","16","1","367","1"
"01-650 North Tongass No. 2","59","37","1","640","3"
"01-660 Saxman","19","10","0","83","2"
"01-670 South Tongass","54","29","8","538","0"
"01-675 Coffman Cove","2","3","2","101","2"
"01-680 Metlakatla","52","36","7","356","6"
"01-690 Wrangell","71","31","4","570","1"
"02-700 Angoon","12","7","0","94","0"
"02-705 Craig","42","21","3","326","4"
"02-720 Hoonah","24","25","3","209","3"
"02-725 Hydaburg","9","8","0","81","0"
"02-730 Kake","23","25","1","128","4"
"02-735 Kasaan","4","0","0","21","0"
"02-740 Klawock","35","21","0","286","3"
"02-750 Pelican-Elfin Cove","4","2","0","34","0"
"02-755 Petersburg-Kupreanof","91","42","10","699","1"
"02-760 Port Alexander","2","0","0","8","1"
"02-765 Sitka No. 1","114","67","8","771","6"
"02-770 Sitka No. 2","102","78","4","718","3"
"02-775 Tenakee Springs","3","2","1","36","0"
"02-780 Thorne Bay","4","10","0","176","0"
"02-785 Yakutat","20","11","0","192","3"
"03-300 Auke Bay","33","31","3","417","0"
"03-305 Lynn Canal","28","26","6","371","0"
"03-310 Melvin Park","63","60","7","445","1"
"03-315 Mendenhall Glacier","110","77","5","732","0"
"03-320 Thunder Mountain","98","57","3","644","0"
"03-325 Gustavus","17","17","0","155","0"
"03-330 Haines No. 1","62","57","4","523","3"
"03-335 Haines No. 2","1","16","0","92","0"
"03-340 Klukwan","12","3","0","26","0"
"03-345 Skagway","37","59","1","315","0"
"04-100 Douglas","48","52","2","424","3"
"04-105 Juneau Airport Area","30","25","2","242","0"
"04-110 Juneau No. 1","46","51","4","331","1"
"04-115 Juneau No. 2","30","66","1","364","0"
"04-120 Juneau No. 3","21","20","2","214","1"
"04-125 Lemon Creek","76","67","3","424","1"
"04-130 Glacier Valley Area","40","46","2","294","6"
"04-135 North Douglas","32","45","3","365","0"
"05-800 Chiniak","6","2","0","46","0"
"05-810 Flats","46","21","3","490","2"
"05-815 Kodiak Island South","0","1","1","14","1"
"05-820 Kodiak No. 1","63","41","1","543","1"
"05-825 Kodiak No. 2","79","29","1","585","2"
"05-830 Mission Road","170","97","6","1135","0"
"05-835 Old Harbor","4","1","0","25","0"
"05-840 Ouzinkie","7","3","0","44","3"
"05-845 Port Lions","2","2","2","61","0"
"05-860 Cordova","50","43","6","384","4"
"05-865 Seward-Lowell Point","52","30","6","393","0"
"05-870 Tatitlek","6","5","0","7","1"
"06-200 Anchor Point","80","61","2","846","2"
"06-210 Diamond Ridge","25","36","2","285","1"
"06-220 Fox River","7","22","1","227","1"
"06-230 Homer No. 1","41","44","2","466","2"
"06-240 Homer No. 2","24","30","1","492","1"
"06-250 Kachemak-Fritz Creek","39","62","4","575","0"
"06-260 Kasilof","78","59","4","946","2"
"06-270 Ninilchik","53","28","1","550","2"
"06-280 Seldovia-Kachemak Bay","7","15","3","135","1"
"07-005 Central","75","47","3","620","2"
"07-010 K Beach","85","64","9","737","6"
"07-015 Kenai No. 1","83","63","1","602","5"
"07-020 Kenai No. 2","45","35","4","362","2"
"07-025 Kenai No. 3","39","12","3","285","3"
"07-030 Soldotna","72","67","6","699","2"
"08-035 Bear Creek","56","56","2","483","0"
"08-040 Cooper Landing","7","12","1","127","0"
"08-045 Funny River No. 1","23","14","3","299","1"
"08-050 Funny River No. 2","17","12","1","243","1"
"08-055 Hope","1","13","0","55","0"
"08-060 Mackey Lake","52","24","6","457","0"
"08-065 Moose Pass","7","9","3","142","0"
"08-070 Nikiski","86","32","2","683","0"
"08-075 Salamatof","73","49","4","640","2"
"08-080 Sterling No. 1","79","23","1","602","2"
"08-085 Sterling No. 2","50","32","3","732","1"
"09-105 Girdwood","75","102","10","642","1"
"09-110 Indian","3","7","1","120","0"
"09-115 South Anchorage No. 1","125","70","16","929","0"
"09-120 South Anchorage No. 2","120","52","7","1037","0"
"09-125 South Anchorage No. 3","90","58","7","879","1"
"09-130 South Anchorage No. 4","89","58","11","969","2"
"09-135 South Anchorage No. 5","47","34","2","415","2"
"09-140 Stuckagain Heights","8","12","2","137","0"
"09-145 Whittier","7","8","1","66","1"
"10-150 Dimond","103","90","3","617","11"
"10-155 Oceanview No. 1","107","78","7","849","4"
"10-160 Oceanview No. 2","52","42","10","612","2"
"10-165 Oceanview No. 3","109","91","5","751","5"
"10-170 Oceanview No. 4","82","59","5","686","2"
"10-175 Oceanview No. 5","61","53","2","557","2"
"11-205 Hillside No. 1","78","61","2","481","9"
"11-210 Hillside No. 2","126","90","7","980","8"
"11-215 Hillside No. 3","47","49","3","540","1"
"11-220 Hillside No. 4","54","45","3","582","1"
"11-225 Hillside No. 5","27","21","2","701","0"
"11-230 Hillside No. 6","80","48","8","645","0"
"11-235 Hillside No. 7","53","40","6","549","0"
"12-250 Southeast Anchorage No. 1","111","80","2","685","2"
"12-255 Southeast Anchorage No. 2","53","48","1","386","0"
"12-260 Southeast Anchorage No. 3","101","73","1","623","1"
"12-265 Southeast Anchorage No. 4","73","57","6","673","0"
"12-270 Southeast Anchorage No. 5","123","91","8","739","7"
"12-275 Southeast Anchorage No. 6","59","66","3","671","3"
"13-305 South Midtown No. 1","22","26","1","174","0"
"13-310 South Midtown No. 2","127","69","3","884","5"
"13-315 South Midtown No. 3","124","79","2","769","6"
"13-320 South Midtown No. 4","115","87","3","746","3"
"13-325 South Midtown No. 5","137","113","5","726","8"
"14-350 North Midtown No. 1","32","43","0","212","3"
"14-355 North Midtown No. 2","49","39","2","299","0"
"14-360 North Midtown No. 3","40","32","1","248","0"
"14-365 North Midtown No. 4","65","54","2","330","1"
"14-370 North Midtown No. 5","77","81","4","577","8"
"14-375 North Midtown No. 6","62","49","1","382","4"
"14-380 North Midtown No. 7","76","70","9","712","1"
"15-405 Southwest Anchorage No. 1","51","53","5","558","0"
"15-410 Southwest Anchorage No. 2","71","86","10","622","5"
"15-415 Southwest Anchorage No. 3","99","81","5","756","2"
"15-420 Southwest Anchorage No. 4","92","103","3","625","7"
"15-425 Southwest Anchorage No. 5","76","76","9","628","5"
"15-430 Southwest Anchorage No. 6","103","89","8","975","7"
"16-450 West Anchorage No. 1","43","75","7","534","1"
"16-455 West Anchorage No. 2","81","100","3","612","3"
