"1","Trump/Vance","West/Abdullah","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","291","65","7","196","2"
"01-610 Ketchikan No. 2","477","61","7","297","4"
"01-620 Ketchikan No. 3","363","33","6","158","1"
"01-640 North Tongass No. 1","295","21","1","95","1"
"01-650 North Tongass No. 2","525","42","1","169","3"
"01-660 Saxman","41","18","0","53","2"
"01-670 South Tongass","398","32","8","191","0"
"01-675 Coffman Cove","83","3","2","20","2"
"01-680 Metlakatla","171","47","7","227","5"
"01-690 Wrangell","466","40","4","166","1"
"02-700 Angoon","28","16","0","69","0"
"02-705 Craig","254","30","3","105","4"
"02-720 Hoonah","138","24","3","96","3"
"02-725 Hydaburg","19","13","0","66","0"
"02-730 Kake","70","28","1","78","4"
"02-735 Kasaan","13","3","0","9","0"
"02-740 Klawock","207","26","0","110","2"
"02-750 Pelican-Elfin Cove","26","2","0","12","0"
"02-755 Petersburg-Kupreanof","522","49","10","261","1"
"02-760 Port Alexander","6","2","0","3","0"
"02-765 Sitka No. 1","507","92","8","353","6"
"02-770 Sitka No. 2","438","97","4","365","1"
"02-775 Tenakee Springs","12","4","1","25","0"
"02-780 Thorne Bay","158","6","0","26","0"
"02-785 Yakutat","102","16","0","105","3"
"03-300 Auke Bay","213","44","3","224","0"
"03-305 Lynn Canal","196","31","6","198","0"
"03-310 Melvin Park","296","68","7","205","0"
"03-315 Mendenhall Glacier","512","96","5","311","0"
"03-320 Thunder Mountain","435","81","3","283","0"
"03-325 Gustavus","79","18","0","92","0"
"03-330 Haines No. 1","342","69","4","231","3"
"03-335 Haines No. 2","57","15","0","37","0"
"03-340 Klukwan","11","10","0","20","0"
"03-345 Skagway","139","66","1","206","0"
"04-100 Douglas","143","65","2","317","2"
"04-105 Juneau Airport Area","178","28","2","91","0"
"04-110 Juneau No. 1","135","67","4","226","1"
"04-115 Juneau No. 2","87","74","1","299","0"
"04-120 Juneau No. 3","89","26","2","140","1"
"04-125 Lemon Creek","290","65","3","213","0"
"04-130 Glacier Valley Area","203","52","2","126","5"
"04-135 North Douglas","137","53","3","251","1"
"05-800 Chiniak","31","3","0","20","0"
"05-810 Flats","383","22","3","152","2"
