"1","Harris/Walz","Trump/Vance","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","282","268","7","4","0"
"01-610 Ketchikan No. 2","357","460","7","19","3"
"01-620 Ketchikan No. 3","188","355","6","11","1"
"01-640 North Tongass No. 1","117","291","1","4","0"
"01-650 North Tongass No. 2","210","518","1","8","3"
"01-660 Saxman","78","35","0","0","1"
"01-670 South Tongass","220","391","8","10","0"
"01-675 Coffman Cove","22","82","2","3","1"
"01-680 Metlakatla","273","158","7","14","5"
"01-690 Wrangell","204","459","4","9","1"
"02-700 Angoon","80","26","0","7","0"
"02-705 Craig","125","253","3","11","4"
"02-720 Hoonah","114","135","3","9","3"
"02-725 Hydaburg","74","18","0","6","0"
"02-730 Kake","107","65","1","6","2"
"02-735 Kasaan","9","13","0","3","0"
"02-740 Klawock","138","202","0","3","2"
"02-750 Pelican-Elfin Cove","15","25","0","0","0"
"02-755 Petersburg-Kupreanof","292","516","10","24","1"
"02-760 Port Alexander","5","6","0","0","0"
"02-765 Sitka No. 1","457","482","8","16","3"
"02-770 Sitka No. 2","471","413","4","16","1"
"02-775 Tenakee Springs","28","12","1","1","0"
"02-780 Thorne Bay","32","156","0","2","0"
"02-785 Yakutat","122","97","0","4","3"
"03-300 Auke Bay","271","203","3","7","0"
"03-305 Lynn Canal","229","190","6","6","0"
"03-310 Melvin Park","272","283","7","14","0"
"03-315 Mendenhall Glacier","416","485","5","18","0"
"03-320 Thunder Mountain","372","420","3","7","0"
"03-325 Gustavus","111","77","0","1","0"
"03-330 Haines No. 1","299","329","4","14","3"
"03-335 Haines No. 2","51","58","0","0","0"
"03-340 Klukwan","27","10","0","4","0"
"03-345 Skagway","272","133","1","6","0"
"04-100 Douglas","394","127","2","6","0"
"04-105 Juneau Airport Area","125","168","2","4","0"
"04-110 Juneau No. 1","289","129","4","10","1"
"04-115 Juneau No. 2","373","77","1","10","0"
"04-120 Juneau No. 3","169","80","2","6","1"
"04-125 Lemon Creek","301","264","3","3","0"
"04-130 Glacier Valley Area","191","188","2","4","3"
"04-135 North Douglas","305","132","3","5","0"
"05-800 Chiniak","21","30","0","3","0"
"05-810 Flats","173","380","3","4","2"
"05-815 Kodiak Island South","7","8","1","0","1"
"05-820 Kodiak No. 1","262","377","1","8","1"
"05-825 Kodiak No. 2","296","383","1","14","2"
"05-830 Mission Road","502","877","6","23","0"
"05-835 Old Harbor","15","13","0","2","0"
"05-840 Ouzinkie","38","16","0","2","1"
"05-845 Port Lions","13","51","2","1","0"
"05-860 Cordova","220","250","6","8","3"
"05-865 Seward-Lowell Point","228","236","6","11","0"
"05-870 Tatitlek","14","5","0","0","0"
"06-200 Anchor Point","229","742","2","17","1"
"06-210 Diamond Ridge","169","173","2","4","1"
"06-220 Fox River","61","189","1","6","1"
"06-230 Homer No. 1","249","286","2","17","1"
"06-240 Homer No. 2","231","302","1","14","0"
"06-250 Kachemak-Fritz Creek","347","314","4","15","0"
"06-260 Kasilof","247","819","4","18","1"
"06-270 Ninilchik","160","467","1","6","0"
"06-280 Seldovia-Kachemak Bay","73","81","3","4","0"
"07-005 Central","164","568","3","10","2"
"07-010 K Beach","178","694","9","16","4"
"07-015 Kenai No. 1","223","516","1","12","2"
"07-020 Kenai No. 2","109","325","4","8","2"
"07-025 Kenai No. 3","92","243","3","2","2"
"07-030 Soldotna","230","587","6","22","1"
"08-035 Bear Creek","242","344","2","9","0"
"08-040 Cooper Landing","68","75","1","3","0"
"08-045 Funny River No. 1","72","261","3","4","0"
"08-050 Funny River No. 2","48","218","1","6","1"
"08-055 Hope","45","22","0","2","0"
"08-060 Mackey Lake","119","409","6","5","0"
"08-065 Moose Pass","72","84","3","2","0"
"08-070 Nikiski","120","674","2","7","0"
"08-075 Salamatof","117","643","4","4","0"
"08-080 Sterling No. 1","127","569","1","9","1"
"08-085 Sterling No. 2","131","675","3","8","1"
"09-105 Girdwood","600","202","10","18","0"
"09-110 Indian","71","57","1","2","0"
"09-115 South Anchorage No. 1","473","639","16","12","0"
"09-120 South Anchorage No. 2","437","756","7","16","0"
"09-125 South Anchorage No. 3","429","582","7","16","1"
"09-130 South Anchorage No. 4","460","644","11","13","1"
