"1","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Blank","Exhausted","Overvote"
"2","","Kennedy/Shanahan","Overvote","Trump/Vance","","Harris/Walz","Overvote","Trump/Vance","","Harris/Walz","Kennedy/Shanahan","Overvote","","",""
"01-600 Ketchikan No. 1","196","67","0","11","3","8","0","4","198","9","57","0","7","1","0"
"01-610 Ketchikan No. 2","280","52","2","18","11","5","1","6","374","18","62","0","7","8","2"
"01-620 Ketchikan No. 3","148","28","0","10","6","2","0","6","301","5","42","1","6","5","1"
"01-640 North Tongass No. 1","85","29","0","2","3","1","0","1","245","6","39","0","1","1","0"
"01-650 North Tongass No. 2","158","37","0","8","5","7","0","10","425","7","76","0","1","3","3"
"01-660 Saxman","48","25","1","1","0","3","0","0","25","3","7","0","0","0","1"
"01-670 South Tongass","167","47","0","2","7","4","0","8","308","9","66","0","8","3","0"
"01-675 Coffman Cove","18","2","1","1","2","0","0","2","68","0","12","0","2","1","1"
"01-680 Metlakatla","174","79","2","9","10","9","1","6","113","4","34","1","7","4","4"
"01-690 Wrangell","148","46","0","7","6","3","0","4","358","5","92","0","4","3","1"
"02-700 Angoon","56","18","0","3","5","3","0","0","22","1","3","0","0","2","0"
"02-705 Craig","96","25","1","2","7","1","0","5","194","7","47","0","3","4","4"
"02-720 Hoonah","86","19","1","4","8","4","0","6","94","6","29","0","3","1","3"
"02-725 Hydaburg","59","11","0","2","3","2","0","1","11","3","3","0","0","3","0"
"02-730 Kake","80","17","1","7","3","2","0","1","40","5","19","0","1","3","2"
"02-735 Kasaan","6","2","0","0","2","1","0","0","12","0","1","0","0","1","0"
"02-740 Klawock","107","21","0","7","2","3","0","3","150","2","46","1","0","1","2"
"02-750 Pelican-Elfin Cove","12","3","0","0","0","0","0","2","18","1","4","0","0","0","0"
"02-755 Petersburg-Kupreanof","234","47","0","6","7","5","0","14","355","14","133","0","10","17","1"
"02-760 Port Alexander","3","2","0","0","0","0","0","0","4","0","1","1","0","0","0"
"02-765 Sitka No. 1","332","95","1","17","9","12","0","9","351","13","109","0","8","7","3"
"02-770 Sitka No. 2","327","120","0","16","9","8","0","16","271","17","107","2","4","7","1"
"02-775 Tenakee Springs","24","3","0","0","1","1","0","0","9","0","3","0","1","0","0"
"02-780 Thorne Bay","23","5","0","1","1","3","0","1","138","1","16","0","0","1","0"
"02-785 Yakutat","98","19","0","4","2","1","0","2","74","3","18","0","0","2","3"
"03-300 Auke Bay","219","39","0","10","6","3","0","8","146","7","42","0","3","1","0"
"03-305 Lynn Canal","196","26","0","6","3","1","0","5","148","5","31","1","6","3","0"
"03-310 Melvin Park","188","71","0","7","6","6","0","6","189","16","71","1","7","8","0"
"03-315 Mendenhall Glacier","286","100","1","19","7","10","0","7","372","14","92","0","5","11","0"
"03-320 Thunder Mountain","259","96","0","13","6","4","0","7","311","20","82","0","3","1","0"
"03-325 Gustavus","92","16","0","2","0","1","0","1","58","2","16","0","0","1","0"
"03-330 Haines No. 1","219","67","0","9","6","4","0","9","245","4","71","0","4","8","3"
"03-335 Haines No. 2","44","4","0","1","0","2","0","1","53","0","4","0","0","0","0"
"03-340 Klukwan","15","11","0","0","1","1","0","0","8","1","1","0","0","3","0"
"03-345 Skagway","202","58","0","6","1","6","0","5","79","16","33","0","1","5","0"
"04-100 Douglas","308","64","2","14","3","6","0","4","89","9","24","1","2","3","0"
"04-105 Juneau Airport Area","87","29","0","8","1","1","0","5","110","4","49","0","2","3","0"
"04-110 Juneau No. 1","226","57","0","4","4","2","0","4","78","8","39","0","4","6","1"
"04-115 Juneau No. 2","311","48","0","10","5","4","0","3","61","3","10","0","1","5","0"
"04-120 Juneau No. 3","141","20","0","5","4","3","0","2","60","6","12","0","2","2","1"
"04-125 Lemon Creek","210","57","0","28","1","6","0","10","168","19","67","0","3","2","0"
