"1","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Blank","Exhausted","Overvote"
"2","","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Overvote","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Overvote","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Overvote","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Overvote","","",""
"3","","","Oliver/Maat","Overvote","Trump/Vance","","Kennedy/Shanahan","Overvote","Trump/Vance","","","Kennedy/Shanahan","Oliver/Maat","Overvote","","","Oliver/Maat","Overvote","Trump/Vance","","Harris/Walz","Overvote","Trump/Vance","","","Harris/Walz","Oliver/Maat","Overvote","","","Kennedy/Shanahan","Overvote","Trump/Vance","","Harris/Walz","Overvote","Trump/Vance","","","Harris/Walz","Kennedy/Shanahan","Overvote","","","Kennedy/Shanahan","Oliver/Maat","Overvote","","Harris/Walz","Oliver/Maat","Overvote","","Harris/Walz","Kennedy/Shanahan","Overvote","","","",""
"House District 1","2466","153","248","2","29","148","243","4","23","7","50","28","7","0","64","19","16","0","11","6","12","1","13","1","26","7","18","0","24","12","9","1","1","1","3","0","10","0","13","3","9","0","3916","34","33","11","0","413","40","235","2","48","12","123","1","4","60","27","22"
"House District 10","2922","152","221","3","36","194","393","6","32","8","72","49","27","0","39","16","10","0","7","8","8","0","14","1","29","2","22","0","24","5","9","0","6","6","11","1","5","0","9","2","6","0","3305","67","42","22","0","428","43","300","0","58","7","88","4","6","60","42","17"
"House District 11","3480","159","216","1","36","251","378","2","32","5","72","24","18","1","48","8","11","0","9","2","4","0","12","0","31","7","8","0","28","14","13","0","9","4","10","0","6","2","19","4","15","0","3777","62","34","13","0","456","44","269","4","65","13","132","3","5","71","24","17"
"House District 12","3018","166","241","0","39","217","369","2","25","2","55","62","16","1","37","6","6","0","7","2","12","0","13","0","25","8","13","0","23","12","4","0","5","3","8","0","7","0","10","3","3","0","3032","53","76","20","1","346","50","339","3","48","12","91","1","3","35","21","18"
"House District 13","2594","148","264","1","39","197","340","1","24","6","58","47","19","1","24","14","10","0","12","7","7","0","13","0","19","9","11","0","14","15","6","0","6","3","9","0","6","1","8","6","5","0","2619","60","69","12","0","333","47","324","2","43","8","82","1","3","32","33","20"
"House District 14","3217","159","260","2","43","211","375","0","31","5","47","51","10","1","35","12","4","0","6","5","9","0","6","1","21","6","14","0","22","8","5","0","8","5","9","0","7","0","9","6","7","0","2002","37","44","9","0","265","38","233","1","37","11","91","3","7","38","34","28"
"House District 15","3175","159","264","1","50","192","371","0","27","5","85","42","15","0","46","14","7","1","10","7","4","0","10","1","32","21","11","0","30","18","6","0","3","6","13","0","5","0","13","6","4","0","3448","58","70","19","0","451","48","329","1","54","10","107","1","6","65","38","22"
"House District 16","4033","185","290","2","42","248","448","6","34","9","61","35","17","1","37","8","10","0","11","8","8","0","17","0","34","19","14","0","32","17","9","0","4","8","10","0","6","0","12","9","10","0","2873","57","67","16","0","335","49","270","2","87","17","163","1","5","61","34","15"
