"1","Begich","Hafner","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","245","108","7","200","1"
"01-610 Ketchikan No. 2","411","120","23","291","1"
"01-620 Ketchikan No. 3","328","49","11","172","1"
"01-640 North Tongass No. 1","272","40","6","95","0"
"01-650 North Tongass No. 2","489","70","12","168","1"
"01-660 Saxman","36","24","2","52","0"
"01-670 South Tongass","386","70","2","170","1"
"01-675 Coffman Cove","67","4","9","30","0"
"01-680 Metlakatla","163","70","11","212","1"
"01-690 Wrangell","420","76","15","163","3"
"02-700 Angoon","25","18","1","69","0"
"02-705 Craig","219","51","24","100","2"
"02-720 Hoonah","106","40","9","108","1"
"02-725 Hydaburg","14","19","3","62","0"
"02-730 Kake","58","34","6","83","0"
"02-735 Kasaan","11","3","1","10","0"
"02-740 Klawock","171","48","14","110","2"
"02-750 Pelican-Elfin Cove","20","4","4","12","0"
"02-755 Petersburg-Kupreanof","453","95","37","257","1"
"02-760 Port Alexander","3","2","0","5","1"
"02-765 Sitka No. 1","439","157","24","344","2"
"02-770 Sitka No. 2","378","199","25","303","0"
"02-775 Tenakee Springs","11","4","1","26","0"
"02-780 Thorne Bay","133","9","9","39","0"
"02-785 Yakutat","78","31","2","113","2"
"03-300 Auke Bay","202","89","4","188","1"
"03-305 Lynn Canal","175","61","8","187","0"
"03-310 Melvin Park","268","109","8","189","2"
"03-315 Mendenhall Glacier","467","156","5","295","1"
"03-320 Thunder Mountain","382","155","13","252","0"
"03-325 Gustavus","70","37","2","80","0"
"03-330 Haines No. 1","300","117","7","224","1"
"03-335 Haines No. 2","51","18","4","36","0"
"03-340 Klukwan","10","12","1","17","1"
"03-345 Skagway","133","118","12","149","0"
"04-100 Douglas","131","136","4","257","1"
"04-105 Juneau Airport Area","161","51","4","83","0"
"04-110 Juneau No. 1","132","107","6","188","0"
"04-115 Juneau No. 2","81","145","1","234","0"
"04-120 Juneau No. 3","78","60","3","116","1"
"04-125 Lemon Creek","234","106","9","220","2"
"04-130 Glacier Valley Area","178","88","3","117","2"
"04-135 North Douglas","120","128","6","191","0"
"05-800 Chiniak","29","5","1","19","0"
"05-810 Flats","348","51","9","153","1"
"05-815 Kodiak Island South","4","0","0","13","0"
"05-820 Kodiak No. 1","342","79","13","213","2"
"05-825 Kodiak No. 2","349","83","14","247","3"
"05-830 Mission Road","812","180","22","393","1"
"05-835 Old Harbor","8","4","1","17","0"
"05-840 Ouzinkie","18","7","1","31","0"
"05-845 Port Lions","43","3","0","21","0"
"05-860 Cordova","219","82","10","174","2"
"05-865 Seward-Lowell Point","219","81","10","170","1"
"05-870 Tatitlek","7","9","0","3","0"
"06-200 Anchor Point","674","83","20","213","1"
"06-210 Diamond Ridge","159","67","8","115","0"
"06-220 Fox River","175","29","9","44","1"
"06-230 Homer No. 1","274","111","9","161","0"
"06-240 Homer No. 2","274","93","8","173","0"
"06-250 Kachemak-Fritz Creek","304","130","9","236","1"
"06-260 Kasilof","732","86","22","247","2"
"06-270 Ninilchik","430","59","13","131","1"
"06-280 Seldovia-Kachemak Bay","68","21","10","60","2"
"07-005 Central","513","74","15","144","1"
"07-010 K Beach","652","79","16","153","1"
"07-015 Kenai No. 1","468","87","19","176","4"
"07-020 Kenai No. 2","307","44","6","91","0"
"07-025 Kenai No. 3","223","31","7","81","0"
"07-030 Soldotna","536","98","24","187","1"
"08-035 Bear Creek","313","89","8","186","1"
"08-040 Cooper Landing","72","24","0","51","0"
"08-045 Funny River No. 1","237","29","2","72","0"
"08-050 Funny River No. 2","208","15","10","41","0"
"08-055 Hope","21","13","2","33","0"
"08-060 Mackey Lake","395","48","14","82","0"
"08-065 Moose Pass","80","16","2","63","0"
"08-070 Nikiski","625","44","17","117","0"
"08-075 Salamatof","569","70","14","114","1"
"08-080 Sterling No. 1","530","57","11","109","0"
"08-085 Sterling No. 2","633","41","19","125","0"
"09-105 Girdwood","228","249","14","338","1"
"09-110 Indian","44","19","4","64","0"
"09-115 South Anchorage No. 1","641","179","7","312","1"
"09-120 South Anchorage No. 2","755","176","9","275","1"
"09-125 South Anchorage No. 3","577","161","8","288","1"
"09-130 South Anchorage No. 4","657","150","13","309","0"
"09-135 South Anchorage No. 5","264","80","2","154","0"
"09-140 Stuckagain Heights","69","26","2","62","0"
"09-145 Whittier","50","14","4","15","0"
"10-150 Dimond","412","156","22","232","2"
"10-155 Oceanview No. 1","559","156","17","313","0"
"10-160 Oceanview No. 2","370","103","25","217","3"
"10-165 Oceanview No. 3","502","182","15","256","6"
"10-170 Oceanview No. 4","447","139","8","238","2"
"10-175 Oceanview No. 5","347","113","12","203","0"
"11-205 Hillside No. 1","324","119","8","176","4"
"11-210 Hillside No. 2","663","203","8","334","3"
"11-215 Hillside No. 3","384","87","17","152","0"
"11-220 Hillside No. 4","419","96","6","163","1"
"11-225 Hillside No. 5","388","78","3","282","0"
"11-230 Hillside No. 6","415","128","5","232","1"
"11-235 Hillside No. 7","335","107","3","203","0"
"12-250 Southeast Anchorage No. 1","469","169","13","226","3"
"12-255 Southeast Anchorage No. 2","276","83","2","127","0"
"12-260 Southeast Anchorage No. 3","437","138","7","217","0"
"12-265 Southeast Anchorage No. 4","408","157","12","232","0"
"12-270 Southeast Anchorage No. 5","528","167","9","260","4"
"12-275 Southeast Anchorage No. 6","380","132","4","284","2"
"13-305 South Midtown No. 1","136","39","0","48","0"
"13-310 South Midtown No. 2","563","186","16","323","0"
"13-315 South Midtown No. 3","504","206","13","257","0"
"13-320 South Midtown No. 4","472","202","23","256","1"
"13-325 South Midtown No. 5","412","236","12","326","3"
"14-350 North Midtown No. 1","109","73","3","105","0"
"14-355 North Midtown No. 2","147","90","7","145","0"
"14-360 North Midtown No. 3","159","68","5","89","0"
"14-365 North Midtown No. 4","189","110","9","144","0"
"14-370 North Midtown No. 5","300","175","13","258","1"
"14-375 North Midtown No. 6","234","95","11","154","4"
"14-380 North Midtown No. 7","312","180","7","369","0"
"15-405 Southwest Anchorage No. 1","374","83","7","203","0"
"15-410 Southwest Anchorage No. 2","439","137","6","211","1"
"15-415 Southwest Anchorage No. 3","505","161","9","268","0"
"15-420 Southwest Anchorage No. 4","420","147","14","244","5"
"15-425 Southwest Anchorage No. 5","408","129","8","248","1"
"15-430 Southwest Anchorage No. 6","677","182","15","305","3"
"16-450 West Anchorage No. 1","197","141","7","315","0"
